Date,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
04-12,3542,115,,3427,4.0,48.66242224,42109.0,,3.246753247,84000004,USA,578.5222863,
04-13,3705,122,,3583.0,4.0,50.90182789082197,43347.0,525.0,3.292847503373819,84000004,USA,595.5307782951309,14.170040485829961
04-14,3809,131,249.0,3678.0,4.0,52.33065113,44096.0,580.0,3.439222893,84000004,USA,605.8210534,15.22709373
04-15,3964,142,385.0,3822.0,4.0,54.46014730343274,45310.0,590.0,3.5822401614530777,84000004,USA,622.4998169320227,14.883955600403633
04-16,4237,150,460.0,4087.0,4.0,58.21080830591436,47398.0,578.0,3.5402407363700727,84000004,USA,651.186191192761,13.641727637479349
04-17,4511,169,539.0,4342.0,4.0,61.975207993386746,49230.0,566.0,3.746397694524496,84000004,USA,676.3554620958612,12.547107071602747
04-18,4724,180,539.0,4544.0,4.0,64.90154789642186,51045.0,566.0,3.8103302286198137,84000004,USA,701.2911753541182,11.981371718882304
04-19,4933,184,994.0,4749.0,4.0,67.77293305949387,52990.0,631.0,3.729981755524022,84000004,USA,728.0129176611757,12.791404824650314
04-20,5068,191,1155.0,4877.0,4.0,69.62765553324851,54500.0,637.0,3.768745067087608,84000004,USA,748.7583319972463,12.569060773480663
04-21,5256,208,1155.0,5048.0,4.0,72.21052831151424,55152.0,637.0,3.9573820395738197,84000004,USA,757.7159546112317,12.119482496194825
04-22,5473,231,1265.0,5242.0,4.0,75.19182295451245,56601.0,664.0,4.220719897679517,84000004,USA,777.6233091628649,12.132285766490044
04-23,5772,249,1282.0,5523.0,4.0,79.29968976675424,58697.0,699.0,4.3139293139293144,84000004,USA,806.4195929035295,12.110187110187109
04-24,6045,266,1313.0,5779.0,4.0,83.05035076923583,60714.0,984.0,4.400330851943755,84000004,USA,834.1305205299229,16.277915632754343
04-25,6286,273,1345.0,6013.0,4.0,86.36137385201265,62508.0,1022.0,4.342984409799555,84000004,USA,858.7777214033737,16.258351893095767
04-26,6534,275,1383.0,6259.0,4.0,89.76856772972491,64811.0,1037.0,4.2087542087542085,84000004,USA,890.4179129371289,15.870829507193143
04-27,6725,275,1418.0,6450.0,4.0,92.39265656296296,66543.0,1051.0,4.089219330855019,84000004,USA,914.2133153411514,15.628252788104088
04-28,6955,275,1450.0,6680.0,4.0,95.55255411084124,67438.0,1095.0,3.9539899352983454,84000004,USA,926.5094384078952,15.744069015097054
04-29,7209,308,1475.0,6901.0,4.0,99.04218009849812,68813.0,1131.0,4.2724372312387295,84000004,USA,945.4001302702112,15.688722430295465
04-30,7655,320,1499,5836.0,4,105.16963360438385,71786.0,1169.0,4.18027433050294,84000004,USA,986.2452407477856,15.27106466361855
