Date,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
04-12,12452,433,,12019,13.0,122.80814050000001,54453.0,2505.0,3.4773530360000002,84000013,USA,537.0439828,20.11725024
04-13,13315,465,,12850.0,13.0,131.31949811985785,57021.0,2589.0,3.492301915133308,84000013,USA,562.3709427181686,19.44423582425836
04-14,14578,525,,14053.0,13.0,143.77586509999998,61795.0,2769.0,3.6013170530000003,84000013,USA,609.4546291,18.99437509
04-15,14987,552,,14435.0,13.0,147.8096371252204,64090.0,2922.0,3.683192099819844,84000013,USA,632.0891201278025,19.496897311002872
04-16,15669,587,,15082.0,13.0,154.53587803530252,67939.0,3108.0,3.7462505584274686,84000013,USA,670.0499724194535,19.835343672219032
04-17,17194,650,,16544.0,13.0,169.57622611136586,71684.0,3324.0,3.780388507618937,84000013,USA,706.9851222849336,19.332325229731303
04-18,17669,673,,16996.0,13.0,174.26092469243477,74208.0,3420.0,3.808930895919407,84000013,USA,731.8781311662344,19.355934121908426
04-19,18301,687,,17614.0,13.0,180.4940394360885,79933.0,3464.0,3.7538932298781487,84000013,USA,788.3410772222755,18.927927435659253
04-20,19407,775,,18632.0,13.0,191.40199023748264,84328.0,3550.0,3.993404441696295,84000013,USA,831.6868672513237,18.292368732931415
04-21,19881,798,,19083.0,13.0,196.07682629522301,88140.0,3779.0,4.013882601478799,84000013,USA,869.2828061798176,19.00809818419597
04-22,21214,848,,20366.0,13.0,209.22356989220157,94072.0,3959.0,3.997360233807863,84000013,USA,927.787294564872,18.66220420477044
04-23,21883,881,,21002.0,13.0,215.82159799901243,101062.0,4069.0,4.025956221724626,84000013,USA,996.7263326315492,18.5943426404058
04-24,22491,899,,21592.0,13.0,221.81801218278056,107520.0,4322.0,3.9971544173224847,84000013,USA,1060.418508287429,19.216575519096526
04-25,23222,907,,22315.0,13.0,229.02751673596242,119014.0,4326.0,3.9057790026698815,84000013,USA,1173.778351425968,18.6288864008268
04-26,23486,916,,22570.0,13.0,231.63122289470382,123223.0,4359.0,3.900195861364217,84000013,USA,1215.2897121159026,18.55999318743081
04-27,24302,995,,23307.0,13.0,239.67904193081384,127169.0,4681.0,4.094313225248952,84000013,USA,1254.2072291704244,19.26178915315612
04-28,24922,1036,,23886.0,13.0,245.7938063945248,140020.0,4814.0,4.156969745606292,84000013,USA,1380.9505164658276,19.316266752267076
04-29,25775,1101,,24674.0,13.0,254.2065387937917,143939.0,5056.0,4.271580989330747,84000013,USA,1419.6017453904785,19.615906886517944
04-30,26264,1132,0,25132.0,13,259.02931270146047,149044.0,5156.0,4.310082241851965,84000013,USA,1469.9499269828086,19.631434663417608
05-01,27489,1169,0,26320.0,13,271.110903778954,168367.0,5269.0,4.252610134963076,84000013,USA,1660.5234652606916,19.16766706682673
05-02,28331,1177,0,27154.0,13,279.41514842160666,174800.0,5387.0,4.154459779040627,84000013,USA,1723.9690778333575,19.014507077053405
05-03,28665,1184,0,27481.0,13,282.70923121334783,175096.0,5393.0,4.130472701901273,84000013,USA,1726.888384738613,18.813884528170238
05-04,29451,1246,0,28205.0,13,290.46117454960074,183325.0,5526.0,4.2307561712675295,84000013,USA,1808.0470892093838,18.763369664867067
05-05,29998,1299,,28699.0,13,295.85597481032636,200883.0,5634.0,4.330288685912393,84000013,USA,1981.213273812348,18.781252083472236
05-06,30743,1327,,29416.0,13,303.2035546901081,204137.0,5765.0,4.316429756367303,84000013,USA,2013.3059247235017,18.752236281429923
05-07,31618,1355,,30263.0,13,311.83326260260355,217303.0,5835.0,4.2855335568347135,84000013,USA,2143.1559068674032,18.454677715225504
05-08,32181,1400,,30781.0,13,317.38586323658626,227567.0,5935.0,4.350393089089836,84000013,USA,2244.3848463118056,18.44255927410584
05-09,32588,1403,,31185.0,13,321.3999102313127,235324.0,5987.0,4.305265741990917,84000013,USA,2320.888439771493,18.371793298146557
05-10,33580,1406,,32174.0,13,331.1835333732502,243547.0,5997.0,4.187016081000595,84000013,USA,2401.9879691022925,17.858844550327575
05-11,34002,1444,,32558.0,13,335.3455182179052,251288.0,6015.0,4.2468090112346335,84000013,USA,2478.3337621887226,17.690135874360333
05-12,34924,1498,,33426.0,13,344.4387647268431,262179.0,6130.0,4.289313938838621,84000013,USA,2585.7465037601364,17.55239949604856
05-13,35427,1517,,33910.0,13,349.3996139611119,273904.0,6259.0,4.282044768114715,84000013,USA,2701.384589787574,17.667315889011203
05-14,35977,1545,,34432.0,13,338.8487017989205,285881.0,6345.0,4.294410317702977,84000013,USA,2692.5648530721633,17.636267615420962
05-15,36772,1588,,35184.0,13,346.33639443394134,301874.0,6438.0,4.3185032089633415,84000013,USA,2843.194624533656,17.50788643533123
05-16,37212,1598,,35614.0,13,350.48052620678294,321069.0,6735.0,4.294313662259486,84000013,USA,3023.982373123874,18.09900032247662
05-17,37579,1610,,35969.0,13,353.93710884458505,351175.0,6790.0,4.284307725059208,84000013,USA,3307.535171199264,18.068602144814925
05-18,38283,1649,,36634.0,13,360.5677196811317,364289.0,6916.0,4.3073949272523055,84000013,USA,3431.0491349925496,18.0654598646919
05-19,38855,1675,,37180.0,13,365.9550909858258,378156.0,7027.0,4.310899498134089,84000013,USA,3561.6552152061763,18.085188521425813
05-20,39801,1697,,38104.0,13,374.86497429743537,402940.0,7107.0,4.263711967036004,84000013,USA,3795.082855792785,17.85633526795809
05-21,40663,1775,,38888.0,13,382.98370517968436,407731.0,7235.0,4.365147677249587,84000013,USA,3840.2067997102504,17.792587856282125
05-22,41482,1808,,39674.0,13,390.697441365951,427249.0,7313.0,4.35851694710959,84000013,USA,4024.0367177609855,17.629333204763512
05-23,42242,1822,,40420.0,13,397.85548715540483,453537.0,7411.0,4.313242744188249,84000013,USA,4271.629754225673,17.544150371668007
05-24,42902,1827,,41075.0,13,404.0716848146674,481954.0,7439.0,4.258542725280873,84000013,USA,4539.27473738213,17.339517971190155
05-25,43400,1848,,41552.0,13,408.76208850302004,513545.0,7475.0,4.258064516129032,84000013,USA,4836.813980190862,17.223502304147466
05-26,43983,1896,,42087.0,13,414.25306310203524,514945.0,7547.0,4.310756428620149,84000013,USA,4849.99985401354,17.158902303162588
05-27,44638,1933,,42705.0,13,420.4221683547882,440756.0,7666.0,4.330391146556745,84000013,USA,4151.252144705924,17.173708499484743
05-28,45266,1973,,43293.0,13,426.33697461238944,444646.0,7767.0,4.358679803826272,84000013,USA,4187.890036970363,17.158573763972964
05-29,45881,1987,,43894.0,13,432.1293406130659,450271.0,7852.0,4.33076872779582,84000013,USA,4240.868994293624,17.11383797214533
05-30,46331,2004,,44327.0,13,436.3676571989268,454838.0,7921.0,4.325397681897649,84000013,USA,4283.883198399461,17.09654443029505
05-31,47063,2053,,45010.0,13,443.26198551192704,465525.0,7946.0,4.362237851390689,84000013,USA,4384.538508073004,16.883751567048424
06-01,47902,2094,,45808.0,13,451.1640913242319,471631.0,8127.0,4.371424992693416,84000013,USA,4442.0477549024845,16.96588868940754
06-02,48207,2102,,46105.0,13,454.0367281213153,474287.0,8334.0,4.360362602941482,84000013,USA,4467.063241240365,17.287945734022028
06-03,48894,2123,,46771.0,13,460.5072247757295,482712.0,8419.0,4.342046058821123,84000013,USA,4546.4139462089815,17.218881662371658
06-04,49859,2149,,47710.0,13,469.59605923207545,496331.0,8557.0,4.310154636073729,84000013,USA,4674.6842430597335,17.162397962253554
06-05,50621,2174,,48447.0,13,476.77294198413307,507788.0,8646.0,4.294660318840006,84000013,USA,4782.591783335749,17.079868038956164
06-06,51359,2178,,49181.0,13,483.7237811849448,522857.0,8662.0,4.240736774469909,84000013,USA,4924.518878074275,16.865593177437255
06-07,51898,2180,,49718.0,13,488.80034260667577,539884.0,8685.0,4.200547227253459,84000013,USA,5084.887359201945,16.734748930594627
06-08,52497,2208,,50289.0,13,494.4420129065217,549375.0,8746.0,4.205954625978627,84000013,USA,5174.278165238401,16.65999961902585
06-09,53249,2285,,50964.0,13,501.52471084556015,557183.0,8872.0,4.291160397378356,84000013,USA,5247.817667243738,16.661345752971886
06-10,53980,2329,,51651.0,13,508.40962067725854,570955.0,8974.0,4.3145609484994445,84000013,USA,5377.528991733681,16.62467580585402
06-11,54973,2375,,52598,13,517.762172610058,584241.0,9073.0,4.320302694049806,84000013,USA,5502.662934310896,16.504465828679532
06-12,55783,2418,,53365.0,13,525.3911424646075,591958.0,9181.0,4.3346539268235835,84000013,USA,5575.345354517757,16.458419231665562
06-13,56804,2447,,54357.0,13,535.0074118738605,599680.0,9224.0,4.3077952256883325,84000013,USA,5648.074867131129,16.238293077952257
06-14,57681,2451,,55230.0,13,543.2674199756382,620790.0,9248.0,4.2492328496385285,84000013,USA,5846.89900741451,16.033009136457412
06-15,58414,2494,,55920.0,13,550.1711667699403,630496.0,9322.0,4.269524429075221,84000013,USA,5938.314786930878,15.958503098572258
06-16,59078,2529,,56549.0,13,556.4250383544105,634978.0,9454.0,4.280781339923491,84000013,USA,5980.528420126051,16.002572869765395
06-17,60030,2575,,57455.0,13,565.3914325538316,650467.0,9543.0,4.2895219057138085,84000013,USA,6126.411277011381,15.897051474262867
06-18,60912,2605,,58307.0,13,573.6985330621187,663204.0,9663.0,4.276661413186237,84000013,USA,6246.374473353845,15.863869188337276
06-19,62009,2636,,59373.0,13,584.0306070503171,670306.0,9772.0,4.2509958231869565,84000013,USA,6313.264527560031,15.759002725410829
06-20,63809,2642,,61167.0,13,600.9838733937604,694384.0,9837.0,4.140481750223323,84000013,USA,6540.042720347489,15.41632058173612
06-21,64701,2643,,62058.0,13,609.3851587150667,694384.0,9837.0,4.084944591273706,84000013,USA,6540.042720347489,15.20378355821394
06-22,65928,2648,,63280.0,13,620.9416352725137,708026.0,9953.0,4.01650285159568,84000013,USA,6668.529642268185,15.09677223637908
06-23,67810,2695,,65115.0,13,638.6672170827138,731261.0,10123.0,3.9743400678366014,84000013,USA,6887.368055318131,14.928476625866391
06-24,69381,2698,,66683.0,13,653.4636512080191,743234.0,10313.0,3.888672691370836,84000013,USA,7000.1355319459335,14.864300024502384
06-25,71095,2745,,68350.0,13,669.6069281594978,757924.0,10457.0,3.8610310148393,84000013,USA,7138.493022271035,14.708488641957945
06-26,72995,2770,,70225.0,13,687.5020426331323,771028.0,10605.0,3.794780464415371,84000013,USA,7261.912801251303,14.528392355640795
06-27,74985,2776,,72209.0,13,706.244820423939,789813.0,10689.0,3.7020737480829498,84000013,USA,7438.838972507736,14.254850970194036
06-28,77210,2778,,74432.0,13,727.2009413206952,806938.0,10711.0,3.597979536329491,84000013,USA,7600.1304648029945,13.872555368475584
06-29,79417,2784,,76633.0,13,747.987529554017,823117.0,10824.0,3.505546671367591,84000013.0,USA,7752.512073786643,13.629323696437789
06-30,81291,2805,,78486.0,13,765.6377635138017,833878.0,11051.0,3.4505664833745437,84000013,USA,7853.864351076529,13.594370840560455
07-01,84242,2827,,81415.0,13,793.4317018357468,855038.0,11275.0,3.355808266660336,84000013,USA,8053.159415425005,13.384060207497447
07-02,87709,2849,,84860.0,13,826.0855765094788,883239.0,11500.0,3.248241343533732,84000013,USA,8318.77000662025,13.111539294713198
07-03,90493,2857,,87636.0,13,852.3066284540042,901217.0,11653.0,3.1571502768169912,84000013,USA,8488.095463466041,12.877239123468113
07-04,93319,2857,,90462.0,13,878.9232566132102,926359.0,11743.0,3.061541593887633,84000013,USA,8724.894920358734,12.583718213868556
07-05,95516,2860,,92656.0,13,899.6156600335129,949185.0,11775.0,2.9942627413208265,84000013,USA,8939.881174556198,12.327777545123329
07-06,97064,2878,,94186.0,13,914.195469088874,958953.0,11919.0,2.9650539849995883,84000013,USA,9031.880899913283,12.279526910079946
07-07,100470,2899,,97571.0,13,946.2748164031892,979452.0,12226.0,2.885438439335125,84000013,USA,9224.950348121196,12.168806608937993
07-08,103890,2922,,100968.0,13,978.4860224557317,1000409.0,12500.0,2.812590239676581,84000013,USA,9422.333460765385,12.031956877466552
07-09,106727,2930,,103797.0,13,1005.2062539092584,1019422.0,12606.0,2.7453221771435534,84000013,USA,9601.407045758657,11.81144415190158
07-10,111217,2965,,108252.0,13,1047.4952349548473,1046348.0,12937.0,2.6659593407482673,84000013,USA,9855.009073293964,11.632214499581899
07-11,114401,2996,,111405.0,13,1077.4836794201378,1064873.0,13205.0,2.6188582267637517,84000013,USA,10029.4864394119,11.542731269831558
07-12,116935,3003,,113932.0,13,1101.350111039185,1083416.0,13259.0,2.5680933852140084,84000013,USA,10204.133338193267,11.338777953563945
07-13,120572,3026,,117546.0,13,1135.6051275342425,1107967.0,13476.0,2.5097037454798787,84000013,USA,10435.366472636531,11.176724280927576
07-14,123963,3054,,120909.0,13,1167.5431976290292,1131034.0,13685.0,2.463638343699329,84000013,USA,10652.622580827758,11.039584392117005
07-15,127838,3091,,124747.0,13,1204.0398126739415,1154983.0,14102.0,2.4179039096356325,84000013,USA,10878.18578952727,11.031148797697083
07-16,131287,3105,,128182.0,13,1236.5241546842392,1178222.0,14346.0,2.3650475675428644,84000013,USA,11097.061876502425,10.9272052830821
07-17,135192,3132,,132060.0,13,1273.3033241682092,1198678.0,14647.0,2.3167051304810937,84000013,USA,11289.726330014355,10.834220959820108
07-18,139880,3169,,136711.0,13,1317.4571645115766,1231806.0,14961.0,2.26551329711181,84000013,USA,11601.741778584126,10.695596225336002
07-19,143129,3174,,139955.0,13,1348.0578102614918,1255319.0,15010.0,2.2175799453639717,84000013,USA,11823.198529436004,10.487043156872472
07-20,145582,3177,,142405.0,13,1371.1613448950845,1273781.0,15047.0,2.1822752812847743,84000013,USA,11997.082531231921,10.33575579398552
07-21,148988,3254,,145734.0,13,1403.2406922093994,1295291.0,15494.0,2.1840685155851483,84000013,USA,12199.674064036068,10.399495261363333
07-22,152302,3335,,148967.0,13,1434.4535392439386,1316844.0,15922.0,2.18972830297698,84000013,USA,12402.670591536194,10.454229097451117
07-23,156607,3361,,153246.0,13,1475.000101248674,1336938.0,16353.0,2.1461365073081025,84000013,USA,12591.925554816831,10.442061976795419
07-24,161420,3443,,157977.0,13,1520.3312517547809,1382444.0,16752.0,2.1329451121298475,84000013,USA,13020.52296494168,10.377896171478133
07-25,165188,3494,,161694.0,13,1555.8200893003884,1407840.0,17029.0,2.11516575053878,84000013,USA,13259.714716085062,10.308860207763274
07-26,167953,3498,,164455.0,13,1581.8621901001777,1428945.0,17091.0,2.0827255244026603,84000013,USA,13458.49176396193,10.176061159967373
07-27,170843,3509,,167334.0,13,1609.0816010627059,1452963.0,17138.0,2.053932557962574,84000013,USA,13684.704847871277,10.031432367729435
07-28,175052,3563,,171489.0,13,1609.0816010627059,1487326.0,17544.0,2.053932557962574,84000013,USA,14008.352120848911,10.269077457080476
07-29,178323,3642,,174681.0,13,1679.5318412010147,1512464.0,17964.0,2.04236133308659,84000013,USA,14245.113903816396,10.073854746723642
07-30,182286,3671,,178615.0,13,1716.8572826004956,1541389.0,18303.0,2.01386831682082,84000013,USA,14517.54347547423,10.040814983048616
07-31,186352,3752,,182600.0,13,1755.1528275740734,1574687.0,18689.0,2.01339400704044,84000013,USA,14831.160065865324,10.028870095303512
08-01,190012,3825,,186187.0,13,1789.6244691390743,1596085.0,18995.0,2.013030755952256,84000013,USA,15032.696728763654,9.99673704818643
08-02,193177,3840,,189337.0,13,1819.433962459629,1624640.0,19064.0,1.9878142843092088,84000013,USA,15301.64146233978,9.868669665643424
08-03,195435,3842,,191593.0,13,1840.7008932393485,1646401.0,19124.0,1.9658710057052216,84000013,USA,15506.597033950706,9.785350628086064
08-04,197948,3921,,194027.0,13,1864.3695367510556,1664412.0,19426.0,1.980823246509184,84000013,USA,15676.233300679458,9.813688443429587
08-05,201713,3984,,197729.0,13,1899.8301188527573,1695224.0,19788.0,1.975083410588311,84000013,USA,15966.435546554,9.809977542349774
08-06,204895,4026,,200869.0,13,1929.7997263554446,1724762.0,20002.0,1.9649088557553869,84000013,USA,16244.638647249902,9.762073257034093
08-07,209004,4117,,204887.0,13,1968.5002660250045,1753129.0,20282.0,1.96981875944958,84000013,USA,16511.812706341265,9.704120495301526
08-08,213427,4186,,209241.0,13,2010.158208823365,1797966.0,20556.0,1.961326355147193,84000013,USA,16934.109152475135,9.631396215099306
08-09,216596,4199,,212397.0,13,2040.0053760691271,1835048.0,20628.0,1.9386322923784371,84000013,USA,17283.36527611267,9.523721583039393
08-10,219025,4229,,214796.0,13,2062.8828671514734,1861962.0,20676.0,1.9308298139481797,84000013,USA,17536.85428187235,9.440018262755393
08-11,222588,4351,,218237.0,13.0,2096.4409160301893,1895485.0,21031.0,1.954732510288066,84000013,USA,17852.590030556377,9.448397936995706
08-12,226153,4456,,221697.0,13.0,2130.0178018715087,1916742.0,21379.0,1.9703475081029207,84000013,USA,18052.79868759114,9.453334689347477
08-13,228668,4538,,224130.0,13.0,2153.70528234582,1942610.0,21581.0,1.9845365333146745,84000013,USA,18296.435961909025,9.437700071719698
08-14,231895,4573,,227322.0,13.0,2184.0987215070927,1970053.0,21818.0,1.9720131956273312,84000013,USA,18554.90734427742,9.40856853317234
08-15,235168,4669,,230499.0,13.0,2214.9254108082537,1988066.0,22028.0,1.9853891685943663,84000013,USA,18724.562447968776,9.366920669478839
08-16,237030,4702,,232328.0,13.0,2232.462622992416,2005273.0,22087.0,1.9837151415432648,84000013,USA,18886.6262557308,9.318229759945998
08-17,238861,4727,,234134.0,13.0,2249.707862256218,2027417.0,22133.0,1.9789752198977648,84000013,USA,19095.18910568035,9.266058502643798
08-18,241677,4794,,236883,13,2276.230306,2060319.0,22429.0,1.98363932,84000013,USA,19405.07598,9.280568693
08-19,243982,4849,,239133.0,13.0,2297.939905003314,2075697.0,22664.0,1.987441696518596,84000013,USA,19549.913382936706,9.289209859743753
08-20,246741,4904,,241837.0,13.0,2323.9254949152914,2096835.0,22880.0,1.9875091695340457,84000013,USA,19749.001240696543,9.272881280370916
08-21,249630,4998,,244632.0,13.0,2351.135487396518,2120102.0,23125.0,2.0021632015382766,84000013,USA,19968.14104514815,9.26371029123102
08-22,252222,5092,,247130.0,13.0,2375.548190931076,2149170.0,23325.0,2.0188564042787704,84000013,USA,20241.91745963216,9.247805504674453
08-23,253949,5132,,248817.0,13.0,2391.81390813948,2171884.0,23369.0,2.020878207829131,84000013,USA,20455.848843923803,9.202241394925752
08-24,256253,5156,,251097.0,13.0,2413.514089059087,2205181.0,23425.0,2.0120740049872587,84000013,USA,20769.456015833603,9.141356393876363
08-25,258354,5262,,253092.0,13.0,2433.302318274406,2230850.0,23717.0,2.036740286583525,84000013,USA,21011.2190123724,9.180039790365155
08-26,260590,5311,,255279.0,13.0,2454.3620424654832,2248901.0,23939.0,2.038067462297095,84000013,USA,21181.232018353232,9.186461491231436
08-27,263074,5393,,257681.0,13.0,2477.7575500194353,2268837.0,24127.0,2.049993537939895,84000013,USA,21368.99886158817,9.171183773386957
