Date,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
04-12,1963,97,464.0,1866,21.0,57.34228025,24567.0,459.0,4.941416200000001,84000021,USA,717.6402439,23.38257769
04-13,2018,113,607.0,1905.0,21.0,58.948915710937655,25866.0,667.0,5.599603567888999,84000021,USA,755.5860524177965,33.052527254707634
04-14,2048,106,629.0,1942.0,21.0,59.82526233,26683.0,673.0,5.17578125,84000021,USA,779.4518919,32.86132813
04-15,2210,115,653.0,2095.0,21.0,64.55753405409921,27697.0,687.0,5.203619909502263,84000021,USA,809.0724075549257,31.08597285067873
04-16,2435,129,862.0,2306.0,21.0,71.13013367499167,28324.0,807.0,5.297741273100616,84000021,USA,827.3880518318127,33.14168377823409
04-17,2522,137,956.0,2385.0,21.0,73.67153886173675,29747.0,971.0,5.4321966693100725,84000021,USA,868.9560929897236,38.501189532117365
04-18,2707,144,979.0,2563.0,21.0,79.07567632780388,30596.0,1008.0,5.319541928333949,84000021,USA,893.7567022258912,37.23679349833764
04-19,2960,146,1174.0,2814.0,21.0,86.46619945707405,32225.0,1059.0,4.9324324324324325,84000021,USA,941.3423234811527,35.777027027027025
04-20,3050,154,1174.0,2896.0,21.0,89.09523930543104,32572.0,1059.0,5.049180327868854,84000021,USA,951.4787326742622,34.721311475409834
04-21,3204,171,1174.0,3033.0,21.0,93.59381860150854,32820.0,1059.0,5.337078651685394,84000021,USA,958.7231980341792,33.05243445692884
04-22,3378,185,1266.0,3193.0,21.0,98.6766289749987,33328.0,1076.0,5.476613380698638,84000021,USA,973.5626674004608,31.85316755476613
04-23,3479,191,1311.0,3288.0,21.0,101.62699591593264,36075.0,1105.0,5.4900833572865775,84000021,USA,1053.8068058830902,31.76200057487784
04-24,3779,200,1341.0,3579.0,21.0,110.39046207712259,44962.0,1143.0,5.292405398253506,84000021,USA,1313.4098851314068,30.24609685101879
04-25,3915,205,1341.0,3710.0,21.0,114.36323340352871,44962.0,1143.0,5.236270753512133,84000021,USA,1313.4098851314068,29.19540229885057
04-26,4085,208,1501.0,3877.0,21.0,119.32919756153632,46558.0,1266.0,5.091799265605875,84000021,USA,1360.031525108937,30.99143206854345
04-27,4156,213,1511.0,3943.0,21.0,121.40321788635129,48474.0,1274.0,5.1251203079884515,84000021,USA,1416.0008623250706,30.654475457170356
04-28,4375,225,1521.0,4150.0,21.0,127.80054818401993,48799.0,1281.0,5.142857142857143,84000021,USA,1425.494617333026,29.28
04-29,4537,234,1617.0,4303.0,21.0,132.53281991106252,52411.0,1331.0,5.1575931232091685,84000021,USA,1531.0067499137529,29.336566012783777
04-30,4708,240,1668,2800.0,21,137.52799562294078,54101.0,1359.0,5.097706032285472,84000021,USA,1580.3742759551226,28.86576040781648
05-01,4882,246,1675,2961.0,21,142.61080599643094,56612.0,1375.0,5.038918476034413,84000021,USA,1653.7244877242829,28.16468660385088
05-02,4879,248,1752,2879.0,21,142.52317133481904,57649.0,1411.0,5.083008813281411,84000021,USA,1684.0168690881292,28.9198606271777
05-03,5130,253,1752,3125.0,21,149.85527135634794,57649.0,1411.0,4.9317738791423,84000021,USA,1684.0168690881292,27.504873294346982
05-04,5245,261,1892,3092.0,21,153.21460005147077,58409.0,1519.0,4.976167778836988,84000021,USA,1706.2176500298106,28.96091515729266
05-05,5822,275,1892.0,3655.0,21,170.06966663482606,60047.0,1529.0,4.723462727585021,84000021,USA,1754.0661752699075,26.262452765372725
05-06,5934,283,2058.0,3593.0,21,173.341360668337,61014.0,1603.0,4.769127064374789,84000021,USA,1782.3137478628094,27.013818672059323
05-07,6129,294,2125.0,3710.0,21,179.03761367311046,78606.0,1616.0,4.796867351933432,84000021,USA,2296.203403554988,26.36645456028716
05-08,6288,298,2177.0,3813.0,21,183.68225073854111,81401.0,1684.0,4.739185750636132,84000021,USA,2377.8496966234075,26.78117048346056
05-09,6440,304,2266.0,3870.0,21,188.12240692687732,86447.0,1696.0,4.720496894409939,84000021,USA,2525.251197454622,26.33540372670808
05-10,6440,304,2308.0,3828.0,21,188.12240692687732,86923.0,1757.0,4.720496894409939,84000021,USA,2539.155897097044,27.282608695652176
05-11,6677,311,2308.0,4058.0,21,195.04554519421742,86923.0,1757.0,4.657780440317508,84000021,USA,2539.155897097044,26.31421296989666
05-12,6853,321,2335.0,4197.0,21,200.18677867544883,104024.0,1767.0,4.684079964978841,84000021,USA,3038.702679838741,25.784328031519042
05-13,6853,321,2546.0,3986.0,21,200.18677867544883,110634.0,1825.0,4.684079964978841,84000021,USA,3231.791050923625,26.630672698088432
05-14,7225,328,2649.0,4248.0,21,161.71729667771118,117395.0,1835.0,4.539792387543253,84000021,USA,2627.6542620733435,25.397923875432525
05-15,7444,332,2712.0,4400.0,21,166.61917736593526,121278.0,1887.0,4.45996775926921,84000021,USA,2714.567516467745,25.34927458355723
05-16,7688,334,2739.0,4615.0,21,172.08063347518944,127734.0,1896.0,4.344432882414152,84000021,USA,2859.072273194569,24.66181061394381
05-17,7688,334,2768.0,4586.0,21,172.08063347518944,129685.0,1896.0,4.344432882414152,84000021,USA,2902.741539051761,24.66181061394381
05-18,7935,346,2768.0,4821.0,21,177.60923863496723,129685.0,1896.0,4.360428481411469,84000021,USA,2902.741539051761,23.89413988657845
05-19,8069,366,2826.0,4877.0,21,180.6085628916888,153986.0,1980.0,4.5358780518031985,84000021,USA,3446.671231309901,24.538356673689428
05-20,8167,376,2826.0,4965.0,21,182.80209854212697,153986.0,2010.0,4.6038937186237305,84000021,USA,3446.671231309901,24.61124035753643
05-21,8286,386,2919.0,4981.0,21,185.46567754623044,158672.0,2016.0,4.658460053101617,84000021,USA,3551.558048227791,24.33019551049964
05-22,8426,391,3008.0,5027.0,21,188.59929990399925,166240.0,2041.0,4.640398765725137,84000021,USA,3720.9527196820363,24.222644196534535
05-23,8571,391,3069.0,5111.0,21,191.84483734597407,171459.0,2076.0,4.561894761404737,84000021,USA,3837.769684576289,24.22121106055303
05-24,8571,391,3102.0,5078.0,21,191.84483734597407,169856.0,2131.0,4.561894761404737,84000021,USA,3801.8897085798358,24.862909812157273
05-25,8571,391,3102.0,5078.0,21,191.84483734597407,169856.0,2131.0,4.561894761404737,84000021,USA,3801.8897085798358,24.862909812157273
05-26,8951,394,3102.0,5455.0,21,200.35038374563226,169856.0,2131.0,4.401742822031059,84000021,USA,3801.8897085798358,23.8073958216959
05-27,9077,400,3124.0,5553.0,21,203.17064386762416,182101.0,2136.0,4.406742315743087,84000021,USA,4075.9697498003993,23.532003966068093
05-28,9185,409,3124.0,5652.0,21,205.5880096864744,182101.0,2142.0,4.4529123571039735,84000021,USA,4075.9697498003993,23.32063146434404
05-29,9464,418,3181.0,5865.0,21,211.83287138517082,221274.0,2180.0,4.416737109044801,84000021,USA,4952.7796685209505,23.034657650042266
05-30,9704,431,3231.0,6042.0,21,217.20479542706013,208195.0,2266.0,4.441467436108821,84000021,USA,4660.032191254822,23.351195383347072
05-31,9704,431,3232.0,6041.0,21,217.20479542706013,213753.0,2272.0,4.441467436108821,84000021,USA,4784.436998858242,23.413025556471556
06-01,10046,439,3232.0,6375.0,21,224.85978718675247,216046.0,2274.0,4.369898467051564,84000021,USA,4835.761256475127,22.63587497511447
06-02,10185,442,3275.0,6468.0,21,227.9710265276801,227271.0,2307.0,4.339715267550319,84000021,USA,5087.010620517661,22.650957290132553
