Date,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
04-12,387,6,169.0,381,30.0,44.68889256,8913.0,47.0,1.5503875969999998,84000030,USA,1029.230231,12.14470284
04-13,394,7,171.0,387.0,30.0,45.497218780420496,9098.0,47.0,1.7766497461928934,84000030,USA,1050.5931382341766,11.928934010152284
04-14,399,7,197.0,392.0,30.0,46.07459465,9234.0,50.0,1.754385965,84000030,USA,1066.297762,12.53132832
04-15,404,7,209.0,397.0,30.0,46.651970526116436,9583.0,51.0,1.7326732673267329,84000030,USA,1106.5985979004304,12.623762376237625
04-16,415,7,218.0,408.0,30.0,47.922197446381986,9936.0,52.0,1.686746987951807,84000030,USA,1147.3613345234974,12.530120481927712
04-17,422,8,233.0,414.0,30.0,48.73052366836916,10244.0,54.0,1.895734597156398,84000030,USA,1182.9276882909328,12.796208530805687
04-18,426,10,234.0,416.0,30.0,49.192424366647536,10569.0,55.0,2.347417840375587,84000030,USA,1220.4571200260511,12.910798122065728
04-19,433,10,243.0,423.0,30.0,50.0007505886347,10898.0,55.0,2.3094688221709005,84000030,USA,1258.448452459448,12.702078521939955
04-20,433,10,243.0,423.0,30.0,50.0007505886347,11051.0,57.0,2.3094688221709005,84000030,USA,1276.116154168596,13.163972286374134
04-21,437,12,273.0,425.0,30.0,50.462651286913086,11241.0,59.0,2.7459954233409607,84000030,USA,1298.056437336819,13.501144164759724
04-22,439,14,296.0,425.0,30.0,50.69360163605227,11583.0,59.0,3.1890660592255125,84000030,USA,1337.5489470396208,13.439635535307515
04-23,442,14,306.0,428.0,30.0,51.04002715976107,11875.0,59.0,3.1674208144796383,84000030,USA,1371.2676980139427,13.348416289592759
04-24,444,14,325.0,430.0,30.0,51.27097750890025,12127.0,59.0,3.1531531531531534,84000030,USA,1400.3674420054806,13.288288288288289
04-25,445,14,339.0,431.0,30.0,51.38645268346984,12497.0,61.0,3.1460674157303368,84000030,USA,1443.0932565962307,13.707865168539325
04-26,448,14,339.0,434.0,30.0,51.73287820717863,12862.0,61.0,3.125,84000030,USA,1485.2416953141326,13.616071428571427
04-27,449,14,352.0,435.0,30.0,51.848353381748225,13033.0,61.0,3.11804008908686,84000030,USA,1504.9879501655334,13.585746102449887
04-28,451,15,356.0,436.0,30.0,52.079303730887425,13191.0,61.0,3.3259423503325944,84000030,USA,1523.2330277475296,13.525498891352552
04-29,451,16,382.0,435.0,30.0,52.079303730887425,13528.0,61.0,3.547671840354768,84000030,USA,1562.1481615774833,13.525498891352552
04-30,453,16,392,45.0,30,52.310254080026596,13914.0,61.0,3.5320088300220753,84000030,USA,1606.721578961347,13.465783664459162
05-01,453,16,397,40.0,30,52.310254080026596,14203.0,61.0,3.5320088300220753,84000030,USA,1640.0939044119598,13.465783664459162
05-02,455,16,404,35.0,30,52.541204429165795,14635.0,61.0,3.5164835164835164,84000030,USA,1689.979179826025,13.406593406593409
05-03,455,16,404,35.0,30,52.541204429165795,15007.0,61.0,3.5164835164835164,84000030,USA,1732.9359447659147,13.406593406593409
05-04,457,16,404,37.0,30,52.772154778304994,15088.0,62.0,3.5010940919037203,84000030,USA,1742.2894339060517,13.566739606126914
05-05,456,16,410.0,30.0,30,52.65667960373539,15272.0,62.0,3.5087719298245608,84000030,USA,1763.5368660268573,13.596491228070176
05-06,456,16,417.0,23.0,30,52.65667960373539,19704.0,62.0,3.5087719298245608,84000030,USA,2275.322839719303,13.596491228070176
05-07,456,16,417.0,23.0,30,52.65667960373539,20247.0,62.0,3.5087719298245608,84000030,USA,2338.025859510593,13.596491228070176
05-08,458,16,420.0,22.0,30,52.887629952874576,20945.0,62.0,3.4934497816593884,84000030,USA,2418.6275313601705,13.537117903930133
05-09,458,16,422.0,20.0,30,52.887629952874576,21329.0,62.0,3.4934497816593884,84000030,USA,2462.969998394895,13.537117903930133
05-10,458,16,422.0,20.0,30,52.887629952874576,21704.0,62.0,3.4934497816593884,84000030,USA,2506.273188858493,13.537117903930133
05-11,459,16,423.0,20.0,30,53.00310512744418,22572.0,62.0,3.4858387799564268,84000030,USA,2606.5056403849017,13.507625272331154
05-12,461,16,425.0,20.0,30,53.23405547658336,23035.0,63.0,3.470715835140998,84000030,USA,2659.970646210624,13.66594360086768
05-13,462,16,430.0,16.0,30,53.34953065115296,23852.0,63.0,3.463203463203463,84000030,USA,2754.3138638339838,13.636363636363635
05-14,462,16,431.0,15.0,30,43.226937680229206,24549.0,63.0,3.463203463203463,84000030,USA,2296.922279463088,13.636363636363635
05-15,466,16,431.0,19.0,30,43.60119688092382,25418.0,63.0,3.433476394849785,84000030,USA,2378.230090813995,13.51931330472103
05-16,468,16,431.0,21.0,30,43.788326481271135,26091.0,63.0,3.418803418803418,84000030,USA,2441.199201330866,13.461538461538463
05-17,468,16,431.0,21.0,30,43.788326481271135,26885.0,63.0,3.418803418803418,84000030,USA,2515.489652668749,13.461538461538463
05-18,470,16,434.0,20.0,30,43.975456081618454,28167.0,64.0,3.404255319148936,84000030,USA,2635.439726491376,13.617021276595745
05-19,471,16,437.0,18.0,30,44.0690208817921,28950.0,65.0,3.397027600849257,84000030,USA,2708.700965027349,13.800424628450106
05-20,478,16,440.0,22.0,30,44.7239744830077,29726.0,65.0,3.3472803347280333,84000030,USA,2781.3072499621057,13.598326359832635
05-21,479,16,440.0,23.0,30,44.81753928318136,30524.0,65.0,3.3402922755741127,84000030,USA,2855.9719605006844,13.569937369519833
05-22,479,16,441.0,22.0,30,44.81753928318136,31857.0,65.0,3.3402922755741127,84000030,USA,2980.693839132168,13.569937369519833
05-23,479,16,441.0,22.0,30,44.81753928318136,32652.0,65.0,3.3402922755741127,84000030,USA,3055.0778552702245,13.569937369519833
05-24,479,16,441.0,22.0,30,44.81753928318136,33381.0,65.0,3.3402922755741127,84000030,USA,3123.28659459682,13.569937369519833
05-25,479,16,441.0,22.0,30,44.81753928318136,33682.0,65.0,3.3402922755741127,84000030,USA,3151.449599449091,13.569937369519833
05-26,479,17,441.0,21.0,30,44.81753928318136,33834.0,65.0,3.5490605427974953,84000030,USA,3165.6714490754857,13.569937369519833
05-27,481,17,444.0,20.0,30,45.00466888352866,35643.0,66.0,3.5343035343035343,84000030,USA,3334.9301725896307,13.721413721413722
05-28,485,17,445.0,23.0,30,45.37892808422329,36793.0,66.0,3.5051546391752577,84000030,USA,3442.5296927893346,13.608247422680412
05-29,493,17,448.0,28.0,30,46.12744648561254,38529.0,67.0,3.4482758620689653,84000030,USA,3604.9581858908014,13.590263691683571
05-30,505,17,448.0,40.0,30,47.25022408769642,39284.0,67.0,3.366336633663366,84000030,USA,3675.5996100219127,13.267326732673268
05-31,515,17,456.0,42.0,30,48.185872089432976,39798.0,67.0,3.300970873786408,84000030,USA,3723.691917311172,13.009708737864075
06-01,519,17,461.0,41.0,30,48.5601312901276,40657.0,67.0,3.2755298651252414,84000030,USA,3804.064080660343,12.909441233140655
06-02,523,17,462.0,44.0,30,48.93439049082223,42212.0,67.0,3.2504780114722758,84000030,USA,3949.557344930377,12.810707456978967
06-03,525,17,464.0,44.0,30,49.121520091169536,43448.0,68.0,3.238095238095238,84000030,USA,4065.203437945018,12.952380952380953
06-04,539,17,467.0,55.0,30,50.431427293600734,44642.0,68.0,3.1539888682745825,84000030,USA,4176.919809352364,12.61595547309833
06-05,541,18,470.0,53.0,30,50.61855689394804,45888.0,68.0,3.3271719038817005,84000030,USA,4293.501550368739,12.569316081330866
06-06,540,18,472.0,50.0,30,50.524992093774394,46754.0,68.0,3.333333333333333,84000030,USA,4374.528667319125,12.592592592592592
06-07,545,18,475.0,52.0,30,50.99281609464267,47378.0,69.0,3.3027522935779823,84000030,USA,4432.913102627486,12.660550458715596
06-08,548,18,475.0,55.0,30,51.273510495163634,51592.0,69.0,3.2846715328467155,84000030,USA,4827.195170559275,12.591240875912408
06-09,554,18,485.0,51.0,30,51.83489929620557,53184.0,72.0,3.249097472924188,84000030,USA,4976.1503324357345,12.99638989169675
06-10,561,18,487.0,56.0,30,52.489852897421166,54616.0,74.0,3.2085561497326203,84000030,USA,5110.135126284411,13.190730837789662
