Date,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
04-12,929,23,236.0,906,33.0,69.94702398,10925.0,146.0,2.475780409,84000033,USA,822.5739902,15.71582347
04-13,985,23,239.0,962.0,33.0,74.16342154639392,11207.0,152.0,2.3350253807106602,84000033,USA,843.8065637263318,15.431472081218276
04-14,922,25,249.0,897.0,33.0,69.41997428,11610.0,152.0,2.7114967460000003,84000033,USA,874.1495677000001,16.48590022
04-15,1139,32,365.0,1107.0,33.0,85.7585148643073,12166.0,178.0,2.809482001755926,84000033,USA,916.0123721151558,15.62774363476734
04-16,1139,32,365.0,1107.0,33.0,85.7585148643073,12166.0,178.0,2.809482001755926,84000033,USA,916.0123721151558,15.62774363476734
04-17,1287,37,455.0,1250.0,33.0,96.90185129970457,12708.0,190.0,2.8749028749028747,84000033,USA,956.8210771691107,14.763014763014764
04-18,1342,38,468.0,1304.0,33.0,101.04295605610218,12852.0,190.0,2.8315946348733236,84000033,USA,967.6632423494972,14.157973174366616
04-19,1390,38,513.0,1352.0,33.0,104.65701111623102,13424.0,192.0,2.733812949640288,84000033,USA,1010.7307318160324,13.81294964028777
04-20,1447,42,521.0,1405.0,33.0,108.948701500134,14118.0,198.0,2.902557014512785,84000033,USA,1062.9839445603957,13.683483068417413
04-21,1490,42,521.0,1448.0,33.0,112.18629249149944,14339.0,206.0,2.8187919463087248,84000033,USA,1079.6236563997386,13.825503355704695
04-22,1588,48,546.0,1540.0,33.0,119.56498823926249,15041.0,206.0,3.022670025188917,84000033,USA,1132.479211654123,12.972292191435768
04-23,1670,51,550.0,1619.0,33.0,125.73899896698259,16012.0,213.0,3.053892215568862,84000033,USA,1205.5885338079793,12.754491017964073
04-24,1720,53,578.0,1667.0,33.0,129.5036396546168,17727.0,224.0,3.081395348837209,84000033,USA,1334.7157093938326,13.023255813953488
