Date,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
04-12,4570,89,,4481,37.0,46.07841902,62139.0,331.0,1.947483589,84000037,USA,626.5354222,7.242888402999999
04-13,4886,94,,4792.0,37.0,49.264585407660405,63388.0,313.0,1.9238641015145312,84000037,USA,639.1288456448584,6.406058125255831
04-14,5113,112,,5001.0,37.0,51.55338215,65039.0,418.0,2.190494817,84000037,USA,655.7755568,8.175239585
04-15,5340,130,,5210.0,37.0,53.842178894168356,67827.0,431.0,2.4344569288389515,84000037,USA,683.8864172012654,8.071161048689138
04-16,5639,150,,5489.0,37.0,56.85693760004033,70917.0,452.0,2.6600461074658632,84000037,USA,715.0422847636212,8.015605603830467
04-17,6045,177,,5868.0,37.0,60.950556444802935,72981.0,429.0,2.9280397022332507,84000037,USA,735.8531943586706,7.096774193548387
04-18,6328,187,,6141.0,37.0,63.803990270093145,76211.0,388.0,2.9551201011378003,84000037,USA,768.420654626117,6.131479140328697
04-19,6601,200,,6401.0,37.0,66.55659604501972,78772.0,465.0,3.0298439630359035,84000037,USA,794.2427183242378,7.044387214058477
04-20,6895,218,,6677.0,37.0,69.52094072570989,79484.0,373.0,3.161711385061639,84000037,USA,801.4216755101268,5.409717186366931
04-21,7134,245,,6889.0,37.0,71.9307311294002,83331.0,427.0,3.4342584805158403,84000037,USA,840.2102264850081,5.985421923184749
04-22,7495,265,,7230.0,37.0,75.57062374752655,90336.0,434.0,3.535690460306871,84000037,USA,910.8402757647176,5.790527018012008
04-23,7820,281,,7539.0,37.0,78.84753538434394,96185.0,486.0,3.5933503836317136,84000037,USA,969.8146024223939,6.2148337595907925
04-24,8290,294,,7996.0,37.0,83.58645375143365,100584.0,477.0,3.5464414957780463,84000037,USA,1014.1688617773464,5.753920386007238
04-25,8768,305,,8463.0,37.0,88.40603455881426,105265.0,456.0,3.478558394160584,84000037,USA,1061.366472152553,5.200729927007299
04-26,8997,324,,8673.0,37.0,90.71499691214096,107894.0,451.0,3.601200400133378,84000037,USA,1087.8741665931461,5.012782038457264
04-27,9321,340,,8981.0,37.0,95.06068588281259,109920.0,473.0,3.6062791684344506,84000037,USA,1108.3019295968138,5.016970725498515
04-28,9755,363,,9392.0,37.0,98.35776312970268,112752.0,,3.72116863147104,84000037,USA,1136.8564334597886,
04-29,10180,382,,9798.0,37.0,102.64295527015615,118440.0,,3.7524557956778,84000037,USA,1194.2074285066105,
04-30,10754,406,0,10348.0,37,108.43048536102744,128036.0,,3.775339408592152,84000037,USA,1290.9620256355315,
05-01,11070,419,0,10651.0,37,111.61665175251757,133832.0,,3.7850045167118336,84000037,USA,1349.4019636262808,
05-02,11588,431,0,11157.0,37,116.8395447613526,139475.0,,3.719364860200207,84000037,USA,1406.2992324464667,
05-03,11770,434,0,11336.0,37,118.67461527797032,143835.0,,3.6873406966864914,84000037,USA,1450.260262405001,
05-04,11971,442,0,11529.0,37,120.70125909027892,146439.0,,3.6922562860245587,84000037,USA,1476.5158867196853,
05-05,12510,472,,12038.0,37,126.13589100487756,151800.0,,3.772981614708233,84000037,USA,1530.5698045196173,
05-06,13053,492,,12561.0,37,131.61085413962164,164482.0,,3.7692484486324975,84000037,USA,1658.4399379907488,
05-07,13540,513,,13027.0,37,136.5211801923295,171328.0,,3.78877400295421,84000037,USA,1727.4668212696772,
05-08,14006,530,,13476.0,37,141.21976733927374,178613.0,,3.7840925317720977,84000037,USA,1800.920055959568,
05-09,14478,551,,13927.0,37,145.97885131643622,186362.0,,3.8057742782152233,84000037,USA,1879.0517121863306,
05-10,14938,564,,14374.0,37,150.61694163316238,192135.0,,3.7756058374615074,84000037,USA,1937.259745661243,
05-11,15274,575,9115.0,5584.0,37,154.0047641253797,195865.0,,3.7645672384444153,84000037,USA,1974.8686084468698,
05-12,15622,600,9115.0,5907.0,37,157.51358027803334,202244.0,,3.840737421584944,84000037,USA,2039.1868217738172,
05-13,16352,625,9115.0,6612.0,37,164.87402795457697,210457.0,,3.8221624266144816,84000037,USA,2121.9968995374506,
05-14,16968,641,9115.0,7212.0,37,161.78360127550462,219268.0,,3.7776991984912778,84000037,USA,2090.6392435453413,
05-15,17494,667,9115.0,7712.0,37,166.7988166380056,231547.0,,3.812735795129759,84000037,USA,2207.714964906841,
05-16,18130,676,9115.0,8339.0,37,172.86284129684697,238586.0,,3.7286265857694434,84000037,USA,2274.829225242666,
05-17,18673,686,9115.0,8872.0,37,178.0401453687823,248944.0,,3.67375354790339,84000037,USA,2373.588922438073,
05-18,19207,693,11637.0,6877.0,37,183.13163777101713,255755.0,,3.60805956161816,84000037,USA,2438.529287141484,
05-19,19239,693,11637.0,6909.0,37,183.4367459299525,265008.0,,3.6020583190394517,84000037,USA,2526.7532182236528,
05-20,20262,726,11637.0,7899.0,37,193.19067238591907,277603.0,,3.5830618892508137,84000037,USA,2646.8418826546394,
05-21,20512,728,11637.0,8147.0,37,195.57432987760205,290645.0,,3.549141965678627,84000037,USA,2771.192526680755,
05-22,22110,775,11637.0,9698.0,37,210.81066856443942,303224.0,,3.5052012663952965,84000037,USA,2891.128637032274,
05-23,22864,778,11637.0,10449.0,37,217.9997795593552,329582.0,,3.4027291812456264,84000037,USA,3142.44241369539,
05-24,23365,784,11637.0,10944.0,37,222.7766291726878,336656.0,,3.355446180184036,84000037,USA,3209.8903860800506,
05-25,24057,790,14954.0,8313.0,37,229.37459310966614,344690.0,,3.283867481398345,84000037,USA,3286.491603232773,
05-26,24455,801,14954.0,8700.0,37,233.16937583642544,352331.0,,3.275403802903292,84000037,USA,3359.3457108085713,
05-27,24916,844,14954.0,9118.0,37,237.56484025108875,364156.0,,3.3873816021833365,84000037,USA,3472.092710165174,
05-28,25800,876,14954.0,9970.0,37,245.99345314167962,375192.0,,3.3953488372093017,84000037,USA,3577.316886478026,
05-29,26885,919,14954.0,11012.0,37,256.3385266555836,391231.0,,3.418262971917426,84000037,USA,3730.2428165144374,
05-30,27794,929,14954.0,11911.0,37,265.0055052953428,404157.0,,3.3424480103619487,84000037,USA,3853.487443464412,
05-31,28785,937,14954.0,12894.0,37,274.45432359237395,416289.0,,3.2551676220253603,84000037,USA,3969.1615742208014,
06-01,29592,948,18860.0,9784.0,37,282.1487699755265,421908.0,,3.203568532035685,84000037,USA,4022.736660003867,
06-02,30023,961,18860.0,10202.0,37,286.25819549118785,434921.0,,3.200879325850181,84000037,USA,4146.810799760948,
06-03,31276,999,18860.0,11417.0,37,298.2050868395028,449263.0,,3.19414247346208,84000037,USA,4283.556462743814,
06-04,32075,1006,18860.0,12209.0,37,305.8232561829215,468302.0,,3.1363990646921276,84000037,USA,4465.086282680421,
06-05,33295,1015,18860.0,13420.0,37,317.45550474233426,482147.0,,3.0485057816488963,84000037,USA,4597.093234569822,
06-06,34718,1028,18860.0,14830.0,37,331.02328318499355,497350.0,,2.961000057607005,84000037,USA,4742.0482139540445,
06-07,35625,1032,18860.0,15733.0,37,339.67119256481925,511226.0,,2.896842105263158,84000037,USA,4874.350739372416,
06-08,36517,1041,23653.0,11823.0,37,348.176082495144,520113.0,,2.850727058630227,84000037,USA,4959.08499588676,
06-09,37227,1068,23653.0,12506.0,37,354.94566977152357,535711.0,,2.8688854863405586,84000037,USA,5107.806154107843,
06-10,38473,1090,23653.0,13730.0,37,366.8258187100714,553650.0,,2.833155719595561,84000037,USA,5278.847881081044,
06-11,39584,1106,23653.0,14825,37,377.4187926031104,572677.0,,2.7940582053354897,84000037,USA,5460.26328545805,
06-12,41417,1121,23653.0,16643.0,37,394.89576933212965,595697.0,,2.706618055387884,84000037,USA,5679.750467292216,
