Date,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
04-12,10609,506,,10103,53.0,140.5276682,93615.0,642.0,4.769535299999999,84000053,USA,1240.031828,6.051465737000001
04-13,10635,513,,10122.0,53.0,140.8720663077597,93802.0,527.0,4.823695345557122,84000053,USA,1242.5088447391138,4.955336154207805
04-14,10799,530,,10269.0,53.0,143.04442350000002,93929.0,387.0,4.907861839,84000053,USA,1244.1910970000001,3.5836651539999997
04-15,10942,552,,10390.0,53.0,144.9386130267519,122854.0,645.0,5.044781575580332,84000053,USA,1627.333975944853,5.894717601900933
04-16,11057,579,,10478.0,53.0,146.46191228630923,124283.0,595.0,5.236501763588677,84000053,USA,1646.2626250049177,5.381206475535859
04-17,11517,603,,10914.0,53.0,152.55510932453862,128900.0,622.0,5.235738473560823,84000053,USA,1707.4197787560156,5.400711990969871
04-18,11776,613,,11163.0,53.0,155.98584417867215,131627.0,518.0,5.205502717391305,84000053,USA,1743.5418403283013,4.398777173913044
04-19,12255,636,,11619.0,53.0,162.33071674674142,135706.0,586.0,5.189718482252142,84000053,USA,1797.5726027607745,4.78172174622603
04-20,12114,643,,11471.0,53.0,160.46301939371898,138642.0,403.0,5.307908205382202,84000053,USA,1836.4630951612994,3.3267294039953774
04-21,12392,664,,11728.0,53.0,166.41050954625157,141011.0,503.0,5.285361776645706,84000053,USA,1867.8430599081807,4.003820743452997
04-22,12596,686,,11910.0,53.0,159.6285163210919,145031.0,543.0,5.368849058169446,84000053,USA,1921.0923035900985,4.505850136918098
04-23,12753,711,,12042.0,53.0,168.92726484465064,147953.0,544.0,5.57515878616796,84000053,USA,1959.7973508633731,4.265662981259312
04-24,12977,722,,12255.0,53.0,171.89438688065795,160324.0,455.0,5.563689604685212,84000053,USA,2123.6646129501896,3.506203282730985
04-25,13319,737,,12582.0,53.0,176.42454641777638,160324.0,455.0,5.5334484570913745,84000053,USA,2123.6646129501896,3.416172385314213
04-26,13521,749,,12772.0,53.0,179.10025468239013,170594.0,508.0,5.539531099770727,84000053,USA,2259.70185986892,3.757118556319799
04-27,13686,764,,12922.0,53.0,181.285857967842,175477.0,536.0,5.5823469238638035,84000053,USA,2324.3824710377758,3.9164109308782704
04-28,13842,786,,13056.0,53.0,183.3522465286328,179679.0,,5.678370177719983,84000053,USA,2380.0425013739496,
04-29,14070,801,,13269.0,53.0,186.3723528867117,182515.0,,5.6929637526652455,84000053,USA,2417.608385722685,
04-30,14327,814,0,13513.0,53,189.77659557980945,187800.0,,5.681580233126264,84000053,USA,2487.613921259734,
05-01,14637,824,0,13813.0,53,193.8828805403553,193981.0,,5.629568900731024,84000053,USA,2569.487944940812,
05-02,15003,830,0,14173.0,53,198.73094600990302,198724.0,,5.5322268879557415,84000053,USA,2632.314104837164,
05-03,15185,834,0,14351.0,53,201.141732664159,207315.0,,5.492262100757326,84000053,USA,2746.1111825663565,
05-04,15462,841,0,14621.0,53,204.81089696761453,212005.0,,5.439141120165568,84000053,USA,2808.235300195261,
05-05,15594,862,,14732.0,53,206.559379595976,216320.0,,5.5277670899063756,84000053,USA,2865.3921376299554,
05-06,15905,870,,15035.0,53,210.67891063703976,219453.0,,5.469977994341402,84000053,USA,2906.892107892505,
05-07,16231,891,,15340.0,53,214.99713288587188,224813.0,,5.4894954100178674,84000053,USA,2977.8910994683947,
05-08,16388,905,,15483.0,53,217.07676752718064,230680.0,,5.522333414693677,84000053,USA,3055.6058538668553,
05-09,16674,921,,15753.0,53,220.86514655529717,235835.0,3450.0,5.52356962936308,84000053,USA,3123.8893989365783,20.690896005757466
05-10,16891,931,,15960.0,53,223.7395460276793,242989.0,,5.511811023622046,84000053,USA,3218.651858961563,
05-11,17122,945,,16177.0,53,226.79939062731185,248875.0,,5.519215044971381,84000053,USA,3296.6182888898634,
05-12,17330,962,,16368.0,53,229.55457537503293,252108.0,,5.551067512983266,84000053,USA,3339.442867204201,
05-13,17512,974,,16538.0,53,231.9653620292889,256321.0,,5.5619004111466435,84000053,USA,3395.248604426072,
05-14,17773,983,,16790.0,53,233.3978954136322,261080.0,,5.530861419006358,84000053,USA,3428.5445639223035,
05-15,17951,991,,16960.0,53,235.73542005120757,267931.0,,5.5205838114868255,84000053,USA,3518.512998147183,
05-16,18288,999,,17289.0,53,240.1609582695384,273303.0,,5.462598425196849,84000053,USA,3589.0589664227723,
05-17,18433,1001,,17432.0,53,242.06512159790032,280993.0,,5.430477947159985,84000053,USA,3690.0452836303807,
05-18,18611,1002,,17609.0,53,244.4026462354757,285243.0,,5.383912739777551,84000053,USA,3745.856967392713,
05-19,18811,1031,,17780.0,53,247.02907841252662,289135.0,,5.4808356812503325,84000053,USA,3796.967337558125,
05-20,18971,1037,,17934.0,53,249.13022415416737,293120.0,,5.466237942122186,84000053,USA,3849.2989986858647,
05-21,19117,1044,,18073.0,53,251.04751964341455,297942.0,3125.0,5.461107914421719,84000053,USA,3912.622278474563,16.346707119317884
05-22,19265,1050,,18215.0,53,252.99107945443225,302927.0,3156.0,5.450298468725668,84000053,USA,3978.086100487558,16.382039968855437
05-23,19265,1050,,18215.0,53,252.99107945443225,308358.0,3230.0,5.450298468725668,84000053,USA,4049.406866255376,16.766156241889437
05-24,19828,1061,,18767.0,53,260.38448603283064,316276.0,3256.0,5.351018761347589,84000053,USA,4153.387316144823,16.421222513617106
05-25,20065,1070,,18995.0,53,263.4968081626361,326593.0,3287.0,5.332668826314478,84000053,USA,4288.871819997996,16.38175928233242
05-26,20181,1078,,19103.0,53,265.0201388253256,330598.0,3290.0,5.341657995143947,84000053,USA,4341.466124343441,16.302462712452307
05-27,20406,1095,,19311.0,53,267.9748750245079,332791.0,3338.0,5.366068803293148,84000053,USA,4370.264953164805,16.357933940997743
05-28,20764,1106,,19658.0,53,272.6761886214291,335801.0,3394.0,5.326526680793681,84000053,USA,4409.792757429422,16.345598150645348
05-29,21071,1111,,19960.0,53,276.70776201320234,343091.0,3413.0,5.272649613212471,84000053,USA,4505.526210282927,16.197617578662616
05-30,21349,1118,,20231.0,53,280.3585027393031,348233.0,3455.0,5.236779240245445,84000053,USA,4573.051781554907,16.183427795212893
05-31,21702,1118,,20584.0,53,284.99415553179796,354354.0,3480.0,5.151598930974104,84000053,USA,4653.433738333552,16.035388443461432
06-01,21977,1123,,20854.0,53,288.60549977524306,360899.0,3501.0,5.109887609773853,84000053,USA,4739.3837313275435,15.930290758520274
06-02,22157,1129,,21028.0,53,290.96928873458893,365272.0,3517.0,5.095455160897234,84000053,USA,4796.810670878764,15.873087511847274
06-03,22484,1135,,21349.0,53,295.2635053440672,368799.0,3543.0,5.048034157623198,84000053,USA,4843.127802321057,15.757872264721579
06-04,22729,1138,,21591.0,53,298.4808847609546,377327.0,3578.0,5.006819481719389,84000053,USA,4955.11887035051,15.742003607725813
06-05,22993,1149,,21844.0,53,301.9477752346619,383587.0,3615.0,4.997173052668203,84000053,USA,5037.3261974922025,15.722176314530511
06-06,23442,1153,,22289.0,53,307.84411547214125,390863.0,3639.0,4.918522310383073,84000053,USA,5132.875800093318,15.523419503455337
06-07,23729,1157,,22572.0,53,311.6130456462093,400588.0,3652.0,4.875890260862237,84000053,USA,5260.586064702419,15.390450503603187
06-08,24041,1161,,22880.0,53,315.71027984240885,405056.0,3669.0,4.829250031196707,84000053,USA,5319.260559537737,15.261428393161681
06-09,24354,1176,,23178.0,53,319.82064619949347,410290.0,3699.0,4.828775560482877,84000053,USA,5387.994289611161,15.188470066518846
06-10,24354,1176,,23178.0,53,319.82064619949347,415054.0,3747.0,4.828775560482877,84000053,USA,5450.555904068514,15.385562946538556
06-11,24779,1194,,23585,53,325.4018145757268,415342.0,3773.0,4.818596392106219,84000053,USA,5454.337966403466,15.22660317204084
06-12,25171,1204,,23967.0,53,330.5496216427467,425212.0,3772.0,4.783282348734655,84000053,USA,5583.952394340931,14.985499185570696
06-13,25538,1213,,24325.0,53,335.3691246876351,439862.0,3817.0,4.749784634662072,84000053,USA,5776.338551309915,14.946354452188896
06-14,25834,1217,,24617.0,53,339.2562443096705,450146.0,3845.0,4.710846171711697,84000053,USA,5911.389693853874,14.883486877757996
06-15,26158,1220,,24938.0,53,343.5110644364931,462602.0,3856.0,4.663965134949155,84000053,USA,6074.963889840606,14.74118816423274
06-16,26531,1231,,25300.0,53,348.40936044669314,471265.0,3894.0,4.639855263653839,84000053,USA,6188.7277995895665,14.677170102898495
06-17,26784,1226,,25558.0,53,351.73179715066254,480026.0,3915.0,4.577359617682198,84000053,USA,6303.778661105284,14.616935483870966
06-18,27192,1245,,25947.0,53,357.08971879184645,435016.0,3938.0,4.578552515445719,84000053,USA,5712.700099659969,14.482200647249194
06-19,27601,1255,,26346.0,53,362.4607725939157,446899.0,3959.0,4.546936705191841,84000053,USA,5868.749567459451,14.343683199884062
06-20,28225,1265,,26960.0,53,370.6552409863146,455941.0,4003.0,4.481842338352523,84000053,USA,5987.490566183925,14.182462356067314
06-21,28680,1270,,27410.0,53,376.6303741891055,466099.0,4030.0,4.428172942817295,84000053,USA,6120.887056456341,14.051603905160393
