Date,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
04-12,3563,93,,3470,1.0,75.98802021,21583.0,437.0,2.610159978,84000001,USA,460.3001516,12.26494527
04-13,3734,99,,3635.0,1.0,79.63493333293523,29182.0,457.0,2.6513122656668453,84000001,USA,622.3638523089759,12.23888591322978
04-14,3953,114,,3839.0,1.0,84.30554137,33117.0,493.0,2.8838856560000004,84000001,USA,706.2855081,12.4715406
04-15,4075,118,,3957.0,1.0,86.90743260088672,34077.0,525.0,2.8957055214723932,84000001,USA,726.7594063166669,12.883435582822086
04-16,4345,133,,4212.0,1.0,92.66571647873691,36391.0,553.0,3.0609896432681243,84000001,USA,776.1100318475752,12.727272727272727
04-17,4571,148,,4423.0,1.0,97.48561335427073,37848.0,594.0,3.2378035440822583,84000001,USA,807.1834378106407,12.994968278276088
04-18,4712,153,,4559.0,1.0,100.49271715714805,42538.0,620.0,3.247028862478777,84000001,USA,907.2069614666307,13.157894736842106
04-19,4888,157,,4731.0,1.0,104.24626516641335,45712.0,641.0,3.211947626841244,84000001,USA,974.8987874973583,13.113747954173489
04-20,5079,163,,4916.0,1.0,108.3197178355592,45900.0,641.0,3.2092931679464463,84000001,USA,978.908259234528,12.620594605237253
04-21,5317,183,,5134.0,1.0,113.39553843899748,48526.0,699.0,3.4417904833552755,84000001,USA,1034.912901690952,13.14651119052097
04-22,5593,196,,5397.0,1.0,119.28178418079986,48760.0,730.0,3.504380475594493,84000001,USA,1039.9034143850888,13.052029322367243
04-23,5832,202,,5630.0,1.0,124.37893176156355,52641.0,768.0,3.4636488340192044,84000001,USA,1122.6734133848536,13.168724279835393
04-24,6026,209,,5817.0,1.0,128.51636536268552,52889.0,769.0,3.4683040159309657,84000001,USA,1127.9625037615456,12.761367407899106
04-25,6026,209,,5817.0,1.0,128.51636536268552,71344.0,839.0,3.4683040159309657,84000001,USA,1521.5518703012672,13.92300033189512
04-26,6421,219,,6202.0,1.0,136.94052140620704,73551.0,845.0,3.4106836941286405,84000001,USA,1568.620509258361,13.159943933966673
04-27,6539,228,,6311.0,1.0,139.45710473060086,73997.0,872.0,3.4867716776265483,84000001,USA,1578.1323411454764,13.335372381098027
04-28,6750,242,,6508.0,1.0,143.9570969462541,75827.0,911.0,3.585185185185185,84000001,USA,1617.1607096509051,13.496296296296293
