Date,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
04-12,1280,27,367.0,1253,5.0,49.43942261,19722.0,130.0,2.109375,84000005,USA,761.7533537,10.15625
04-13,1410,29,391.0,1381.0,5.0,54.46061396810462,20804.0,130.0,2.0567375886524824,84000005,USA,803.5451155974812,9.21985815602837
04-14,1498,32,427.0,1466.0,5.0,57.85957427,21131.0,130.0,2.136181575,84000005,USA,816.1753431,8.67823765
04-15,1569,33,489.0,1536.0,5.0,60.601917245358976,21834.0,130.0,2.103250478011472,84000005,USA,843.3284009784372,8.2855321861058
04-16,1620,37,548.0,1583.0,5.0,62.57176923994999,22675.0,85.0,2.2839506172839505,84000005,USA,875.811646614732,5.246913580246914
04-17,1695,37,593.0,1658.0,5.0,65.46861040846619,23494.0,83.0,2.1828908554572277,84000005,USA,907.445152174929,4.896755162241887
04-18,1744,38,703.0,1706.0,5.0,67.36121330523011,24141.0,291.0,2.1788990825688077,84000005,USA,932.4352353219957,16.68577981651376
04-19,1781,39,721.0,1742.0,5.0,68.79032161503143,24209.0,291.0,2.18978102189781,84000005,USA,935.0617046481168,16.339135317237506
04-20,1973,41,749.0,1932.0,5.0,76.20623500643292,26553.0,291.0,2.078053725291434,84000005,USA,1025.5976473014766,14.749113025848963
04-21,1990,42,809.0,1948.0,5.0,76.86285233796326,27441.0,291.0,2.1105527638190957,84000005,USA,1059.8962467367085,14.623115577889447
04-22,2276,42,863.0,2234.0,5.0,87.90947332723837,29713.0,291.0,1.845342706502636,84000005,USA,1147.6512218682926,12.785588752196837
04-23,2599,45,902.0,2554.0,5.0,100.38520262631481,31590.0,291.0,1.7314351673720665,84000005,USA,1220.1495001790247,11.196614082339359
04-24,2810,47,929.0,2763.0,5.0,108.53498244707373,35578.0,291.0,1.6725978647686832,84000005,USA,1374.1842012462594,10.355871886120996
04-25,2911,48,964.0,2863.0,5.0,112.43606188734225,38053.0,291.0,1.6489178976296806,84000005,USA,1469.7799598072945,9.996564754379936
04-26,3001,51,985.0,2950.0,5.0,115.91227128956169,39469.0,291.0,1.6994335221592802,84000005,USA,1524.4723210688805,9.696767744085305
04-27,3069,51,987.0,3018.0,5.0,118.53874061568304,40457.0,109.0,1.66177908113392,84000005,USA,1562.6333753954668,3.551645487129358
04-28,3127,57,1146.0,3070.0,5.0,120.77896445266892,40671.0,,1.8228333866325552,84000005,USA,1570.8990288629666,
04-29,3193,57,1249.0,3136.0,5.0,123.32818468096315,45449.0,389.0,1.7851550266207328,84000005,USA,1755.4471235719054,12.182900093955526
04-30,3281,61,1305,1915.0,5,126.72714498535551,48379.0,402.0,1.859189271563548,84000005,USA,1868.6170518886047,12.252362084730265
05-01,3337,64,1973,1300.0,5,128.89011972451428,49676.0,414.0,1.917890320647288,84000005,USA,1918.7130918294788,12.406353011687145
05-02,3372,72,1987,1313.0,5,130.2419789364885,51582.0,414.0,2.1352313167259784,84000005,USA,1992.3314820587038,12.277580071174375
05-03,3437,76,1999,1362.0,5,132.7525746158692,52890.0,427.0,2.2112307244690137,84000005,USA,2042.8523920376267,12.423625254582484
05-04,3491,80,2016,1395.0,5,134.83830025720087,54442.0,438.0,2.2916069894013176,84000005,USA,2102.797691951455,12.546548266972215
05-05,3525,83,2041.0,1401.0,5,136.15153492026155,54635.0,453.0,2.354609929078014,84000005,USA,2110.25222989177,12.851063829787234
05-06,3611,87,2109.0,1415.0,5,139.4732461268268,59003.0,453.0,2.4093049016892834,84000005,USA,2278.9642595461537,12.545001384657992
05-07,3703,87,2123.0,1493.0,5,143.02670462687334,59995.0,462.0,2.3494463948150153,84000005,USA,2317.279812068395,12.476370510396974
05-08,3747,88,2159.0,1500.0,5,144.7261847790695,63994.0,466.0,2.348545503069122,84000005,USA,2471.7393831736786,12.436615959434215
05-09,3747,88,2968.0,691.0,5,144.7261847790695,65528.0,471.0,2.348545503069122,84000005,USA,2530.9894412070635,12.570056044835871
05-10,4012,91,2968.0,953.0,5,154.96169024116008,65528.0,471.0,2.268195413758724,84000005,USA,2530.9894412070635,11.73978065802592
05-11,4043,94,3149.0,800.0,5,156.15905125748012,69030.0,480.0,2.325006183527084,84000005,USA,2666.252611502313,11.872372000989365
05-12,4164,95,3220.0,849.0,5,160.83262167601958,70444.0,485.0,2.2814601344860708,84000005,USA,2720.8677236660724,11.647454370797309
05-13,4236,97,3220.0,919.0,5,163.61358919779516,73215.0,497.0,2.2898961284230412,84000005,USA,2827.896348705517,11.732766761095373
05-14,4366,98,3277.0,991.0,5,144.67473699418517,75818.0,509.0,2.244617498854787,84000005,USA,2512.3566672984725,11.658268437929456
05-15,4463,98,3390.0,975.0,5,147.888994778985,81529.0,520.0,2.1958323997311227,84000005,USA,2701.6002364633355,11.651355590410038
05-16,4578,98,3472.0,1008.0,5,151.69971277127345,81644.0,520.0,2.1406727828746184,84000005,USA,2705.410954455624,11.358671909130626
05-17,4759,98,3590.0,1071.0,5,157.69745152435345,85185.0,520.0,2.059256146249212,84000005,USA,2822.747931939914,10.926665265812144
05-18,4813,100,3645.0,1068.0,5,159.48683214681938,85239.0,530.0,2.077706212341575,84000005,USA,2824.5373125623796,11.011842925410347
05-19,4923,102,3739.0,1082.0,5,163.13186674813872,93701.0,535.0,2.071907373552712,84000005,USA,3104.939883438421,10.867357302457853
05-20,5003,107,3852.0,1044.0,5,165.7828010036437,96258.0,535.0,2.1387167699380374,84000005,USA,3189.6703695799993,10.693583849690183
05-21,5458,110,3915.0,1433.0,5,180.85998958182842,99276.0,535.0,2.015390252839868,84000005,USA,3289.676864368925,9.802125320630267
05-22,5612,113,4029.0,1470.0,5,185.9630380236755,103047.0,584.0,2.0135424091233074,84000005,USA,3414.635277837792,10.406272273699217
05-23,5775,115,4029.0,1631.0,5,191.3643165692669,103047.0,590.0,1.9913419913419916,84000005,USA,3414.635277837792,10.216450216450216
05-24,5922,116,4148.0,1658.0,5,196.23540826375736,108581.0,598.0,1.9587977034785544,84000005,USA,3598.0136549623503,10.097939885173927
