Date,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
04-12,22795,640,,22155,6.0,58.13772584,190328.0,5234.0,2.81202018,84000006,USA,485.42386849999997,22.9611757
04-13,23931,714,,23217.0,6.0,61.035047905282056,190882.0,3015.0,2.9877564665078773,84000006,USA,486.83682312715933,12.59872132380594
04-14,25356,767,,24589.0,6.0,64.66945279,202208.0,5163.0,3.0288689069999997,84000006,USA,515.7233282,20.36204449
04-15,26686,860,,25826.0,6.0,68.06156401321954,216486.0,5163.0,3.2264108521322044,84000006,USA,552.13878988855,19.347223263134232
04-16,27677,956,,26721.0,6.0,70.58906944442319,246400.0,5031.0,3.4577446977634865,84000006,USA,628.4332373850444,18.177548144668854
04-17,29157,1037,,28120.0,6.0,74.36374960404116,258800.0,4892.0,3.5566073327159864,84000006,USA,660.0589360196814,16.778132180951406
04-18,30491,1140,,29351.0,6.0,77.76606266683194,251614.0,4892.0,3.73880817290348,84000006,USA,641.7313335689958,16.044078580564758
04-19,31431,1177,,30254.0,6.0,80.1634946601028,280900.0,4731.0,3.744710635996309,84000006,USA,716.4240924572199,15.05201870764532
04-20,33686,1225,,32461.0,6.0,85.91478098438557,290500.0,4674.0,3.6365255595796473,84000006,USA,740.9085043033904,13.875200379979816
04-21,35465,1282,,34183.0,6.0,90.45204855462906,300100.0,4886.0,3.614831524037784,84000006,USA,765.392916149561,13.776963203158045
04-22,37344,1421,,35923.0,6.0,95.24436208160348,465327.0,4984.0,3.805162810625536,84000006,USA,1186.7976990773966,13.346186803770351
04-23,39561,1533,,38028.0,6.0,100.89873094232848,482097.0,4929.0,3.875028437097141,84000006,USA,1229.568906021176,12.459240160764391
04-24,41355,1621,,39734.0,6.0,105.47425540608162,494173.0,4880.0,3.9197195018740176,84000006,USA,1260.3682557560044,11.800265989602226
04-25,42368,1689,,40679.0,6.0,108.05787094776608,506035.0,4847.0,3.986499244712991,84000006,USA,1290.6218071434294,11.440237915407856
04-26,43558,1725,,41833.0,6.0,111.0929178328643,526084.0,4928.0,3.960236925478672,84000006,USA,1341.755971008416,11.313650764497911
04-27,44966,1779,,43187.0,6.0,114.68396490363598,553409.0,4878.0,3.956322554819197,84000006,USA,1411.4472786851466,10.848196415069165
04-28,46164,1864,,44300.0,6.0,117.7394154652727,577608.0,,4.037778355428474,84000006,USA,1473.1658497544672,
04-29,48747,1946,,46801.0,6.0,124.32725252763296,603139.0,,3.992040535827846,84000006,USA,1538.2816329674445,
04-30,50130,2031,0,48099.0,6,127.85453810922189,625337.0,,4.05146618791143,84000006,USA,1594.8967344425794,
05-01,52026,2126,0,49900.0,6,132.6902094488406,654985.0,,4.08641832929689,84000006,USA,1670.5127596941693,
05-02,53347,2180,0,51167.0,6,136.05936653725635,686803.0,,4.086452846458095,84000006,USA,1751.663282206821,
05-03,54903,2216,0,52687.0,6,140.02788162398986,715751.0,,4.036209314609402,84000006,USA,1825.4939857612947,
05-04,55884,2278,0,53606.0,6,142.5298824595204,747874.0,,4.076300909025839,84000006,USA,1907.422398441975,
05-05,58456,2381,,56075.0,6,149.08966446664024,779902.0,,4.073149035171753,84000006,USA,1989.1085174637617,
05-06,60616,2464,,58152.0,6,154.59865713202862,809036.0,,4.064933350930447,84000006,USA,2063.4136064977547,
05-07,62148,2535,,59613.0,6,158.50596118914666,842874.0,,4.078972774666924,84000006,USA,2149.7160573363713,
05-08,63779,2613,,61166.0,6,162.6657607434284,875272.0,,4.096959814358958,84000006,USA,2232.3458463980623,
