Date,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
04-12,7307,289,,7018,8.0,128.943729,34873.0,1376.0,3.955111537,84000008,USA,615.3899908,18.8312577
04-13,7691,306,,7385.0,8.0,135.7200246417166,37534.0,1472.0,3.9786763749837473,84000008,USA,662.3476017295789,19.139253673124433
04-14,7950,327,,7623.0,8.0,140.290495,38742.0,1493.0,4.11320755,84000008,USA,683.6646982999999,18.7798742
04-15,7956,328,,7628.0,8.0,140.39637447009457,39580.0,1556.0,4.122674710910005,84000008,USA,698.4525517252819,19.55756661639015
04-16,8286,355,,7931.0,8.0,146.21975350165957,40533.0,1636.0,4.284335022930244,84000008,USA,715.2697645043165,19.744146753560226
04-17,8691,372,,8319.0,8.0,153.3666277676712,41830.0,1693.0,4.280289955125991,84000008,USA,738.1574087586798,19.479921758140605
04-18,9047,389,,8658.0,8.0,159.648818480511,43307.0,1755.0,4.299767878854868,84000008,USA,764.2214415757146,19.39869570023212
04-19,9730,420,,9310.0,8.0,171.70144841553798,44606.0,1797.0,4.316546762589929,84000008,USA,787.1443790363296,18.468653648509765
04-20,9730,420,,9310.0,8.0,171.70144841553798,46195.0,1813.0,4.316546762589929,84000008,USA,815.1848314034713,18.633093525179856
04-21,10473,483,,9990.0,8.0,184.81287453812226,47466.0,1880.0,4.611859066170153,84000008,USA,837.6136639765598,17.95092141697699
04-22,10891,506,,10385.0,8.0,192.18915464477124,48704.0,2003.0,4.646038013038289,84000008,USA,859.4601586464914,18.39133229271876
04-23,11278,552,,10726.0,8.0,199.0183900545157,50645.0,2123.0,4.894484837737188,84000008,USA,893.7122153139693,18.82425962050009
04-24,12256,674,,11582.0,8.0,216.27676791169918,56789.0,2366.0,5.499347258485639,84000008,USA,1002.132944919834,19.304830287206265
04-25,12968,684,2086.0,12284.0,8.0,228.84114933737888,56789.0,2366.0,5.27452190006169,84000008,USA,1002.132944919834,18.2449105490438
04-26,13441,688,2150.0,12753.0,8.0,237.18799261595538,59791.0,2410.0,5.118666765865635,84000008,USA,1055.1080475039498,17.930213525779333
04-27,13879,706,2150.0,13173.0,8.0,244.9172047851235,63274.0,2438.0,5.086821817133798,84000008,USA,1116.5711661916496,17.566107068232586
