Date,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
04-12,12035,554,,11481,9.0,337.56048250000003,41220.0,1654.0,4.6032405480000005,84000009,USA,1156.148159,13.74324886
04-13,13381,602,,12779.0,9.0,375.31340394195473,44309.0,1760.0,4.498916373963082,84000009,USA,1242.7891499337925,13.152978103280773
04-14,13989,671,,13318.0,9.0,392.3667295,45841.0,1779.0,4.79662592,84000009,USA,1285.759043,12.71713489
04-15,14755,868,,13887.0,9.0,413.85167589593766,50143.0,1908.0,5.882751609623856,84000009,USA,1406.4225404574722,12.931209759403592
04-16,15884,971,,14913.0,9.0,445.5181307984463,53122.0,1926.0,6.113069755729035,84000009,USA,1489.9782261568287,12.12540921682196
04-17,16809,1036,,15773.0,9.0,471.46274619687006,55462.0,1946.0,6.163364864060919,84000009,USA,1555.6110910566247,11.577131298709025
04-18,17550,1086,,16464.0,9.0,492.2464867484722,55462.0,1946.0,6.188034188034187,84000009,USA,1555.6110910566247,11.08831908831909
04-19,17962,1127,,16835.0,9.0,503.8023586880944,58213.0,1938.0,6.274356975837881,84000009,USA,1632.77177966318,10.789444382585456
04-20,19815,1331,,18484.0,9.0,555.7757341835313,62806.0,1919.0,6.717133484733787,84000009,USA,1761.5973132036775,9.684582387080496
04-21,20360,1423,,18937.0,9.0,571.0620210939542,64192.0,1949.0,6.989194499017682,84000009,USA,1800.4721639520185,9.572691552062867
04-22,22469,1544,,20925.0,9.0,630.2157442023603,69918.0,1972.0,6.871689883839957,84000009,USA,1961.0763453264767,8.776536561484713
04-23,23100,1639,,21461.0,9.0,647.9141791390148,71497.0,1947.0,7.095238095238094,84000009,USA,2005.3645050174082,8.428571428571429
04-24,23936,1767,,22169.0,9.0,671.3625018126171,74038.0,1877.0,7.382185828877004,84000009,USA,2076.6350647227,7.841744652406418
04-25,24583,1865,,22718.0,9.0,689.5097084750821,77602.0,1810.0,7.58654354635317,84000009,USA,2176.598966647005,7.362811699141682
04-26,25269,1924,,23345.0,9.0,708.7507962192103,79811.0,1766.0,7.614072579049427,84000009,USA,2238.557513041727,6.988800506549528
04-27,25997,2012,,23985.0,9.0,729.1699097435915,79811.0,1758.0,7.7393545409085664,84000009,USA,2238.557513041727,6.762318729084124
04-28,26312,2087,,24225.0,9.0,738.005103095487,92745.0,,7.931742170872606,84000009,USA,2601.3333568938488,
04-29,26767,2169,,24598.0,9.0,750.7670490482252,94818.0,,8.103261478686441,84000009,USA,2659.477343619181,
04-30,27700,2257,0,25443.0,9,776.9360503095543,97133.0,,8.148014440433213,84000009,USA,2724.4090026973986,
05-01,28764,2339,4346,22079.0,9,806.7793700759573,100257.0,7758.0,8.131692393269365,84000009,USA,2812.031682161913,26.971214017521906
05-02,29287,2436,4346,22505.0,9,821.4485958633907,100257.0,7758.0,8.317683613890122,84000009,USA,2812.031682161913,26.489568750640217
05-03,29287,2436,4346,22505.0,9,821.4485958633907,102493.0,7758.0,8.317683613890122,84000009,USA,2874.747530843941,26.489568750640217
05-04,29973,2556,4346,23071.0,9,840.6896836075189,102493.0,7758.0,8.527674907416674,84000009,USA,2874.747530843941,25.883294965468927
05-05,30621,2633,4346.0,23642.0,9,858.8649385028469,108643.0,7758.0,8.598674112537148,84000009,USA,3047.2441629523796,25.335554031546973
05-06,30995,2718,4346.0,23931.0,9,869.3549775936693,111447.0,7758.0,8.769156315534762,84000009,USA,3125.8914079006818,25.02984352314889
05-07,31784,2797,5413.0,23574.0,9,891.4850333227031,116174.0,9389.0,8.800025169896804,84000009,USA,3258.475404644844,29.54002013591744
05-08,32411,2874,5413.0,24124.0,9,909.0712753279048,120541.0,9389.0,8.867359846965536,84000009,USA,3380.962037558267,28.968560056770848
05-09,32984,2932,5413.0,24639.0,9,925.142912758496,123569.0,9389.0,8.889158379820516,84000009,USA,3465.8920866679173,28.4653165170992
05-10,33554,2967,5413.0,25174.0,9,941.1304054904975,130192.0,9389.0,8.842462895630922,84000009,USA,3651.6555329206317,27.981760743875547
05-11,33765,3008,5413.0,25344.0,9,947.0485826246246,132508.0,9389.0,8.908633200059233,84000009,USA,3716.615240231712,27.80690063675404
05-12,34333,3041,5413.0,25879.0,9,962.9799788908999,138424.0,9389.0,8.857367547257741,84000009,USA,3882.548585850172,27.346867445315
05-13,34855,3125,5413.0,26317.0,9,977.62115644547,142943.0,9389.0,8.965715105436809,84000009,USA,4009.298550158795,26.93731171998279
05-14,35464,3219,6264.0,25981.0,9,994.7025302591346,149562.0,10946.0,9.076810286487706,84000009,USA,4194.949803480056,30.865102639296182
05-15,36085,3285,6264.0,26536.0,9,1012.1204828671576,155908.0,10946.0,9.103505611750032,84000009,USA,4372.943889229676,30.33393376749342
05-16,36703,3339,6264.0,27100.0,9,1029.454290776591,164755.0,10946.0,9.097348990545733,84000009,USA,4621.086605370058,29.823175217284692
05-17,37419,3408,6264.0,27747.0,9,1049.5368255066142,170607.0,10946.0,9.107672572757156,84000009,USA,4785.224864085276,29.25251877388493
05-18,38116,3450,6264.0,28402.0,9,1069.0864438122373,177679.0,10946.0,9.051317032217442,84000009,USA,4983.581966893549,28.71759890859482
05-19,38430,3472,6264.0,28694.0,9,1077.8935889312697,185520.0,10946.0,9.034608378870674,84000009,USA,5203.508160773593,28.48295602393963
05-20,39017,3529,6264.0,29224.0,9,1094.357901621945,190718.0,10946.0,9.044775354332726,84000009,USA,5349.302875196303,28.05443780916011
05-21,39208,3583,6264.0,29361.0,9,1099.715114098809,202747.0,10946.0,9.138441134462353,84000009,USA,5686.695068307265,27.917771883289127
05-22,39640,3637,7127.0,28876.0,9,1111.8319506956943,202328.0,12538.0,9.175075681130172,84000009,USA,5674.942858737601,31.629667003027247
05-23,40022,3675,7127.0,29220.0,9,1122.546375649422,208367.0,12538.0,9.18244965269102,84000009,USA,5844.326136998227,31.327769726650338
05-24,40468,3693,7127.0,29648.0,9,1135.0558875063914,214136.0,12538.0,9.125728971038846,84000009,USA,6006.136392385802,30.98250469506771
05-25,40873,3742,7127.0,30004.0,9,1146.4154218159715,221726.0,12538.0,9.155188021432242,84000009,USA,6219.022479817194,30.675507058449345
05-26,41303,3769,7127.0,30407.0,9,1158.4761619471308,225362.0,12538.0,9.125245139578238,84000009,USA,6321.005854507645,30.356148463791968
05-27,41288,3803,7127.0,30358.0,9,1158.055438454183,225362.0,12538.0,9.210908738616546,84000009,USA,6321.005854507645,30.367176903700837
05-28,41559,3826,7127.0,30606.0,9,1165.6565095601,235525.0,12538.0,9.206188791838107,84000009,USA,6606.060045095948,30.16915710195144
05-29,41762,3868,7127.0,30767.0,9,1171.3503008313216,241393.0,12538.0,9.262008524495954,84000009,USA,6770.647075536976,30.02250850055074
05-30,42022,3912,7127.0,30983.0,9,1178.6428413757433,246935.0,12538.0,9.309409357003474,84000009,USA,6926.0903820646145,29.836752177430874
05-31,42201,3944,7127.0,31130.0,9,1183.663475058249,250046.0,12538.0,9.345750100708512,84000009,USA,7013.348434501907,29.710196440842637
06-01,42740,3970,7511.0,31259.0,9,1198.7814725714932,261390.0,13793.0,9.288722508189052,84000009,USA,7331.527588101603,32.27187646233037
06-02,42979,3972,7511.0,31496.0,9,1205.4850002257886,270610.0,13793.0,9.241722701784592,84000009,USA,7590.1322950999465,32.09241722701785
06-03,43091,3989,7511.0,31591.0,9,1208.6264023064625,276436.0,13793.0,9.257153465920958,84000009,USA,7753.541299760722,32.00900420041308
06-04,43239,4007,7284.0,31948.0,9,1212.7775407702102,281525.0,9669.0,9.267096833876824,84000009,USA,7896.278756801346,22.361756747380838
06-05,43460,4038,7284.0,32138.0,9,1218.9762002329687,287387.0,9669.0,9.291302346985734,84000009,USA,8060.697497845194,22.248044178554988
06-06,43818,4055,7284.0,32479.0,9,1229.0174675979802,295549.0,9669.0,9.254187776712769,84000009,USA,8289.627174474314,22.066274133917567
06-07,43968,4071,7284.0,32613.0,9,1233.2247025274546,302354.0,9669.0,9.25900655021834,84000009,USA,8480.495399108122,21.990993449781662
