Date,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
04-12,499,9,300.0,490,15.0,35.24543964,17968.0,44.0,1.8036072140000001,84000015,USA,1269.118355,8.817635271
04-13,504,9,310.0,495.0,15.0,35.59860035344325,18844.0,44.0,1.7857142857142858,84000015,USA,1330.9921132148504,8.730158730158731
04-14,511,9,315.0,502.0,15.0,36.09302536,19420.0,44.0,1.7612524459999999,84000015,USA,1371.676228,8.610567515
04-15,524,9,333.0,515.0,15.0,37.011243224611626,19803.0,45.0,1.717557251908397,84000015,USA,1398.7283388873745,8.587786259541986
04-16,530,9,359.0,521.0,15.0,37.435036085962146,20700.0,45.0,1.69811320754717,84000015,USA,1462.0853716592762,8.49056603773585
04-17,541,9,374.0,532.0,15.0,38.21198966510475,21857.0,45.0,1.6635859519408502,84000015,USA,1543.8067617563672,8.317929759704251
04-18,574,9,390.0,565.0,15.0,40.542850402532586,22343.0,48.0,1.56794425087108,84000015,USA,1578.1339835257586,8.362369337979095
04-19,580,10,410.0,570.0,15.0,40.9666432638831,23470.0,51.0,1.7241379310344829,84000015,USA,1657.736409316097,8.793103448275861
04-20,584,10,414.0,574.0,15.0,41.24917183811678,24175.0,52.0,1.7123287671232876,84000015,USA,1707.5320705247827,8.904109589041097
04-21,586,10,423.0,576.0,15.0,41.390436125233606,24696.0,55.0,1.706484641638225,84000015,USA,1744.3314173187189,9.38566552901024
04-22,592,12,437.0,580.0,15.0,41.81422898658413,25342.0,56.0,2.0270270270270268,84000015,USA,1789.959782057458,9.459459459459461
04-23,596,12,444.0,584.0,15.0,42.096757560817814,26128.0,63.0,2.0134228187919465,84000015,USA,1845.4766468943756,10.57046979865772
04-24,601,13,463.0,588.0,15.0,42.4499182786099,28040.0,67.0,2.1630615640599,84000015,USA,1980.5253053780727,11.148086522462563
04-25,605,13,463.0,592.0,15.0,42.73244685284358,28040.0,67.0,2.1487603305785123,84000015,USA,1980.5253053780727,11.074380165289256
04-26,606,14,482.0,592.0,15.0,42.803078996402,28483.0,68.0,2.31023102310231,84000015,USA,2011.8153449744525,11.221122112211221
04-27,607,16,488.0,591.0,15.0,42.87371113996042,29010.0,68.0,2.6359143327841843,84000015,USA,2049.0384846297393,11.202635914332783
04-28,609,16,493.0,593.0,15.0,43.014975427077246,29183.0,68.0,2.6272577996715927,84000015,USA,2061.2578454653462,11.16584564860427
04-29,613,16,505.0,597.0,15.0,43.297504001310934,29618.0,69.0,2.6101141924959217,84000015,USA,2091.982827913258,11.256117455138662
04-30,618,16,516,86.0,15,43.650664719103034,30640.0,69.0,2.588996763754045,84000015,USA,2164.1688786299624,11.16504854368932
05-01,619,16,526,77.0,15,43.721296862661454,31094.0,70.0,2.5848142164781907,84000015,USA,2196.2358718054847,11.308562197092085
05-02,620,16,532,72.0,15,43.79192900621987,31985.0,72.0,2.5806451612903225,84000015,USA,2259.1691117160362,11.612903225806454
05-03,620,17,541,62.0,15,43.79192900621987,32950.0,72.0,2.7419354838709675,84000015,USA,2327.3291302499106,11.612903225806454
05-04,621,17,544,60.0,15,43.86256114977829,33866.0,73.0,2.7375201288244773,84000015,USA,2392.0281737494224,11.75523349436393
05-05,625,17,548.0,60.0,15,44.14508972401197,33999.0,73.0,2.72,84000015,USA,2401.422248842692,11.68
05-06,626,17,551.0,58.0,15,44.21572186757038,35199.0,73.0,2.7156549520766773,84000015,USA,2486.1808211127955,11.661341853035145
05-07,629,17,558.0,54.0,15,44.42761829824564,35541.0,74.0,2.702702702702702,84000015,USA,2510.337014209775,11.764705882352944
05-08,629,17,565.0,47.0,15,44.42761829824564,36618.0,74.0,2.702702702702702,84000015,USA,2586.407832822192,11.764705882352944
05-09,631,17,566.0,48.0,15,44.56888258536247,36262.0,81.0,2.6941362916006337,84000015,USA,2561.262789715395,12.83676703645008
05-10,632,17,551.0,64.0,15,44.6395147289209,37270.0,81.0,2.6898734177215187,84000015,USA,2632.459990422281,12.816455696202533
05-11,634,17,561.0,56.0,15,44.780779016037734,37683.0,81.0,2.6813880126182967,84000015,USA,2661.6310657119084,12.77602523659306
05-12,635,17,561.0,57.0,15,44.851411159596154,37939.0,81.0,2.677165354330709,84000015,USA,2679.712894462864,12.755905511811026
05-13,638,17,563.0,58.0,15,45.06330759027141,38365.0,81.0,2.664576802507837,84000015,USA,2709.8021876187504,12.695924764890282
05-14,637,17,563.0,57.0,15,44.989942593680794,38881.0,81.0,2.668759811616954,84000015,USA,2746.0815666952944,12.71585557299843
05-15,638,17,564.0,57.0,15,45.06057044704606,38776.0,81.0,2.664576802507837,84000015,USA,2738.6656420919408,12.695924764890282
05-16,639,17,565.0,57.0,15,45.13119830041133,40883.0,81.0,2.660406885758998,84000015,USA,2887.478529132577,12.676056338028172
05-17,640,17,572.0,51.0,15,45.201826153776615,41674.0,82.0,2.65625,84000015,USA,2943.3451611445107,12.8125
05-18,640,17,573.0,50.0,15,45.201826153776615,42045.0,82.0,2.65625,84000015,USA,2969.548094743028,12.8125
05-19,641,17,574.0,50.0,15,45.272454007141896,45023.0,82.0,2.65210608424337,84000015,USA,3179.87784206482,12.79251170046802
05-20,643,17,578.0,48.0,15,45.41370971387244,46304.0,82.0,2.6438569206842923,84000015,USA,3270.3521222257373,12.75272161741835
05-21,647,17,578.0,52.0,15,45.69622112733354,47149.0,82.0,2.627511591962905,84000015,USA,3330.032658319396,12.67387944358578
05-22,642,17,579.0,46.0,15,45.343081860507155,47985.0,83.0,2.64797507788162,84000015,USA,3389.0775437327666,12.928348909657323
05-23,643,17,585.0,41.0,15,45.41370971387244,48821.0,84.0,2.6438569206842923,84000015,USA,3448.1224291461376,13.063763608087092
05-24,643,17,589.0,37.0,15,45.41370971387244,49572.0,84.0,2.6438569206842923,84000015,USA,3501.16394702346,13.063763608087092
05-25,643,17,591.0,35.0,15,45.41370971387244,50371.0,84.0,2.6438569206842923,84000015,USA,3557.595601862315,13.063763608087092
05-26,643,17,592.0,34.0,15,45.41370971387244,50371.0,84.0,2.6438569206842923,84000015,USA,3557.595601862315,13.063763608087092
05-27,644,17,593.0,34.0,15,45.48433756723772,51202.0,83.0,2.6397515527950306,84000015,USA,3616.2873480088597,12.888198757763975
05-28,647,17,600.0,30.0,15,45.69622112733354,51839.0,83.0,2.627511591962905,84000015,USA,3661.2772906025402,12.828438948995366
05-29,649,17,604.0,28.0,15,45.837476834064105,52824.0,83.0,2.6194144838212634,84000015,USA,3730.845726167337,12.788906009244993
05-30,651,17,605.0,29.0,15,45.97873254079465,54014.0,83.0,2.6113671274961603,84000015,USA,3814.892871672016,12.749615975422428
05-31,652,17,606.0,29.0,15,46.049360394159926,54620.0,83.0,2.607361963190184,84000015,USA,3857.6933508113734,12.730061349693253
06-01,652,17,608.0,27.0,15,46.049360394159926,48487.0,83.0,2.607361963190184,84000015,USA,3424.5327261221355,12.730061349693253
06-02,653,17,608.0,28.0,15,46.11998824752521,48921.0,83.0,2.603369065849924,84000015,USA,3455.185214482665,12.710566615620214
06-03,653,17,609.0,27.0,15,46.11998824752521,49508.0,83.0,2.603369065849924,84000015,USA,3496.6437644080825,12.710566615620214
06-04,655,17,612.0,26.0,15,46.26124395425576,50638.0,83.0,2.595419847328244,84000015,USA,3576.4532387108443,12.67175572519084
06-05,664,17,611.0,36.0,15,46.89689463454324,52336.0,83.0,2.560240963855421,84000015,USA,3696.3793337250822,12.5
06-06,673,17,614.0,42.0,15,47.53254531483072,53257.0,83.0,2.5260029717682015,84000015,USA,3761.4275866745015,12.332838038632989
06-07,675,17,616.0,42.0,15,47.67380102156127,54055.0,83.0,2.5185185185185186,84000015,USA,3817.7886136599923,12.296296296296294
06-08,676,17,617.0,42.0,15,47.74442887492655,55147.0,84.0,2.514792899408284,84000015,USA,3894.914229534874,12.426035502958579
06-09,682,17,618.0,47.0,15,48.16819599511821,55474.0,84.0,2.49266862170088,84000015,USA,3918.0095375853184,12.316715542521994
06-10,685,17,621.0,47.0,15,48.38007955521403,56173.0,84.0,2.4817518248175183,84000015,USA,3967.3784070876463,12.262773722627735
06-11,692,17,622.0,53,15,48.87447452877096,57295.0,85.0,2.4566473988439306,84000015,USA,4046.622858563486,12.283236994219651
06-12,706,17,623.0,66.0,15,49.86326447588482,58579.0,86.0,2.407932011331445,84000015,USA,4137.3090222845,12.181303116147307
06-13,723,17,627.0,79.0,15,51.06393798309452,59338.0,87.0,2.351313969571231,84000015,USA,4190.9155629887455,12.033195020746886
06-14,728,17,628.0,83.0,15,51.4170772499209,60322.0,89.0,2.3351648351648358,84000015,USA,4260.413370700177,12.225274725274724
06-15,736,17,629.0,90.0,15,51.982100076843096,61474.0,91.0,2.3097826086956523,84000015,USA,4341.7766577769735,12.36413043478261
06-16,736,17,630.0,89.0,15,51.982100076843096,62028.0,91.0,2.3097826086956523,84000015,USA,4380.904488541337,12.36413043478261
06-17,744,17,637.0,90.0,15,52.54712290376531,63243.0,92.0,2.28494623655914,84000015,USA,4466.717330380147,12.365591397849462
06-18,762,17,639.0,106.0,15,53.81842426434028,64374.0,95.0,2.230971128608924,84000015,USA,4546.597432536274,12.46719160104987
06-19,789,17,640.0,132.0,15,55.72537630520272,65744.0,95.0,2.1546261089987326,84000015,USA,4643.3575916467025,12.040557667934095
06-20,789,17,642.0,130.0,15,55.72537630520272,66734.0,96.0,2.1546261089987326,84000015,USA,4713.279166478325,12.167300380228136
06-21,814,17,644.0,153.0,15,57.49107263933463,67860.0,96.0,2.0884520884520885,84000015,USA,4792.8061293676255,11.793611793611793
06-22,816,17,651.0,148.0,15,57.63232834606518,68711.0,97.0,2.083333333333333,84000015,USA,4852.910432581476,11.887254901960786
06-23,819,17,669.0,133.0,15,57.844211906161,69340.0,99.0,2.075702075702076,84000015,USA,4897.335352348235,12.087912087912088
06-24,835,17,673.0,145.0,15,58.97425756000543,70539.0,104.0,2.035928143712575,84000015,USA,4982.018148533201,12.455089820359282
06-25,851,17,686.0,148.0,15,60.10430321384984,71935.0,105.0,1.9976498237367804,84000015,USA,5080.614631831126,12.338425381903644
06-26,866,17,696.0,153.0,15,61.16372101432898,73005.0,109.0,1.9630484988452657,84000015,USA,5156.186434931971,12.586605080831411
06-27,872,18,705.0,149.0,15,61.58748813452063,74301.0,109.0,2.0642201834862384,84000015,USA,5247.720132893369,12.5
06-28,899,18,714.0,167.0,15,63.49444017538308,75478.0,110.0,2.0022246941045605,84000015,USA,5330.849116304299,12.235817575083425
06-29,900,18,719.0,163.0,15,63.56506802874837,77155.0,111.0,2.0,84000015.0,USA,5449.292026397867,12.333333333333336
06-30,917,18,722.0,177.0,15,64.76574153595806,77743.0,111.0,1.9629225736095963,84000015,USA,5490.821204176649,12.104689203925846
07-01,926,18,736.0,172.0,15,65.40139221624554,79058.0,113.0,1.9438444924406049,84000015,USA,5583.6968313519865,12.20302375809935
07-02,946,18,741.0,187.0,15,66.81394928355104,80290.0,116.0,1.9027484143763211,84000015,USA,5670.710346698007,12.26215644820296
07-03,975,19,746.0,210.0,15,68.86215703114406,81618.0,116.0,1.948717948717949,84000015,USA,5764.504135967093,11.8974358974359
07-04,999,19,754.0,226.0,15,70.55722551191069,83476.0,118.0,1.901901901901902,84000015,USA,5895.7306875197755,11.811811811811811
07-05,1023,19,756.0,248.0,15,72.25229399267732,84325.0,118.0,1.857282502443793,84000015,USA,5955.6937350268945,11.534701857282505
07-06,1030,19,777.0,234.0,15,72.74668896623423,85058.0,118.0,1.8446601941747571,84000015,USA,6007.463951543643,11.456310679611649
07-07,1071,19,781.0,271.0,15,75.64243095421055,85673.0,119.0,1.7740429505135389,84000015,USA,6050.900081363287,11.111111111111109
07-08,1094,19,797.0,278.0,15,77.26687158161191,87096.0,119.0,1.736745886654479,84000015,USA,6151.403516702076,10.877513711151735
07-09,1130,19,811.0,300.0,15,79.80947430276183,89152.0,122.0,1.6814159292035398,84000015,USA,6296.614383221082,10.79646017699115
07-10,1158,19,840.0,299.0,15,81.78705419698956,90595.0,123.0,1.640759930915371,84000015,USA,6398.530375627175,10.621761658031089
07-11,1200,19,847.0,334.0,15,84.75342403833116,92234.0,125.0,1.5833333333333333,84000015,USA,6514.2894272928625,10.416666666666666
07-12,1220,19,872.0,329.0,15,86.16598110563666,93920.0,125.0,1.5573770491803278,84000015,USA,6633.367988066718,10.245901639344263
07-13,1243,22,890.0,331.0,15,87.79042173303803,95170.0,125.0,1.7699115044247788,84000015,USA,6721.652804773313,10.056315366049882
07-14,1264,22,911.0,331.0,15,89.27360665370882,96070.0,128.0,1.7405063291139242,84000015,USA,6785.217872802061,10.126582278481012
07-15,1292,22,921.0,349.0,15,91.25118654793656,97557.0,133.0,1.7027863777089782,84000015,USA,6890.241490756227,10.294117647058824
07-16,1311,22,951.0,338.0,15,92.59311576187677,99387.0,137.0,1.6781083142639206,84000015,USA,7019.490462414681,10.450038138825326
07-17,1334,23,975.0,336.0,15,94.21755638927813,101204.0,138.0,1.7241379310344829,84000015,USA,7147.821271979388,10.344827586206897
07-18,1354,24,994.0,336.0,15,95.63011345658363,102995.0,139.0,1.7725258493353029,84000015,USA,7274.315757356597,10.265878877400297
07-19,1381,24,1019.0,338.0,15,97.5370654974461,104635.0,140.0,1.7378711078928313,84000015,USA,7390.1454368756495,10.137581462708182
07-20,1393,24,1043.0,326.0,15,98.3845997378294,105956.0,150.0,1.7229002153625268,84000015,USA,7483.444831171179,10.768126346015793
07-21,1418,24,1057.0,337.0,15,100.15029607196131,106783.0,150.0,1.6925246826516216,84000015,USA,7541.854065904263,10.578279266572636
07-22,1435,25,1084.0,326.0,15,101.35096957917101,108182.0,151.0,1.7421602787456445,84000015,USA,7640.662432762284,10.522648083623693
07-23,1490,26,1113.0,351.0,15,105.23550151426114,108813.0,154.0,1.74496644295302,84000015,USA,7685.228608235771,10.335570469798657
07-24,1549,26,1125.0,398.0,15,109.40254486281246,111291.0,155.0,1.6785022595222725,84000015,USA,7860.244428874927,10.006455777921241
07-25,1620,26,1148.0,446.0,15,114.41712245174706,112790.0,156.0,1.6049382716049383,84000015,USA,7966.115581069475,9.629629629629632
07-26,1683,26,1167.0,490.0,15,118.86667721375944,114052.0,161.0,1.54486036838978,84000015,USA,8055.247932016454,9.566250742721332
07-27,1711,26,1179.0,506.0,15,120.84425710798716,114115.0,163.0,1.5195791934541203,84000015,USA,8059.697486778466,9.526592635885445
07-28,1757,26,1191.0,540.0,15,124.09313836278986,114143.0,165.0,1.4797951052931133,84000015,USA,8061.675066672694,9.391007398975525
07-29,1865,26,1205.0,634.0,15,131.72094652623966,117559.0,167.0,1.3941018766756033,84000015,USA,8302.939813768477,8.954423592493297
07-30,1989,26,1215.0,748.0,15,140.4788003435339,119212.0,173.0,1.30718954248366,84000015,USA,8419.687655381278,8.697838109602815
07-31,2111,26,1226.0,859.0,15,149.09539845409753,121368.0,177.0,1.231643770724775,84000015,USA,8571.961307236812,8.384651823780201
08-01,2197,26,1243.0,928.0,15,155.16939384351127,123251.0,179.0,1.183431952662722,84000015,USA,8704.953555123628,8.1474738279472
08-02,2242,26,1269.0,947.0,15,158.3476472449487,126641.0,194.0,1.159678858162355,84000015,USA,8944.381978031912,8.652988403211419
08-03,2448,26,1294.0,1128.0,15,172.89698503819554,127279.0,199.0,1.062091503267974,84000015,USA,8989.442548478959,8.129084967320262
08-04,2591,27,1315.0,1249.0,15,182.99676806943,130712.0,201.0,1.0420686993438826,84000015,USA,9231.907969081949,7.757622539560017
08-05,2763,27,1354.0,1382.0,15,195.14475884825748,132526.0,208.0,0.977198697068404,84000015,USA,9360.02689508656,7.528049221860298
08-06,2914,29,1402.0,1483.0,15,205.8095647064141,134909.0,214.0,0.9951956074124916,84000015,USA,9528.333069656012,7.3438572409059715
08-07,3115,31,1440.0,1644.0,15,220.0057632328346,135284.0,225.0,0.9951845906902088,84000015,USA,9554.818514667992,7.223113964686997
08-08,3346,31,1467.0,1848.0,15,236.32079736021336,139246.0,231.0,0.9264793783622236,84000015,USA,9834.646069701215,6.903765690376567
08-09,3498,31,1511.0,1956.0,15,247.0562310717353,141944.0,237.0,0.8862206975414523,84000015,USA,10025.20001808073,6.7753001715265855
08-10,3638,34,1548.0,2056.0,15,256.94413054287395,142096.0,239.0,0.9345794392523364,84000015,USA,10035.935451792253,6.569543705332601
08-11,3756,34,1586.0,2136.0,15.0,265.27821723997647,145836.0,242.0,0.9052183173588924,84000015,USA,10300.083623378383,6.443024494142705
08-12,3958,38,1665.0,2255.0,15.0,279.54504361976217,150233.0,260.0,0.9600808489135928,84000015,USA,10610.634294625504,6.568974229408793
08-13,4312,40,1716.0,2556.0,15.0,304.5473037110698,150587.0,267.0,0.927643784786642,84000015,USA,10635.63655471681,6.192022263450835
08-14,4543,40,1716.0,2787.0,15.0,320.8623378384487,153617.0,267.0,0.8804754567466432,84000015,USA,10849.638950413597,5.877173673783842
08-15,4825,40,1756.0,3029.0,15.0,340.7793924874565,156266.0,277.0,0.8290155440414507,84000015,USA,11036.732133978212,5.740932642487048
08-16,5042,40,1808.0,3194.0,15.0,356.1056366677214,159299.0,279.0,0.7933359777865926,84000015,USA,11250.946413235095,5.533518445061484
08-17,5215,40,1841.0,3334.0,15.0,368.3242552999141,161948.0,283.0,0.7670182166826462,84000015,USA,11438.03959679971,5.426653883029722
08-18,5349,41,1868.0,3440,15,377.7883877,164199.0,288.0,0.7664984109999999,84000015,USA,11597.02289,5.38418396
08-19,5609,42,1977.0,3590.0,15.0,396.1516295258329,166113.0,303.0,0.7487965769299341,84000015,USA,11732.204606066083,5.402032447851667
08-20,5844,45,2031.0,3768.0,15.0,412.74917506667276,168672.0,317.0,0.7700205338809035,84000015,USA,11912.941282827825,5.424366872005477
08-21,6072,46,2031.0,3995.0,15.0,428.8523256339556,168672.0,317.0,0.7575757575757576,84000015,USA,11912.941282827825,5.22068511198946
08-22,6356,47,2072.0,4237.0,15.0,448.91063598969396,173550.0,337.0,0.7394587791063562,84000015,USA,12257.463951543645,5.302076777847703
08-23,6600,47,2107.0,4446.0,15.0,466.1438322108213,176184.0,377.0,0.7121212121212122,84000015,USA,12443.49771730778,5.712121212121213
08-24,6769,49,2143.0,4577.0,15.0,478.07993942955284,178824.0,396.0,0.7238883143743536,84000015,USA,12629.955250192106,5.850199438617227
08-25,6984,49,2236.0,4699.0,15.0,493.2649279030873,180850.0,419.0,0.7016036655211912,84000015,USA,12773.047281110155,5.99942726231386
08-26,7260,51,2236.0,4973.0,15.0,512.7582154319034,183157.0,419.0,0.7024793388429752,84000015,USA,12935.985738823847,5.771349862258952
08-27,7566,55,2288.0,5223.0,15.0,534.3703385616777,185675.0,444.0,0.7269362939466032,84000015,USA,13113.826673597614,5.868358445678033
08-28,7830,59,2371.0,5400.0,15.0,553.0160918501108,188153.0,,0.7535121328224776,84000015,USA,13288.842494236767,
08-29,8139,62,2410.0,5667.0,15.0,574.840098539981,190910.0,,0.761764344514068,84000015,USA,13483.563485964829,
08-30,8339,63,2477.0,5799.0,15.0,588.9656692130362,193935.0,,0.7554862693368509,84000015,USA,13697.212742394793,
08-31,8472,70,2520.0,5882.0,15.0,598.3591737106179,196719.0,,0.826251180358829,84000015,USA,13893.840686163721,
09-01,8653,74,2578.0,6001.0,15.0,611.1428151697329,198182.0,,0.8551947301513926,84000015,USA,13997.169235637119,
09-02,8991,75,2634.0,6282.0,15.0,635.0150296071961,202186.0,,0.8341675008341675,84000015,USA,14279.963160511685,
09-03,9202,79,2689.0,6434.0,15.0,649.9175066672693,207431.0,,0.8585090197783091,84000015,USA,14650.406251412556,
09-04,9473,81,2778.0,6614.0,15.0,669.0576549292591,213722.0,,0.8550617544600443,84000015,USA,15094.726076933508,
09-05,9693,84,2855.0,6754.0,15.0,684.5957826696199,221391.0,,0.8666047663262147,84000015,USA,15636.371084391809,
09-06,9855,85,2931.0,6839.0,15.0,696.0374949147946,229796.0,,0.8625063419583967,84000015,USA,16229.998191926954,
09-07,9959,86,2991.0,6882.0,15.0,703.3827916647833,234903.0,,0.863540516116076,84000015,USA,16590.69463906342,
