Date,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
04-12,7928,343,,7585,18.0,121.14925530000001,42489.0,,4.326437941,84000018,USA,649.2823801,
04-13,8359,350,,8009.0,18.0,127.7354471902022,44539.0,,4.187103720540734,84000018,USA,680.6088147391332,
04-14,8527,387,,8140.0,18.0,130.3026867,46017.0,,4.538524686000001,84000018,USA,703.19441,
04-15,8960,436,,8524.0,18.0,136.9194409408077,48396.0,,4.866071428571429,84000018,USA,739.5483553316217,
04-16,9542,477,,9065.0,18.0,145.81309212691818,51115.0,,4.9989520016767965,84000018,USA,781.097904429619,
04-17,10154,522,,9632.0,18.0,155.16517894117874,54785.0,,5.14083119952728,84000018,USA,837.1798629399723,
04-18,10641,545,,10096.0,18.0,162.60711730481415,56873.0,,5.121699088431538,84000018,USA,869.0869826592141,
04-19,11211,562,,10649.0,18.0,171.31739423966462,61142.0,,5.012933725805013,84000018,USA,934.3223725449626,
04-20,11688,577,,11111.0,18.0,178.60652072725006,64639.0,,4.9366872005475715,84000018,USA,987.7606855996506,
04-21,12097,635,,11462.0,18.0,184.8565264576954,67264.0,,5.249235347606843,84000018,USA,1027.8738030627776,
04-22,12438,666,,11772.0,18.0,190.06741143100066,69470.0,,5.354558610709117,84000018,USA,1061.5841029194098,
04-23,13039,706,,12333.0,18.0,199.25140518160626,72040.0,,5.414525653807807,84000018,USA,1100.856755064262,
04-24,13681,741,,12940.0,18.0,209.0619276240168,75553.0,,5.41627074044295,84000018,USA,1154.53956712063,
04-25,14399,786,,13613.0,18.0,220.03382032440743,79774.0,1515.0,5.458712410584068,84000018,USA,1219.041460001339,10.521563997499829
04-26,15012,813,,14199.0,18.0,229.4011883262729,81708.0,1446.0,5.415667466027179,84000018,USA,1248.5952768294105,9.632294164668263
04-27,15961,844,,15117.0,18.0,243.90303536341872,84476.0,1493.0,5.287889229998121,84000018,USA,1290.8936041200527,9.354050498089093
04-28,16588,901,,15687.0,18.0,253.48433999175427,87181.0,,5.431637328189052,84000018,USA,1332.22921659158,
04-29,17182,964,,16218.0,18.0,262.5613654291248,91550.0,,5.610522639972063,84000018,USA,1398.9927252378286,
04-30,17835,1114,0,16721.0,18,272.5399809351904,94998.0,,6.246145220072889,84000018,USA,1451.6822600998714,
