Date,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
04-12,1344,63,,1288,20.0,55.11612114,13253.0,298.0,4.166666667,84000020,USA,543.4925249,22.17261905
04-13,1390,61,,1328.0,20.0,57.00253599771662,13864.0,309.0,4.460431654676259,84000020,USA,568.549035303844,22.230215827338128
04-14,1441,77,,1372.0,20.0,59.09399595,14147.0,327.0,4.78834143,84000020,USA,580.1545876,22.6925746
04-15,1504,73,,1433.0,20.0,61.67756412990345,14668.0,342.0,4.720744680851063,84000020,USA,601.5202863413722,22.739361702127663
04-16,1615,80,,1535.0,20.0,66.2295652059801,16122.0,359.0,4.953560371517028,84000020,USA,661.147399536106,22.229102167182663
04-17,1730,84,,1648.0,20.0,70.94560235687031,16901.0,375.0,4.739884393063584,84000020,USA,693.0934251060492,21.676300578034677
04-18,1821,86,,1736.0,20.0,74.67742305887911,17676.0,383.0,4.667764964305327,84000020,USA,724.875414601179,21.032399780340477
04-19,1905,93,,1812.0,20.0,78.12218062996416,18130.0,390.0,4.881889763779528,84000020,USA,743.4935090925197,20.47244094488189
04-20,2048,102,,1946.0,20.0,83.98647030454939,18761.0,405.0,4.98046875,84000020,USA,769.3701998943608,19.775390625
04-21,2164,109,,2055.0,20.0,88.74351647414301,19101.0,419.0,5.036968576709796,84000020,USA,783.3132662535146,19.362292051756008
04-22,2331,112,,2219.0,20.0,95.5920225976097,20203.0,432.0,4.804804804804805,84000020,USA,828.5052048646538,18.53281853281853
04-23,2721,113,,2608.0,20.0,111.58553989193304,21318.0,442.0,4.152884968761485,84000020,USA,874.2302607189372,16.244027930907755
04-24,2959,118,,2841.0,20.0,121.34568634334065,23588.0,457.0,3.98783372761068,84000020,USA,967.3207331756402,15.44440689422102
04-25,3135,120,,3015.0,20.0,128.56327363513785,25199.0,474.0,3.827751196172249,84000020,USA,1033.3862623068064,15.119617224880386
04-26,3277,121,,3156.0,20.0,134.38655429101968,26227.0,485.0,3.69240158681721,84000020,USA,1075.5435335338948,14.800122062862375
04-27,3473,126,,3347.0,20.0,142.42432195688474,27167.0,496.0,3.627987330837892,84000020,USA,1114.0920111150845,14.281600921393606
04-28,3652,127,,3525.0,20.0,149.76493630479212,28090.0,504.0,3.4775465498357065,84000020,USA,1151.9433353783165,13.800657174151151
04-29,3839,134,266.0,3705.0,20.0,157.43362280232668,29458.0,515.0,3.490492315707216,84000020,USA,1208.0436729645585,13.414951810367286
04-30,4413,134,272,4007.0,20,180.9727995380744,31626.0,523.0,3.0364831180602763,84000020,USA,1296.9512255135146,11.851348289145706
05-01,4634,140,280,4214.0,20,190.03579267152432,33034.0,534.0,3.0211480362537766,84000020,USA,1354.6919238478927,11.523521795425117
05-02,4885,142,286,4457.0,20,200.32905636607606,34942.0,541.0,2.906857727737973,84000020,USA,1432.937131533967,11.074718526100307
05-03,5156,144,286,4726.0,20,211.44250043469557,36778.0,547.0,2.7928626842513578,84000020,USA,1508.2296898733966,10.60899922420481
05-04,5383,156,291,4936.0,20,220.75154768036583,38603.0,553.0,2.8980122608211034,84000020,USA,1583.0711490070896,10.273081924577374
05-05,5648,161,296.0,5191.0,20,231.6189376367651,40092.0,566.0,2.8505665722379603,84000020,USA,1644.133577856442,10.021246458923512
05-06,5993,164,318.0,5511.0,20,245.76704908943572,42114.0,571.0,2.7365259469380945,84000020,USA,1727.0538136747034,9.52778241281495
05-07,6332,165,323.0,5844.0,20,259.6691064298861,44822.0,587.0,2.6058117498420716,84000020,USA,1838.1062363234923,9.27037271004422
05-08,6667,168,332.0,6167.0,20,273.40712769552283,47708.0,608.0,2.519874006299685,84000020,USA,1956.458264301485,9.11954402279886
05-09,6829,174,350.0,6305.0,20,280.0505887254725,49933.0,635.0,2.547957241177332,84000020,USA,2047.7033309165354,9.298579587055208
05-10,6951,174,371.0,6406.0,20,285.0536890072865,52505.0,657.0,2.503236944324557,84000020,USA,2153.178527021663,9.451877427708244
05-11,7159,180,376.0,6603.0,20,293.58356489759234,54109.0,660.0,2.514317642128789,84000020,USA,2218.9569930219054,9.219164687805561
05-12,7240,184,376.0,6680.0,20,296.9052954125671,54109.0,660.0,2.541436464088398,84000020,USA,2218.9569930219054,9.116022099447514
05-13,7518,188,422.0,6908.0,20,308.3058026121105,57628.0,704.0,2.5006650704974733,84000020,USA,2363.2677298391463,9.364192604416068
05-14,7705,189,422.0,7094.0,20,264.47543931069566,57628.0,704.0,2.4529526281635303,84000020,USA,1978.0909301228771,9.136924075275797
05-15,7886,193,443.0,7250.0,20,270.6882951854829,61592.0,724.0,2.44737509510525,84000020,USA,2114.1559062977767,9.180826781638348
05-16,7939,195,443.0,7301.0,20,272.50752922616647,61592.0,724.0,2.456228744174329,84000020,USA,2114.1559062977767,9.119536465549816
05-17,7953,195,443.0,7315.0,20,272.9880816142716,61592.0,724.0,2.451904941531497,84000020,USA,2114.1559062977767,9.103482962404124
05-18,8303,198,465.0,7640.0,20,285.0018913168989,66990.0,740.0,2.384680236059256,84000020,USA,2299.443177082869,8.912441286282066
05-19,8353,199,465.0,7689.0,20,286.7181498458457,66990.0,740.0,2.3823775888902192,84000020,USA,2299.443177082869,8.85909254160182
05-20,8507,202,473.0,7832.0,20,292.0042261150017,71203.0,760.0,2.374515105207476,84000020,USA,2444.055120731923,8.933819207711297
05-21,8625,204,473.0,7948.0,20,296.0545962433161,71203.0,760.0,2.365217391304348,84000020,USA,2444.055120731923,8.81159420289855
05-22,8909,205,485.0,8219.0,20,305.8029446877336,76434.0,787.0,2.301043888202941,84000020,USA,2623.6100880303325,8.833763609832753
05-23,8946,205,485.0,8256.0,20,307.0729759991542,76434.0,787.0,2.2915269394142634,84000020,USA,2623.6100880303325,8.797227811312318
05-24,9004,205,485.0,8314.0,20,309.0638358927325,76434.0,787.0,2.2767658818302983,84000020,USA,2623.6100880303325,8.74055975122168
05-25,9125,207,493.0,8425.0,20,313.2171815327836,81399.0,800.0,2.2684931506849315,84000020,USA,2794.034559954746,8.767123287671232
05-26,9199,210,493.0,8496.0,20,315.7572441556248,81399.0,800.0,2.2828568322643767,84000020,USA,2794.034559954746,8.696597456245245
05-27,9291,213,534.0,8544.0,20,318.9151598488868,84488.0,822.0,2.292541168873103,84000020,USA,2900.065011873077,8.847271553115917
05-28,9371,214,534.0,8623.0,20,321.6611734952017,84488.0,822.0,2.2836410201686053,84000020,USA,2900.065011873077,8.771742610180342
05-29,9662,215,547.0,8900.0,20,331.6497981336718,94949.0,842.0,2.2252121713930864,84000020,USA,3259.140621299317,8.714551852618506
05-30,9690,215,547.0,8928.0,20,332.610902909882,94949.0,842.0,2.2187822497420018,84000020,USA,3259.140621299317,8.68937048503612
05-31,9700,215,547.0,8938.0,20,332.95415461567137,94949.0,842.0,2.216494845360825,84000020,USA,3259.140621299317,8.68041237113402
06-01,9920,217,547.0,9156.0,20,340.5056921430371,95241.0,842.0,2.1875,84000020,USA,3269.163571108367,8.487903225806452
06-02,9965,222,555.0,9188.0,20,342.0503248190892,103312.0,862.0,2.2277972905168086,84000020,USA,3546.2020228509527,8.650275965880581
06-03,10092,226,592.0,9274.0,20,346.4096214826139,108053.0,890.0,2.2393975426080064,84000020,USA,3708.937656565685,8.818866428854538
06-04,10167,227,592.0,9348.0,20,348.9840092760341,108053.0,890.0,2.2327136815186392,84000020,USA,3708.937656565685,8.753811350447526
06-05,10306,232,612.0,9462.0,20,353.7552079865061,113653.0,917.0,2.2511158548418395,84000020,USA,3901.158611807721,8.897729477973996
06-06,10361,233,612.0,9516.0,20,355.64309236834754,113653.0,917.0,2.2488176816909564,84000020,USA,3901.158611807721,8.850497056268699
06-07,10406,233,612.0,9561.0,20,357.18772504439966,113653.0,917.0,2.2390928310590046,84000020,USA,3901.158611807721,8.812223717086297
06-08,10544,236,625.0,9683.0,20,361.92459858429277,119509.0,936.0,2.2382397572078907,84000020,USA,4102.166810717966,8.877086494688923
06-09,10609,237,625.0,9747.0,20,364.15573467192337,119509.0,936.0,2.2339523046469982,84000020,USA,4102.166810717966,8.822697709491939
06-10,10750,240,657.0,9853.0,20,368.9955837235533,123742.0,954.0,2.232558139534884,84000020,USA,4247.465257778598,8.874418604651163
06-11,10823,243,657.0,9923,20,371.50132117581563,123742.0,954.0,2.245218516123072,84000020,USA,4247.465257778598,8.814561581816502
06-12,10973,243,667.0,10063.0,20,376.6500967626558,129152.0,973.0,2.2145265652055044,84000020,USA,4433.164430610638,8.867219538868131
06-13,11020,245,667.0,10108.0,20,378.2633797798657,129152.0,973.0,2.2232304900181488,84000020,USA,4433.164430610638,8.82940108892922
06-14,11101,245,667.0,10189.0,20,381.0437185967596,129152.0,973.0,2.2070083776236373,84000020,USA,4433.164430610638,8.764976128276732
06-15,11319,246,676.0,10397.0,20,388.52660578296747,136962.0,988.0,2.1733368672144184,84000020,USA,4701.244012832121,8.728686279706688
06-16,11411,246,676.0,10489.0,20,391.68452147622946,136962.0,988.0,2.155814564893524,84000020,USA,4701.244012832121,8.658312154938217
06-17,11644,247,696.0,10701.0,20,399.6822862211214,142124.0,1011.0,2.1212641703881827,84000020,USA,4878.430543360585,8.682583304706286
06-18,11753,251,696.0,10806.0,20,403.4237298142252,142124.0,1011.0,2.1356249468220883,84000020,USA,4878.430543360585,8.60205904875351
06-19,12021,254,715.0,11053.0,20,412.62287552938005,147649.0,1035.0,2.104650195491224,84000020,USA,5068.077110809202,8.609932617918643
06-20,12097,256,715.0,11126.0,20,415.23158849337904,147649.0,1035.0,2.1162271637596097,84000020,USA,5068.077110809202,8.555840290981235
06-21,12136,257,715.0,11164.0,20,416.57027014595747,147649.0,1035.0,2.11766644693474,84000020,USA,5068.077110809202,8.528345418589321
06-22,12428,258,722.0,11448.0,20,426.59321995500665,155013.0,1056.0,2.075957515288059,84000020,USA,5320.847666952481,8.496942388155777
06-23,12537,260,722.0,11555.0,20,430.3346635481105,155013.0,1056.0,2.0738613703437823,84000020,USA,5320.847666952481,8.423067719550131
06-24,12930,261,747.0,11923.0,20,443.8244555856321,161705.0,1082.0,2.0108275328692957,84000020,USA,5550.551708466715,8.368136117556071
06-25,13107,262,747.0,12098.0,20,449.9000107781035,161705.0,1082.0,1.9989318684672317,84000020,USA,5550.551708466715,8.255130846112765
06-26,13462,265,779.0,12418.0,20,462.08544633362567,167859.0,1128.0,1.9685039370078738,84000020,USA,5761.788808209482,8.37914128658446
06-27,13617,268,779.0,12570.0,20,467.4058477733605,167859.0,1128.0,1.9681280752001176,84000020,USA,5761.788808209482,8.2837629433796
06-28,13847,269,779.0,12799.0,20,475.3006370065157,167859.0,1128.0,1.9426590597241282,84000020,USA,5761.788808209482,8.146168845237236
06-29,14209,273,794.0,13142.0,20,487.72634875609015,176725.0,1152.0,1.9213174748398905,84000020.0,USA,6066.115770562322,8.10753747624745
06-30,14370,273,794.0,13303.0,20,493.2527012192988,176725.0,1152.0,1.8997912317327763,84000020,USA,6066.115770562322,8.01670146137787
07-01,14830,277,834.0,13719.0,20,509.0422796856089,183173.0,1152.0,1.8678354686446392,84000020,USA,6287.444470455295,7.768037761294672
07-02,15002,280,834.0,13888.0,20,514.9462090251858,183173.0,1195.0,1.8664178109585388,84000020,USA,6287.444470455295,7.965604586055193
07-03,15659,282,842.0,14535.0,20,537.4978460955462,191561.0,1219.0,1.8008812823296507,84000020,USA,6575.364001271404,7.784660578581008
07-04,15911,283,842.0,14786.0,20,546.1477890814378,191561.0,1219.0,1.778643705612469,84000020,USA,6575.364001271404,7.661366350323675
07-05,16081,284,842.0,14955.0,20,551.9830680798568,191561.0,1219.0,1.7660593246688638,84000020,USA,6575.364001271404,7.580374354828679
07-06,16638,285,859.0,15494.0,20,571.1021880923238,202219.0,1235.0,1.712946267580238,84000020,USA,6941.201669301696,7.422767159514366
07-07,16860,289,859.0,15712.0,20,578.7223759608472,202219.0,1235.0,1.7141162514827994,84000020,USA,6941.201669301696,7.32502965599051
07-08,17332,289,879.0,16164.0,20,594.9238564741048,208482.0,1269.0,1.6674359566120471,84000020,USA,7156.180212637567,7.321717055158089
