Date,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
04-12,20595,840,,19755,22.0,447.9836494,104045.0,2084.0,4.078659869,84000022,USA,2263.19295,10.11896091
04-13,21016,884,,20132.0,22.0,457.1412661351334,108091.0,2134.0,4.206318995051388,84000022,USA,2351.20177949242,10.154168252759805
04-14,21518,1013,,20505.0,22.0,468.06079960000005,118422.0,1977.0,4.7076865880000005,84000022,USA,2575.922298,9.187656845
04-15,21951,1103,,20848.0,22.0,477.4794410416974,121928.0,1943.0,5.024828026058039,84000022,USA,2652.1850160508443,8.851532959774044
04-16,22532,1156,,21376.0,22.0,490.1173871601078,126586.0,1914.0,5.130481093555832,84000022,USA,2753.506105585363,8.494585478430677
04-17,23118,1213,,21905.0,22.0,502.86409357213614,131987.0,1868.0,5.24699368457479,84000022,USA,2870.9889747515153,8.08028376157107
04-18,23580,1267,,22313.0,22.0,512.9135447024382,137999.0,1761.0,5.373197625106021,84000022,USA,3001.7623517977863,7.468193384223919
04-19,23928,1296,,22632.0,22.0,520.4832611382503,141504.0,1748.0,5.4162487462387165,84000022,USA,3078.003317623997,7.305249080575058
04-20,24523,1328,,23195.0,22.0,533.4257360787911,142099.0,1794.0,5.4153243893487755,84000022,USA,3090.9457925645365,7.315581291032907
04-21,24854,1405,,23449.0,22.0,540.6256675163021,142430.0,1798.0,5.653013599420617,84000022,USA,3098.1457240020477,7.234248008368874
04-22,25258,1473,,23785.0,22.0,549.4134992406356,142834.0,1747.0,5.8318156623644,84000022,USA,3106.933555726381,6.916620476680657
04-23,25739,1599,,24140.0,22.0,559.8762394866861,143315.0,1727.0,6.2123625626481225,84000022,USA,3117.396295972432,6.709662380045844
04-24,26140,1660,14927.0,24480.0,22.0,568.5988150348488,143716.0,1697.0,6.350420811017598,84000022,USA,3126.118871520595,6.491966335118593
04-25,26512,1707,14927.0,24805.0,22.0,576.6905808800274,139002.0,1700.0,6.438593844296923,84000022,USA,3023.579666697555,6.412190706095352
04-26,26773,1729,14927.0,25044.0,22.0,582.3678682068863,143036.0,1701.0,6.4579987300638715,84000022,USA,3111.327471588549,6.3534157546782195
04-27,27068,1740,17303.0,25328.0,22.0,588.7847255303477,146989.0,1683.0,6.428254765775084,84000022,USA,3197.3133597229307,6.217674006206591
04-28,27286,1801,17303.0,25485.0,22.0,593.5266743320923,151108.0,,6.600454445503187,84000022,USA,3286.91008960543,
04-29,27660,1845,17303.0,25815.0,22.0,601.6619442947177,156568.0,,6.670281995661606,84000022,USA,3405.676330236275,
04-30,28001,1905,17303,8793.0,22,609.0793963194646,161309.0,,6.803328452555267,84000022,USA,3508.802840644853,
05-01,28711,1970,17303,9438.0,22,624.5233580132192,168251.0,,6.861481662080736,84000022,USA,3659.805632304069,
05-02,29140,1993,17303,9844.0,22,633.8549912056428,172858.0,,6.8393960192175705,84000022,USA,3760.0173668436855,
05-03,29340,2012,17303,10025.0,22,638.2054029503622,176160.0,,6.857532379004772,84000022,USA,3831.842664749005,
05-04,29673,2064,20316,7293.0,22,645.4488385053203,180931.0,,6.9558184207865725,84000022,USA,3935.621736919291,
05-05,29996,2115,20316.0,7565.0,22,652.4747534730425,188231.0,,7.050940125350047,84000022,USA,4094.411765601556,
