Date,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
04-12,25475,756,,24719,25.0,371.1516059,116730.0,2235.0,2.9676153089999997,84000025,USA,1700.668379,8.773307164
04-13,26867,844,,26023.0,25.0,391.4319997808785,122049.0,2340.0,3.141400230766368,84000025,USA,1778.1622116818567,8.709569360181638
04-14,28164,844,,27320.0,25.0,410.3283151,126551.0,2340.0,2.996733419,84000025,USA,1843.752968,8.308478909
04-15,29918,1108,,28810.0,25.0,435.88277699200967,132023.0,3454.0,3.7034561133765616,84000025,USA,1923.475896343876,11.54488936426232
04-16,32181,1108,,31073.0,25.0,468.8529863754216,140773.0,3454.0,3.4430253876510983,84000025,USA,2050.9568208267992,10.733041235511637
04-17,34402,1245,,33157.0,25.0,501.21128732131547,148744.0,3729.0,3.618975640951108,84000025,USA,2167.0883007186135,10.839486076390907
04-18,36372,1404,,34968.0,25.0,529.9127068906134,156806.0,3729.0,3.8601121741999336,84000025,USA,2284.5455822250506,10.252391949851534
04-19,38077,1706,,36371.0,25.0,554.753275604143,162241.0,3729.0,4.480394989101032,84000025,USA,2363.729447889586,9.793313548861518
04-20,38077,1706,,36371.0,25.0,554.753275604143,162241.0,3729.0,4.480394989101032,84000025,USA,2363.729447889586,9.793313548861518
04-21,41199,1961,,39238.0,25.0,600.2384694596499,175372.0,3872.0,4.759824267579309,84000025,USA,2555.0382501050444,9.398286366173936
04-22,42944,2182,,40762.0,25.0,625.6618081136727,180462.0,3977.0,5.081035767511176,84000025,USA,2629.195725032825,9.260897913561847
04-23,46023,2360,,43663.0,25.0,670.5205242831493,195076.0,4493.0,5.127870847185103,84000025,USA,2842.1107227920747,9.762510049323165
04-24,50969,2556,,48413.0,25.0,742.5800274251534,215213.0,4752.0,5.014812925503739,84000025,USA,3135.491680084945,9.323314171359062
04-25,53348,2730,,50618.0,25.0,777.2402696359959,226845.0,4965.0,5.117342730749044,84000025,USA,3304.9611787804142,9.306815625702932
04-26,54938,2899,,52039.0,25.0,800.4053747706073,236100.0,5104.0,5.276857548509228,84000025,USA,3439.799573762065,9.29047289671994
04-27,56462,3003,,53459.0,25.0,822.6089095034042,244887.0,5237.0,5.318621373667245,84000025,USA,3567.8195604399452,9.275264779851936
04-28,58302,3153,,55149.0,25.0,849.4163267660989,254500.0,5515.0,5.40804775136359,84000025,USA,3707.873746389012,9.45936674556619
04-29,60265,3405,,56860.0,25.0,878.0157615958105,265618.0,5758.0,5.6500456317929135,84000025,USA,3869.854651349141,9.554467767360824
04-30,62205,3562,0,58643.0,25,906.2801037097386,275647.0,5942.0,5.726227795193312,84000025,USA,4015.96964467934,9.552286793666104
05-01,64311,3716,0,60595.0,25,936.9629410767141,289636.0,6169.0,5.778171696910326,84000025,USA,4219.77886211838,9.592449192206619
05-02,66263,3846,0,62417.0,25,965.4021141727901,298994.0,6378.0,5.804144092479966,84000025,USA,4356.117889696802,9.625281076920755
05-03,68087,4004,0,64083.0,25,991.9764234592874,314646.0,6507.0,5.880711442712999,84000025,USA,4584.155767411855,9.556890448984387
05-04,69087,4090,0,64997.0,25,1006.5456719716216,324268.0,6622.0,5.920071793535688,84000025,USA,4724.341076597531,9.585015994325994
05-05,70271,4212,,66059.0,25,1023.7956622102248,333349.0,6831.0,5.993937755261773,84000025,USA,4856.644422338038,9.720937513341207
05-06,72025,4420,,67605.0,25,1049.3501241008591,339639.0,7080.0,6.136758070114543,84000025,USA,4948.284995480619,9.829920166608817
05-07,73721,4552,,69169.0,25,1074.0595695777774,351632.0,7237.0,6.174631380475034,84000025,USA,5123.013992889041,9.816741498351892
05-08,75333,4702,,70631.0,25,1097.5451981796598,366023.0,7434.0,6.241620538143973,84000025,USA,5332.6800482300405,9.868185257456894
05-09,76743,4840,,71903.0,25,1118.0878385820508,376537.0,7551.0,6.30676413483966,84000025,USA,5485.86112708872,9.839333880614518
05-10,77793,4979,,72814.0,25,1133.3855495200016,388389.0,7617.0,6.400318794750169,84000025,USA,5658.535860456905,9.791369403416759
05-11,78462,5108,,73354.0,25,1143.1323767747529,394728.0,7732.0,6.510157783385588,84000025,USA,5750.890326776589,9.854451836557825
05-12,79332,5141,,74191.0,25,1155.8076229804835,401496.0,7842.0,6.480361014470831,84000025,USA,5849.495000708065,9.885040084707306
05-13,80497,5315,,75182.0,25,1172.7807974973528,410032.0,8032.0,6.602730536541735,84000025,USA,5973.858106009348,9.978011602916881
05-14,82182,5482,,76700.0,25,1192.3389804835776,410032.0,8032.0,6.670560463361808,84000025,USA,5948.956424103117,9.773429704801536
05-15,83421,5592,,77829.0,25,1210.3150335951975,435679.0,8314.0,6.703348077822131,84000025,USA,6321.056370958417,9.96631543616116
05-16,84933,5705,,79228.0,25,1232.2519119687,448089.0,8456.0,6.717059329118245,84000025,USA,6501.107072423471,9.956083030153179
05-17,86010,5797,,80213.0,25,1247.8775852545875,460826.0,8539.0,6.739913963492618,84000025,USA,6685.902059092321,9.927915358679224
05-18,87052,5862,,81190.0,25,1262.9954604299776,460826.0,8539.0,6.733906171024215,84000025,USA,6685.902059092321,9.809079630565641
05-19,87925,5938,,81987.0,25,1275.6613961575351,476940.0,8766.0,6.7534830821723055,84000025,USA,6919.69230916548,9.969860676713107
05-20,88970,6066,,82904.0,25,1290.8227968852534,489953.0,8897.0,6.818028548949084,84000025,USA,7108.49164664854,10.0
05-21,90084,6148,,83936.0,25,1306.9852853165246,501486.0,9040.0,6.82474135251543,84000025,USA,7275.818378316266,10.035078371297901
05-22,90889,6228,,84661.0,25,1318.6646418579726,511644.0,9162.0,6.852314361473884,84000025,USA,7423.195898500153,10.08042777453817
05-23,91662,6304,,85358.0,25,1329.879725841251,520986.0,9260.0,6.8774410333616975,84000025,USA,7558.734468450722,10.102332482380922
05-24,92675,6372,,86303.0,25,1344.5768540108,532373.0,9308.0,6.875640679794983,84000025,USA,7723.9429565718,10.043701106015646
05-25,93271,6416,,86855.0,25,1353.2239304067045,540561.0,9339.0,6.878879823310567,84000025,USA,7842.738697393385,10.012758520869292
05-26,93693,6473,,87220.0,25,1359.3465247675626,545481.0,9388.0,6.908733843510188,84000025,USA,7914.1206032119235,10.019958801618053
05-27,94220,6547,,87673.0,25,1366.9925134599146,545481.0,9388.0,6.9486308639354695,84000025,USA,7914.1206032119235,9.963914243260453
05-28,94895,6640,,88255.0,25,1376.7857627337994,562323.0,9618.0,6.997207439801887,84000025,USA,8158.473053983437,10.135412824700985
05-29,95512,6718,,88794.0,25,1385.7375179960022,571745.0,9725.0,7.033671161738839,84000025,USA,8295.172305329428,10.181966663874695
05-30,96301,6768,,89533.0,25,1397.1847382583655,582519.0,9789.0,7.027964403277224,84000025,USA,8451.487072258074,10.165003478676232
05-31,96965,6846,,90119.0,25,1406.81839384038,592853.0,9823.0,7.060279482287423,84000025,USA,8601.418091511894,10.130459444129324
06-01,100805,7035,,93770.0,25,1462.5311008207034,592853.0,9823.0,6.978820495015127,84000025,USA,8601.418091511894,9.744556321611029
06-02,101163,7085,,94078.0,25,1467.725150065223,609395.0,10063.0,7.003548728289987,84000025,USA,8841.417987050569,9.947312752686257
06-03,101592,7152,,94440.0,25,1473.9493040481811,617761.0,10151.0,7.0399244034963395,84000025,USA,8962.79624397697,9.991928498306953
06-04,102063,7201,,94862.0,25,1480.7828157637366,624935.0,10238.0,7.055446146007857,84000025,USA,9066.880348111563,10.031059247719543
06-05,102557,7235,,95322.0,25,1487.9500233804758,634769.0,10303.0,7.05461353198709,84000025,USA,9209.557108643989,10.046120693858052
06-06,103132,7289,,95843.0,25,1496.2924209100815,644639.0,10369.0,7.067641469185122,84000025,USA,9352.756175804348,10.054105418298882
06-07,103436,7316,,96120.0,25,1500.7030102126905,652490.0,10393.0,7.072972659422251,84000025,USA,9466.662546247713,10.047759000734754
06-08,103626,7353,,96273.0,25,1503.459628526821,657269.0,10425.0,7.095709570957097,84000025,USA,9535.99875110682,10.060216547970589
06-09,103889,7408,,96481.0,25,1507.2753686142755,661992.0,10507.0,7.130687560761968,84000025,USA,9604.522478989129,10.113679022803185
06-10,104156,7454,,96702.0,25,1511.1491427715011,672090.0,10582.0,7.156572833058106,84000025,USA,9751.029488126447,10.159760359460806
06-11,104667,7492,,97175,25,1518.5629951847684,683088.0,10654.0,7.157938987455454,84000025,USA,9910.59416296228,10.178948474686386
