Date,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
04-12,1621,70,842.0,1551,27.0,32.77100367,37421.0,361.0,4.318322023,84000027,USA,756.5229662,22.27020358
04-13,1621,70,842.0,1551.0,27.0,32.771003666066505,38427.0,361.0,4.318322023442319,84000027,USA,776.8608006637493,22.27020357803825
04-14,1695,79,909.0,1616.0,27.0,34.26702728,39241.0,405.0,4.660766962,84000027,USA,793.3170604,23.89380531
04-15,1809,87,940.0,1722.0,27.0,36.571712296060646,40242.0,445.0,4.8092868988391375,84000027,USA,813.5538121714055,24.59922609176341
04-16,1809,87,1020.0,1722.0,27.0,36.571712296060646,41675.0,475.0,4.8092868988391375,84000027,USA,842.5241072074779,26.25760088446655
04-17,2070,111,1066.0,1959.0,27.0,41.84822800046741,43053.0,518.0,5.36231884057971,84000027,USA,870.3824928039243,25.02415458937198
04-18,2209,121,1118.0,2088.0,27.0,44.65832640243116,44268.0,561.0,5.4775916704391125,84000027,USA,894.9455831520247,25.39610683567225
04-19,2356,134,1160.0,2222.0,27.0,47.630157086522324,45716.0,574.0,5.687606112054329,84000027,USA,924.219126217086,24.363327674023772
04-20,2470,143,1202.0,2327.0,27.0,49.93484210683792,46850.0,602.0,5.789473684210527,84000027,USA,947.1446772086464,24.37246963562753
04-21,2567,160,1254.0,2407.0,27.0,51.89584602763277,47697.0,629.0,6.2329567588624855,84000027,USA,964.2680825788859,24.503311258278146
04-22,2722,179,1317.0,2543.0,27.0,55.02940899385135,49344.0,660.0,6.576047024246877,84000027,USA,997.5647161618663,24.246877296105804
04-23,2942,200,1536.0,2742.0,27.0,59.477046752355115,51548.0,712.0,6.798096532970767,84000027,USA,1042.1219598879684,24.20122365737593
04-24,3185,221,1594.0,2964.0,27.0,64.38966482197522,53787.0,756.0,6.938775510204081,84000027,USA,1087.386782348377,23.736263736263734
04-25,3446,244,1654.0,3202.0,27.0,69.66618052638198,59699.0,797.0,7.0806732443412645,84000027,USA,1206.9069388405333,23.128264654672083
04-26,3602,272,1774.0,3330.0,27.0,72.81996002786647,58987.0,829.0,7.551360355358135,84000027,USA,1192.5127657311934,23.014991671293725
04-27,3811,286,1842.0,3525.0,27.0,77.04521589844506,61268.0,861.0,7.504591970611387,84000027,USA,1238.6266826727715,22.59249540802939
04-28,4181,301,1912.0,3880.0,27.0,84.52533394683779,63829.0,912.0,7.199234632862952,84000027,USA,1290.4012294888087,21.81296340588376
04-29,4644,319,2043.0,4325.0,27.0,93.88558977496166,66744.0,950.0,6.869078380706288,84000027,USA,1349.3324297889835,20.45650301464255
04-30,5136,343,2172,2621.0,27,103.8321251257974,70276.0,1044.0,6.678348909657321,84000027,USA,1420.7372323482355,20.32710280373832
05-01,5730,370,2282,3078.0,27,115.8407470737576,74829.0,1096.0,6.457242582897033,84000027,USA,1512.7831174139978,19.12739965095986
05-02,6232,394,2397,3441.0,27,125.9894477772526,79007.0,1159.0,6.322207958921695,84000027,USA,1597.2478017550382,18.597560975609763
05-03,6663,418,3015,3230.0,27,134.70277447686684,82632.0,1199.0,6.2734503977187455,84000027,USA,1670.5327420940207,17.9948971934564
05-04,7234,427,4212,2595.0,27,146.24641611371072,85941.0,1271.0,5.902681780481062,84000027,USA,1737.4292572889706,17.569809234171966
05-05,7851,455,4614.0,2782.0,27,158.72001837278725,88009.0,1350.0,5.7954400713284935,84000027,USA,1779.2370522189062,17.19526175009553
05-06,8579,485,5005.0,3089.0,27,173.43765604638162,93232.0,1405.0,5.653339550064111,84000027,USA,1884.8280159128394,16.377200139876443
05-07,9365,508,5308.0,3549.0,27,189.32785276539963,97421.0,1459.0,5.424452749599574,84000027,USA,1969.5150821418044,15.57928457020822
05-08,10088,534,5697.0,3857.0,27,203.94440776266438,101270.0,1549.0,5.2934179222839015,84000027,USA,2047.3285263803546,15.354877081681206
05-09,10790,558,6322.0,3910.0,27,218.1364155193446,106263.0,1612.0,5.171455050973123,84000027,USA,2148.2696869631245,14.93975903614458
05-10,11271,578,6882.0,3811.0,27,227.86056898225516,111088.0,1657.0,5.128205128205129,84000027,USA,2245.814469621219,14.701446189335465
05-11,11799,591,7536.0,3672.0,27,238.53489960266418,115781.0,1716.0,5.008899059242308,84000027,USA,2340.6906696242113,14.543605390287313
05-12,12494,614,,11880.0,27,252.585391612483,120834.0,1799.0,4.9143588922682895,84000027,USA,2442.844822322937,14.398911477509206
05-13,12917,638,8149.0,4130.0,27,261.1369860299698,122035.0,1851.0,4.939227374777425,84000027,USA,2467.1248811773144,14.329952775412247
05-14,13435,672,8473.0,4290.0,27,238.2247636015967,128752.0,1915.0,5.0018608113137315,84000027,USA,2282.985840210851,14.253814663193152
05-15,14240,692,8820.0,4728.0,27,252.4987445989384,134669.0,1985.0,4.859550561797753,84000027,USA,2387.904033454665,13.939606741573035
05-16,14969,709,9571.0,4689.0,27,265.4251199369037,143281.0,2039.0,4.7364553410381465,84000027,USA,2540.6090326461012,13.621484401095598
05-17,15668,731,10175.0,4762.0,27,277.81954567248357,150585.0,2090.0,4.665560377840183,84000027,USA,2670.1210291735347,13.33929027316824
