Date,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
04-12,4269,118,,4151,29.0,72.85659283,45200.0,988.0,2.764113375,84000029,USA,771.4026695,23.14359335
04-13,4515,123,,4392.0,29.0,77.05493479258142,45428.0,988.0,2.724252491694352,84000029,USA,775.2938156716256,21.882613510520486
04-14,4746,149,,4597.0,29.0,80.99728029,47978.0,1041.0,3.1394858830000003,84000029,USA,818.8132141,21.93426043
04-15,4791,153,,4638.0,29.0,81.76526967691198,49012.0,1024.0,3.1934877896055105,84000029,USA,836.4599034449616,21.3734084742225
04-16,5174,169,,5005.0,29.0,88.30171265045765,50648.0,1043.0,3.266331658291457,84000029,USA,864.3805841361383,20.158484731349045
04-17,5371,184,,5187.0,29.0,91.6637995063023,51717.0,1043.0,3.4258052504189163,84000029,USA,882.6245985975489,19.41910258797245
04-18,5579,197,,5382.0,29.0,95.2136171002905,53759.0,875.0,3.5310987632192146,84000029,USA,917.474250169299,15.683814303638645
04-19,5743,199,,5544.0,29.0,98.01251174170434,53909.0,875.0,3.465087933135992,84000029,USA,920.0342147803482,15.235939404492425
04-20,5890,200,,5690.0,29.0,100.52127706053257,56013.0,873.0,3.3955857385398978,84000029,USA,955.9419850579984,14.821731748726654
04-21,6066,224,,5842.0,29.0,103.52496887083035,57120.0,1001.0,3.692713484998352,84000029,USA,974.8345238875418,16.501813386086386
04-22,6277,238,,6039.0,29.0,107.12598575703957,58156.0,1001.0,3.7916202007328335,84000029,USA,992.5153461345217,15.947108491317508
04-23,6506,252,,6254.0,29.0,111.03419839657471,59450.0,884.0,3.873347679065478,84000029,USA,1014.5993075125062,13.58745773132493
04-24,6788,272,,6516.0,29.0,115.84693186534723,67017.0,877.0,4.007071302298173,84000029,USA,1143.7409889245691,12.919858573954036
04-25,6935,281,,6654.0,29.0,118.35569718417544,67218.0,850.0,4.051910598413843,84000029,USA,1147.1713415033748,12.256669069935114
04-26,7120,283,,6837.0,29.0,121.51298687113615,69748.0,679.0,3.974719101123596,84000029,USA,1190.3494112764051,9.536516853932584
