Date,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
04-12,2836,112,,2724,32.0,94.01010443,24611.0,282.0,3.94922426,84000032,USA,815.8260508,9.943582511
04-13,2990,114,,2876.0,32.0,99.1150254732245,25464.0,,3.812709030100335,84000032,USA,844.1020095820031,
04-14,3134,126,,3008.0,32.0,103.8884581,26661.0,,4.020421187,84000032,USA,883.7811686000001,
04-15,3211,131,,3080.0,32.0,106.4409186603759,27655.0,,4.07972594207412,84000032,USA,916.7311135324496,
04-16,3214,137,,3077.0,32.0,106.54036517422865,28451.0,,4.262601120099564,84000032,USA,943.1175885413749,
04-17,3524,142,,3382.0,32.0,116.81650493901111,29762.0,,4.029511918274688,84000032,USA,986.5757150950196,
04-18,3626,151,,3475.0,32.0,120.19768641000404,30751.0,,4.164368450082737,84000032,USA,1019.3599158284708,
04-19,3728,158,,3570.0,32.0,123.57886788099701,31598.0,,4.238197424892704,84000032,USA,1047.4369815728924,
04-20,3830,159,,3671.0,32.0,126.96004935198994,32347.0,,4.151436031331594,84000032,USA,1072.265461198125,
04-21,3937,163,,3774.0,32.0,130.50697501273746,33055.0,,4.1402082804165605,84000032,USA,1095.73483846737,
04-22,4081,172,,3909.0,32.0,135.28040767766865,33888.0,,4.214653271257045,84000032,USA,1123.3478204804792,
04-23,4208,195,,4013.0,32.0,139.49031009743442,34749.0,,4.63403041825095,84000032,USA,1151.8889699562135,
04-24,4398,197,,4201.0,32.0,145.7885893081075,36192.0,,4.479308776716691,84000032,USA,1199.7227431193785,
04-25,4539,205,,4334.0,32.0,150.46257545918596,37208.0,,4.5164133068957915,84000032,USA,1233.4019624775044,
04-26,4734,206,,4528.0,32.0,156.92659885961368,38186.0,,4.351499788762146,84000032,USA,1265.8215259934955,
04-27,4700,206,,4494.0,32.0,155.7995383692827,38813.0,,4.382978723404255,84000032,USA,1286.605847388717,
04-28,4821,219,,4602.0,32.0,159.81054776134297,40119.0,,4.542626011200996,84000032,USA,1329.898229752607,
04-29,4934,230,100.0,4704.0,32.0,163.55636644979592,41028.0,,4.661532225374949,84000032,USA,1360.0305234499851,
04-30,5053,243,158,4652.0,32,167.50107816595434,41986.0,,4.809024341975063,84000032,USA,1391.7871102069582,
05-01,5248,246,182,4820.0,32,173.96510156638203,43595.0,,4.6875,84000032,USA,1445.1235904699743,
05-02,5389,255,182,4952.0,32,178.6390877174605,44387.0,,4.731861198738169,84000032,USA,1471.3774701270959,
05-03,5472,258,182,5032.0,32,181.39044126738614,45269.0,,4.714912280701754,84000032,USA,1500.6147451997995,
05-04,5630,265,185,5180.0,32,186.62795766363016,46166.0,,4.7069271758436955,84000032,USA,1530.3492528417669,
05-05,5660,270,200.0,5190.0,32,187.62242280215747,47884.0,,4.770318021201414,84000032,USA,1587.2989564414324,
05-06,5741,289,203.0,5249.0,32,190.3074786761813,49275.0,,5.033966207977704,84000032,USA,1633.4089900311499,
05-07,5855,297,205.0,5353.0,32,194.08644620258514,51357.0,,5.072587532023912,84000032,USA,1702.4248706449469,
05-08,5920,294,205.0,5421.0,32,196.2411206693944,53344.0,,4.966216216216216,84000032,USA,1768.2916116534077,
05-09,6171,313,205.0,5653.0,32,204.5614789950731,56111.0,,5.072111489223789,84000032,USA,1860.0144462635792,
05-10,6120,310,182.0,5628.0,32,202.87088825957662,58809.0,,5.065359477124184,84000032,USA,1949.4500110551376,
05-11,6152,312,183.0,5657.0,32,203.93165107400574,60084.0,,5.0715214564369315,84000032,USA,1991.7147794425491,
05-12,6313,321,185.0,5807.0,32,209.26861398410247,64075.0,,5.084745762711863,84000032,USA,2124.011791704636,
05-13,6476,331,198.0,5947.0,32,214.671874570101,66672.0,,5.1111797405806065,84000032,USA,2210.0993238631518,
05-14,6504,333,244.0,5927.0,32,211.158136146351,69484.0,,5.119926199261992,84000032,USA,2255.8597681416136,
05-15,6733,343,272.0,6118.0,32,218.5928245192776,72146.0,,5.094311599584138,84000032,USA,2342.2839622408733,
05-16,6813,347,272.0,6194.0,32,221.19009556658818,73664.0,,5.093204168501394,84000032,USA,2391.567180363592,
05-17,6949,350,272.0,6327.0,32,225.60545634701617,80637.0,,5.0366959274715795,84000032,USA,2617.951818024801,
05-18,7061,358,355.0,6348.0,32,229.241635813251,81832.0,,5.0701033847896895,84000032,USA,2656.7485542940035,
05-19,7096,358,334.0,6404.0,32,230.37794189644939,87555.0,,5.045095828635851,84000032,USA,2842.550831840985,
05-20,7388,377,336.0,6675.0,32,239.85798121913302,91171.0,,5.1028695181375205,84000032,USA,2959.947483179423,
05-21,7400,383,339.0,6678.0,32,240.24757187622964,94382.0,,5.1756756756756745,84000032,USA,3064.1954498408522,
05-22,7525,386,339.0,6800.0,32,244.30580788765243,99941.0,,5.129568106312292,84000032,USA,3244.6733217408473,
05-23,7526,387,359.0,6780.0,32,244.33827377574383,107047.0,,5.142173797501993,84000032,USA,3475.3759225182102,
05-24,7881,380,359.0,7142.0,32,255.86366404818455,110281.0,,4.821723131582287,84000032,USA,3580.370604605741,
05-25,7956,394,359.0,7203.0,32,258.2986056550383,114731.0,,4.952237305178481,84000032,USA,3724.8438066123917,
05-26,8057,394,374.0,7289.0,32,261.57766035226786,123367.0,,4.890157626908279,84000032,USA,4005.2192161695702,
05-27,8150,402,401.0,7347.0,32,264.59698794476645,128559.0,,4.932515337423313,84000032,USA,4173.7821071400285,
05-28,8248,406,406.0,7436.0,32,267.7786449777219,131190.0,,4.9224054316197865,84000032,USA,4259.199858708455,
05-29,8376,406,428.0,7542.0,32,271.93427865341886,134416.0,,4.847182425978987,84000032,USA,4363.934813691255,
05-30,8517,417,428.0,7672.0,32,276.51196887430376,138532.0,,4.896090172595986,84000032,USA,4497.564409075385,
05-31,8628,417,428.0,7783.0,32,280.11568245244723,142560.0,,4.833101529902644,84000032,USA,4628.3370063074735,
