Date,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
04-12,189033,9385,23887.0,179648,36.0,1121.124012,461601.0,42594.0,4.9647416060000005,84000036,USA,2737.680538,22.53257368
04-13,195749,10058,23887.0,185691.0,36.0,1160.9555172357552,478357.0,42712.0,5.138212711176047,84000036,USA,2837.057652188998,21.819779411389074
04-14,203020,10842,23887.0,192178.0,36.0,1204.0786369999998,499143.0,46201.0,5.340360556,84000036,USA,2960.336041,22.75687124
04-15,214454,11617,23887.0,202837.0,36.0,1271.8918333849808,526012.0,46201.0,5.417012506178482,84000036,USA,3119.6917150647723,21.5435478004607
04-16,223691,14832,23887.0,208859.0,36.0,1326.6749797239493,550579.0,50450.0,6.630575213128825,84000036,USA,3265.394600862048,22.55343308403109
04-17,230597,17131,23887.0,213466.0,36.0,1367.6333437617227,550579.0,52424.0,7.428977827118306,84000036,USA,3265.394600862048,22.73403383391805
04-18,241712,17671,23887.0,224041.0,36.0,1433.5546029971488,596532.0,54339.0,7.3107665320712245,84000036,USA,3537.9343782480605,22.480886344078908
04-19,247815,18298,23887.0,229517.0,36.0,1469.750504491868,617555.0,55723.0,7.383733833706597,84000036,USA,3662.6183758104858,22.48572523858524
04-20,253060,18611,23887.0,234449.0,36.0,1500.8577473789405,633861.0,57103.0,7.354382359914645,84000036,USA,3759.3266127059296,22.56500434679523
04-21,258361,19104,23887.0,239257.0,36.0,1532.2971171681436,649325.0,57103.0,7.394304867994782,84000036,USA,3851.041084394336,22.10202004172457
04-22,263292,19413,23887.0,243879.0,36.0,1561.5420770682683,669982.0,57103.0,7.373182626133722,84000036,USA,3973.5543954178343,21.688087750482353
04-23,263460,20973,23887.0,242487.0,36.0,1562.5384577746606,695920.0,57103.0,7.960601229788202,84000036,USA,4127.388459479776,21.67425795187125
04-24,271590,21411,23887.0,250179.0,36.0,1610.7561669590075,730656.0,57103.0,7.883574505688722,84000036,USA,4333.402032201482,21.02544276298833
04-25,282143,22009,23887.0,260134.0,36.0,1673.3442954980496,777568.0,57103.0,7.800654278149732,84000036,USA,4611.629482786486,20.239027727074564
04-26,288045,22269,23887.0,265776.0,36.0,1708.3480986476209,805350.0,57103.0,7.73108368484091,84000036,USA,4776.400011268592,19.824333003523755
04-27,291996,22668,23887.0,269328.0,36.0,1731.7808377604565,826095.0,57103.0,7.763120042740311,84000036,USA,4899.435235995439,19.55608980944945
04-28,295106,22912,51630.0,272194.0,36.0,1750.2257425037922,844994.0,64275.0,7.763989888379091,84000036,USA,5011.5221346270455,21.780309448130502
04-29,299691,23477,53238.0,276214.0,36.0,1777.4186326157517,872481.0,65397.0,7.833735414143233,84000036,USA,5174.543066035428,21.82147612040401
04-30,304372,23587,54771,226014.0,36,1805.1808831313635,900636.0,66369.0,7.749398762041188,84000036,USA,5341.525796919226,21.805225184971018
05-01,308314,24039,56187,228088.0,36,1828.5602447063568,927438.0,67180.0,7.796921320471987,84000036,USA,5500.484104614045,21.789474367041393
05-02,312977,24198,57540,231239.0,36,1856.215740146284,959071.0,67890.0,7.731558549030759,84000036,USA,5688.09428845518,21.69168980468213
05-03,316415,24708,58950,232757.0,36,1876.6059596020998,985911.0,68736.0,7.8087322029613,84000036,USA,5847.277967976443,21.723369625333813
05-04,318953,24999,58950,235004.0,36,1891.6584252736714,1007310.0,69331.0,7.837831906268321,84000036,USA,5974.191960453175,21.73705843807709
05-05,321192,25124,58950.0,237118.0,36,1904.9375705213647,1028899.0,69867.0,7.822112630451567,84000036,USA,6102.232812062138,21.752409773593364
05-06,323978,25623,54597.0,243758.0,36,1921.4608839023724,1028899.0,70539.0,7.908870355394503,84000036,USA,6102.232812062138,21.772774694578022
05-07,327469,26144,55547.0,245778.0,36,1942.165437747705,1089916.0,71152.0,7.983656468245848,84000036,USA,6464.1147261213355,21.727858209479365
05-08,330407,26243,56378.0,247786.0,36,1959.5902384344959,1121543.0,71679.0,7.942628334145462,84000036,USA,6651.689324937243,21.694152968914093
05-09,333122,26612,57180.0,249330.0,36,1975.6924623503014,1153768.0,72255.0,7.988664813491753,84000036,USA,6842.810564600905,21.690251619526784
05-10,335395,26641,58006.0,250748.0,36,1989.1732560742896,1182998.0,72715.0,7.943171484369175,84000036,USA,7016.168945838109,21.680406684655406
05-11,337055,26988,58363.0,251704.0,36,1999.0184463874527,1204651.0,73143.0,8.007001824628029,84000036,USA,7144.589371049507,21.70061265965495
05-12,338485,27284,58679.0,252522.0,36,2007.499544066864,1225113.0,73143.0,8.060623070446253,84000036,USA,7265.946168753086,21.608933926171023
05-13,340661,27477,59193.0,253991.0,36,2020.4050465496607,1258907.0,73963.0,8.065789744056406,84000036,USA,7466.372892513949,21.71161359826925
