Date,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
04-12,308,7,121.0,301,38.0,50.79004911,10350.0,39.0,2.272727273,84000038,USA,1706.7435329999998,12.66233766
04-13,331,8,127.0,323.0,38.0,54.58281251545964,10781.0,40.0,2.416918429003021,84000038,USA,1777.8166215382792,12.084592145015106
04-14,341,8,138.0,333.0,38.0,56.23184008,10916.0,42.0,2.346041056,84000038,USA,1800.078494,12.31671554
04-15,365,9,142.0,356.0,38.0,60.189506248165465,11317.0,44.0,2.4657534246575343,84000038,USA,1866.2044992068177,12.054794520547945
04-16,393,9,163.0,384.0,38.0,64.80678343980554,11704.0,45.0,2.2900763358778624,84000038,USA,1930.0218661055576,11.450381679389313
04-17,393,9,172.0,384.0,38.0,64.80678343980554,12342.0,47.0,2.2900763358778624,84000038,USA,2035.2298249722141,11.959287531806615
04-18,528,9,183.0,519.0,38.0,87.06865561378456,12963.0,47.0,1.7045454545454546,84000038,USA,2137.6344369725175,8.901515151515152
04-19,585,9,189.0,576.0,38.0,96.46811275390905,13630.0,51.0,1.5384615384615383,84000038,USA,2247.624575787658,8.717948717948719
04-20,627,9,189.0,618.0,38.0,103.39402854136915,14747.0,53.0,1.4354066985645932,84000038,USA,2431.8209551827285,8.452950558213718
04-21,644,13,214.0,631.0,38.0,106.19737540772205,14987.0,54.0,2.018633540372671,84000038,USA,2471.397616825358,8.385093167701863
04-22,679,14,229.0,665.0,38.0,111.96897189727218,15589.0,62.0,2.061855670103093,84000038,USA,2570.66907644562,9.131075110456553
04-23,709,15,269.0,694.0,38.0,116.91605460260084,16330.0,65.0,2.1156558533145278,84000038,USA,2692.862019267238,9.167842031029618
04-24,748,15,285.0,733.0,38.0,123.34726211952812,17449.0,67.0,2.005347593582888,84000038,USA,2877.3882041759966,8.957219251336898
04-25,803,16,310.0,787.0,38.0,132.416913745964,19350.0,70.0,1.99252801992528,84000038,USA,3190.8683449369905,8.7173100871731
04-26,867,17,326.0,850.0,38.0,142.9706901839985,20717.0,71.0,1.96078431372549,84000038,USA,3416.2904135431336,8.189158016147635
04-27,942,19,350.0,923.0,38.0,155.3383969473202,22434.0,77.0,2.0169851380042463,84000038,USA,3699.428447044778,8.174097664543524
04-28,991,19,409.0,972.0,38.0,163.4186320326903,23723.0,79.0,1.917255297679112,84000038,USA,3911.9881006170654,7.9717457114026224
04-29,1033,19,437.0,1014.0,38.0,170.34454782015047,25536.0,82.0,1.8393030009680544,84000038,USA,4210.956798775762,7.938044530493706
04-30,1067,19,458,590.0,38,175.95124155285632,27460.0,85.0,1.7806935332708531,84000038,USA,4528.229702944173,7.96626054358013
05-01,1107,23,482,602.0,38,182.54735182662785,29525.0,86.0,2.0776874435411017,84000038,USA,4868.753895827629,7.768744354110208
05-02,1153,24,510,619.0,38,190.13287864146514,31547.0,90.0,2.081526452732004,84000038,USA,5202.187270166783,7.805724197745013
05-03,1191,25,517,649.0,38,196.39918340154807,33353.0,90.0,2.0990764063811924,84000038,USA,5500.001649027568,7.556675062972292
05-04,1225,25,540,660.0,38,202.00587713425392,34754.0,94.0,2.0408163265306123,84000038,USA,5731.030411366417,7.6734693877551035
05-05,1266,25,559.0,682.0,38,208.76689016486978,36421.0,95.0,1.9747235387045812,84000038,USA,6005.923307025847,7.503949447077409
05-06,1323,31,582.0,710.0,38,218.16634730499425,38632.0,97.0,2.3431594860166287,84000038,USA,6370.523302408571,7.331821617535902
05-07,1371,31,601.0,739.0,38,226.08167963352008,40867.0,102.0,2.2611232676878186,84000038,USA,6739.0809639555555,7.439824945295403
05-08,1425,33,714.0,678.0,38,234.98642850311168,42501.0,104.0,2.3157894736842106,84000038,USA,7008.532068639123,7.298245614035088
05-09,1464,35,762.0,667.0,38,241.417636020039,43933.0,110.0,2.390710382513661,84000038,USA,7244.672816440147,7.513661202185792
05-10,1491,35,792.0,664.0,38,245.8700104548348,44869.0,110.0,2.347417840375587,84000038,USA,7399.0217968463985,7.377598926894701
05-11,1518,36,846.0,636.0,38,250.3223848896306,47014.0,115.0,2.3715415019762847,84000038,USA,7752.738210277399,7.575757575757576
05-12,1571,38,877.0,656.0,38,259.06223100237787,47832.0,122.0,2.4188415022278797,84000038,USA,7887.628665376028,7.765754296626352
05-13,1647,40,969.0,638.0,38,271.59484052254385,48945.0,127.0,2.428658166363084,84000038,USA,8071.16543374372,7.710989678202792
05-14,1712,40,1007.0,665.0,38,224.65363710564236,50246.0,129.0,2.336448598130841,84000038,USA,6593.426781547958,7.535046728971963
05-15,1761,42,1071.0,648.0,38,231.0835601302781,51715.0,130.0,2.385008517887564,84000038,USA,6786.193249368162,7.382169222032937
05-16,1848,42,1111.0,695.0,38,242.4999540719784,53487.0,130.0,2.272727272727273,84000038,USA,7018.72026160601,7.034632034632034
05-17,1900,43,1178.0,679.0,38,249.32354585322452,55221.0,130.0,2.263157894736842,84000038,USA,7246.260802926796,6.842105263157895
05-18,1931,44,1219.0,668.0,38,253.3914563381982,56561.0,133.0,2.278612118073537,84000038,USA,7422.099514212754,6.887622993267738
05-19,1994,45,1269.0,680.0,38,261.6585002270156,57731.0,135.0,2.2567703109327986,84000038,USA,7575.630329290792,6.770310932798394
05-20,2095,49,1302.0,744.0,38,274.9120150328976,59200.0,142.0,2.3389021479713605,84000038,USA,7768.396797110996,6.778042959427206
