Date,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
04-12,22938,557,,22381,42.0,182.2284446,124890.0,2097.0,2.428284942,84000042,USA,992.175013,9.142035051
04-13,24292,589,,23703.0,42.0,192.985150264584,129792.0,2243.0,2.4246665568911574,84000042,USA,1031.1184185386498,9.233492507821506
04-14,25465,691,,24774.0,42.0,202.3039211,133631.0,2317.0,2.713528372,84000042,USA,1061.616936,9.098763007999999
04-15,26753,779,,25974.0,42.0,212.53629693019985,137584.0,2395.0,2.9118229731245093,84000042,USA,1093.0211145234036,8.952267035472659
04-16,28258,841,,27417.0,42.0,224.49260563875407,141470.0,2512.0,2.976148347370656,84000042,USA,1123.8930186040957,8.889518012598204
04-17,29888,921,,28967.0,42.0,237.44196324336758,147373.0,2603.0,3.081504282655246,84000042,USA,1170.7887596716012,8.709180942184155
04-18,31652,1042,,30610.0,42.0,251.45586926455672,153965.0,2613.0,3.292051055225578,84000042,USA,1223.1581862541855,8.255402502211549
04-19,32902,1276,,31626.0,42.0,261.38635822514993,158854.0,2634.0,3.8781836970396935,84000042,USA,1261.9983146768575,8.005592365205763
04-20,33914,1348,,32566.0,42.0,269.4260820876462,162952.0,2701.0,3.974759686265259,84000042,USA,1294.5544296852665,7.964262546440997
04-21,35249,1614,,33635.0,42.0,280.0318442975597,166851.0,2743.0,4.5788533008028605,84000042,USA,1325.5296108511486,7.781781043433857
04-22,36082,1673,,34409.0,42.0,286.649522140899,171317.0,2764.0,4.636660938972341,84000042,USA,1361.009261809556,7.660329250041572
04-23,38379,1724,,36655.0,42.0,304.89778865488506,178708.0,2750.0,4.4920399176633055,84000042,USA,1419.7262569357517,7.165376898824878
04-24,40208,1747,,38461.0,42.0,319.4280801020251,186143.0,2746.0,4.3449064862713875,84000042,USA,1478.7928052733596,6.829486669319539
04-25,41153,1793,,39360.0,42.0,326.9355297562335,192935.0,2748.0,4.356912011274998,84000042,USA,1532.751110089639,6.677520472383544
04-26,42616,1816,,40800.0,42.0,338.55817403571183,198593.0,2736.0,4.261310305988361,84000042,USA,1577.700475320868,6.420123897127839
04-27,43558,1886,,41672.0,42.0,346.0417905164148,203422.0,2800.0,4.329859038523348,84000042,USA,1616.0639402734314,6.42821066164654
04-28,45137,2046,,43091.0,42.0,358.58598417143617,209088.0,,4.532866606110288,84000042,USA,1661.0768606340084,
04-29,46327,2373,,43954.0,42.0,368.03980966192086,214883.0,,5.122282901979407,84000042,USA,1707.1146074553185,
04-30,47971,2475,0,45496.0,42,381.10038874289313,221365.0,,5.15936711763357,84000042,USA,1758.6101510093704,
05-01,49579,2635,0,46944.0,42,393.87496974180016,227448.0,,5.314750196655842,84000042,USA,1806.9358824872013,
05-02,50494,2695,0,47799.0,42,401.14408766095437,235376.0,,5.3372677941933695,84000042,USA,1869.919015670868,
05-03,51225,2720,0,48505.0,42,406.95143760510933,240641.0,,5.309907271839922,84000042,USA,1911.7462351728861,
05-04,52816,2838,0,49978.0,42,419.5909639541523,245590.0,,5.373371705543773,84000042,USA,1951.0630270656668,
05-05,53864,3179,,50685.0,42,427.9166858987136,250882.0,,5.9019010842120885,84000042,USA,1993.1047451292345,
05-06,54800,3345,,51455.0,42,435.35263603240577,256340.0,,6.104014598540147,84000042,USA,2036.4652321267686,
05-07,55956,3589,,52367.0,42,444.5363522231624,262788.0,,6.4139681178068475,84000042,USA,2087.6906663810923,
