Date,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
04-12,2665,63,35.0,2602,44.0,251.56674640000003,20350.0,201.0,2.363977486,84000044,USA,1920.969339,7.542213884
04-13,2665,63,135.0,2602.0,44.0,251.56674636880157,20661.0,331.0,2.363977485928705,84000044,USA,1950.3266591841686,12.420262664165106
04-14,3251,80,135.0,3171.0,44.0,306.88311160000006,22900.0,331.0,2.460781298,84000044,USA,2161.6804850000003,10.18148262
04-15,3251,80,168.0,3171.0,44.0,306.8831116116225,25897.0,331.0,2.460781298062135,84000044,USA,2444.586878316268,10.181482620732082
04-16,3529,87,182.0,3442.0,44.0,333.12534631726106,28064.0,331.0,2.4652876168886366,84000044,USA,2649.1441538814443,9.379427599886654
04-17,4177,118,196.0,4059.0,44.0,394.29429627860566,30761.0,331.0,2.8249940148431887,84000044,USA,2903.7315891372245,7.924347617907588
04-18,4491,137,217.0,4354.0,44.0,423.9348059820968,32826.0,331.0,3.050545535515476,84000044,USA,3098.660418875152,7.370296147851257
04-19,4706,150,244.0,4556.0,44.0,444.23005944149355,34699.0,331.0,3.1874203144921376,84000044,USA,3275.4651152911993,7.033574160645983
04-20,5090,155,267.0,4935.0,44.0,480.4783260852533,37080.0,331.0,3.0451866404715133,84000044,USA,3500.223247788053,6.50294695481336
04-21,5500,171,315.0,5329.0,44.0,519.1809024496843,39333.0,576.0,3.109090909090909,84000044,USA,3712.898624736988,10.472727272727274
04-22,5841,181,315.0,5660.0,44.0,551.3701184015647,41722.0,576.0,3.0987844547166583,84000044,USA,3938.4119294555867,9.861325115562405
04-23,6256,189,342.0,6067.0,44.0,590.5446774045863,44419.0,576.0,3.0210997442455243,84000044,USA,4192.999364711369,9.207161125319693
04-24,6699,202,377.0,6497.0,44.0,632.3623391837153,47257.0,576.0,3.0153754291685324,84000044,USA,4460.896710375406,8.598298253470666
04-25,7129,215,410.0,6914.0,44.0,672.9528461025088,50891.0,576.0,3.0158507504558845,84000044,USA,4803.93369210307,8.079674568663206
04-26,7439,226,433.0,7213.0,44.0,702.2157696951276,53403.0,691.0,3.0380427476811405,84000044,USA,5041.057769730998,9.28888291437021
04-27,7708,233,452.0,7475.0,44.0,727.6084356513029,55885.0,718.0,3.0228334198235602,84000044,USA,5275.3499515273825,9.314997405293203
04-28,7927,239,466.0,7688.0,44.0,748.2812752215723,57693.0,732.0,3.01501198435726,84000044,USA,5446.018873641751,9.234262646650688
04-29,8247,251,391.0,7996.0,44.0,778.488164091372,60165.0,750.0,3.043530980962774,84000044,USA,5679.367090160956,9.094216078574027
