Date,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
04-12,13691,285,2014.0,13394,48.0,59.50516088,124533.0,1338.0,2.069167215,84000048,USA,541.8115230000001,9.782847116000001
04-13,14275,305,2269.0,13970.0,48.0,62.106907327923295,133226.0,1176.0,2.136602451838879,84000048,USA,579.6325629190828,8.238178633975481
04-14,15027,342,2580.0,14664.0,48.0,65.28730307,146467.0,1409.0,2.279088365,84000048,USA,637.2407982999999,9.389577502
04-15,15941,378,3150.0,15532.0,48.0,69.20732573487047,151810.0,1538.0,2.3574526937826112,84000048,USA,660.4868372295648,9.668699314767084
04-16,16900,415,3677.0,16462.0,48.0,73.42319916399535,158547.0,1459.0,2.4531879592320456,84000048,USA,689.7978168910863,8.645413605119696
04-17,17870,451,4190.0,17398.0,48.0,77.65647557941176,169536.0,1522.0,2.526752199002745,84000048,USA,737.6081709805118,8.527088352288644
04-18,18711,476,4806.0,18228.0,48.0,81.37636389922785,176239.0,1321.0,2.5449101796407185,84000048,USA,766.7712252585551,7.062660393498716
04-19,19261,490,5334.0,18770.0,48.0,83.7953789937515,182710.0,1471.0,2.544132917964694,84000048,USA,794.9249063316893,7.637590861889928
04-20,19756,507,5706.0,19244.0,48.0,85.93159556103771,190394.0,1411.0,2.5669586350058227,84000048,USA,828.3560429977323,7.143942078882081
04-21,20688,534,6486.0,20041.0,48.0,89.51225999052146,205399.0,1419.0,2.5906483911733256,84000048,USA,893.6389953238611,6.8970545348498105
04-22,21350,557,7341.0,20765.0,48.0,92.76226768046602,216783.0,1678.0,2.607757609868205,84000048,USA,943.167894309576,7.870174944890016
04-23,22650,604,8025.0,22046.0,48.0,98.54440987582926,225078.0,1649.0,2.6666666666666665,84000048,USA,979.2573371316513,7.280353200883002
04-24,23642,626,9156.0,23018.0,48.0,102.86035047613049,242547.0,1674.0,2.639370611623382,84000048,USA,1055.2605290133667,7.080619236951189
04-25,24176,640,9986.0,23515.0,48.0,105.08358197487436,262816.0,1597.0,2.641493810292717,84000048,USA,1143.4458112991585,6.612015070591644
04-26,24979,653,10763.0,24316.0,48.0,108.62508968520216,276021.0,1542.0,2.6074418232066328,84000048,USA,1200.8974197940954,6.176152521328152
04-27,25424,666,11170.0,24655.0,48.0,110.16525397200321,290517.0,1563.0,2.6302278740966,84000048,USA,1263.9658421146264,6.17274199281229
04-28,26376,720,11786.0,25638.0,48.0,114.67262742151135,300384.0,,2.7279280646507567,84000048,USA,1306.8946585492758,
04-29,27384,755,12507.0,26503.0,48.0,118.5882993371072,314790.0,,2.7662618776827967,84000048,USA,1369.5715136782471,
04-30,28748,812,12507,15408.0,48,124.98389679924709,314790.0,,2.8266091133776587,84000048,USA,1369.5715136782471,
05-01,29713,840,14122,14730.0,48,129.18236724208046,351775.0,,2.8290448605685032,84000048,USA,1530.4838756763725,
05-02,30930,863,14891,15163.0,48,134.51203179386368,380648.0,,2.791344567713556,84000048,USA,1656.1029814752605,
05-03,32002,879,15544,15576.0,48,139.21518883915164,390560.0,,2.7439214950934434,84000048,USA,1699.2275815056896,
05-04,32787,902,16090,15792.0,48,142.63052489886581,407398.0,,2.7483756825183785,84000048,USA,1772.4854522999156,
05-05,33948,925,16791.0,16196.0,48,147.54251777965214,427210.0,,2.727648030195801,84000048,USA,1858.6824434018995,
05-06,34955,954,17622.0,16352.0,48,151.96287629770262,438938.0,,2.7313330279431973,84000048,USA,1909.7079992086865,
05-07,36073,985,18440.0,16611.0,48,156.7835035004584,455162.0,,2.7333777333777336,84000048,USA,1980.294511607161,
05-08,37276,1025,19197.0,17024.0,48,162.0479068536484,477118.0,,2.7519733662675185,84000048,USA,2075.8195033614084,
05-09,38415,1066,20141.0,17187.0,48,167.0425639193196,489294.0,,2.7764754909621296,84000048,USA,2128.7941936328475,
05-10,39272,1094,21022.0,17142.0,48,170.80160895829158,501776.0,,2.786693158082429,84000048,USA,2183.1002123555895,
05-11,40586,1117,21713.0,17725.0,48,176.44452726332253,525697.0,,2.754284305264456,84000048,USA,2287.1744211255545,
05-12,41699,1146,21713.0,18573.0,48,180.26013200774207,525697.0,,2.765977988028576,84000048,USA,2287.1744211255545,
05-13,43055,1172,23519.0,18329.0,48,187.16911756548237,587431.0,,2.7243142724314278,84000048,USA,2555.763410055993,
05-14,44511,1235,24487.0,18758.0,48,153.4010985905205,623284.0,,2.776528776978417,84000048,USA,2149.560484125315,
05-15,45752,1280,25454.0,18987.0,48,157.68101683132167,645992.0,,2.7995888103934736,84000048,USA,2227.875055770852,
05-16,47469,1319,26601.0,19533.0,48,163.65083026792666,678471.0,,2.777543623029588,84000048,USA,2339.887517127001,
05-17,48421,1343,27570.0,19483.0,48,166.90646509412838,693276.0,,2.775022729151169,84000048,USA,2390.9464934002176,
05-18,49204,1351,28371.0,19456.0,48,169.59995111029738,723013.0,,2.745185757569596,84000048,USA,2493.502439191277,
05-19,50588,1389,29359.0,19805.0,48,174.34200395566532,744937.0,,2.7456876087988604,84000048,USA,2569.113178523529,
05-20,51825,1427,30341.0,19906.0,48,178.20807031177984,770241.0,,2.759661718886072,84000048,USA,2656.3807459411223,
05-21,53091,1461,30341.0,21252.0,48,182.9673669856764,770241.0,,2.7519650161159595,84000048,USA,2656.3807459411223,
