Date,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
04-12,2303,18,,2285,49.0,80.3592053,44234.0,195.0,0.781589231,84000049,USA,1543.468991,8.467216674
04-13,2363,13,218.0,2350.0,49.0,82.45280161569806,45787.0,201.0,0.5501481168006771,84000049,USA,1597.6582427329529,8.506136267456624
04-14,2417,18,218.0,2399.0,49.0,84.33703829999999,46476.0,213.0,0.744724866,84000049,USA,1621.699707,8.812577576
04-15,2548,20,218.0,2528.0,49.0,88.90805692627958,47614.0,221.0,0.7849293563579278,84000049,USA,1661.408250583939,8.673469387755103
04-16,2683,20,357.0,2663.0,49.0,93.61864863940664,49678.0,238.0,0.7454342154304883,84000049,USA,1733.427963886859,8.87066716362281
04-17,2793,23,443.0,2770.0,49.0,97.45690855380647,55771.0,244.0,0.8234872896527032,84000049,USA,1946.0326698726608,8.736126029359111
04-18,2917,25,565.0,2892.0,49.0,101.78367427549357,59944.0,251.0,0.8570449091532396,84000049,USA,2091.64229371621,8.604730887898526
04-19,3069,27,679.0,3042.0,49.0,107.08745161175513,63555.0,259.0,0.8797653958944281,84000049,USA,2217.641898724372,8.439231019876182
04-20,3213,28,776.0,3185.0,49.0,112.11208277242399,68311.0,268.0,0.8714596949891068,84000049,USA,2383.5943001142405,8.341114223467164
04-21,3297,32,888.0,3265.0,49.0,115.04311761614748,72358.0,277.0,0.9705793145283592,84000049,USA,2524.807371692205,8.401577191386107
04-22,3445,32,970.0,3413.0,49.0,120.20732186461271,76460.0,288.0,0.9288824383164006,84000049,USA,2667.9395732273692,8.359941944847606
04-23,3612,35,1050.0,3577.0,49.0,126.03449828011064,80627.0,301.0,0.9689922480620154,84000049,USA,2813.339837439224,8.333333333333334
04-24,3782,39,1252.0,3743.0,49.0,131.96635451145582,84697.0,315.0,1.031200423056584,84000049,USA,2955.3554542720176,8.328926493918562
04-25,3948,41,1399.0,3907.0,49.0,137.75863765500463,90206.0,329.0,1.038500506585613,84000049,USA,3147.5824894395514,8.333333333333334
04-26,4123,41,1568.0,4082.0,49.0,143.86496024609528,95702.0,345.0,0.994421537715256,84000049,USA,3339.3559120717464,8.367693427116178
04-27,4236,41,1641.0,4195.0,49.0,147.80789997634238,100195.0,349.0,0.967894239848914,84000049,USA,3496.131382939005,8.23890462700661
04-28,4345,41,1704.0,4304.0,49.0,151.61126661879308,102439.0,370.0,0.9436133486766398,84000049,USA,3574.4318851927615,8.51553509781358
04-29,4497,45,1790.0,4452.0,49.0,156.91504395505467,105778.0,383.0,1.0006671114076051,84000049,USA,3690.94052023077,8.516788970424727
04-30,4672,46,1939,2687.0,49,163.02136654614532,108501.0,390.0,0.9845890410958904,84000049,USA,3785.9548997481397,8.347602739726026
05-01,4828,46,2062,2720.0,49,168.46471697020326,112558.0,403.0,0.9527754763877382,84000049,USA,3927.5169040455958,8.347141673570839
05-02,4985,49,2185,2751.0,49,173.9429606662103,117804.0,418.0,0.9829488465396188,84000049,USA,4110.567008690518,8.385155466399198
05-03,5175,50,2238,2887.0,49,180.57268233653724,122102.0,436.0,0.966183574879227,84000049,USA,4260.538291527704,8.42512077294686
05-04,5317,50,2342,2925.0,49,185.52752695330796,124661.0,441.0,0.940379913485048,84000049,USA,4349.830174445424,8.294150836938122
05-05,5449,56,2387.0,3006.0,49,190.13343885058768,126715.0,456.0,1.0277115066984768,84000049,USA,4421.500955028853,8.368507983116167
05-06,5595,58,2509.0,3028.0,49,195.22785655515477,131002.0,464.0,1.0366398570151922,84000049,USA,4571.088411874599,8.293118856121538
05-07,5724,61,2640.0,3023.0,49,199.7290886365873,134543.0,476.0,1.0656883298392732,84000049,USA,4694.6454878463255,8.315863032844165
05-08,5919,61,2769.0,3089.0,49,206.5332766666597,138688.0,488.0,1.0305794897786789,84000049,USA,4839.278100075299,8.244635918229429
05-09,6103,66,2901.0,3136.0,49,212.9536387052921,143294.0,498.0,1.0814353596591841,84000049,USA,4999.996510672805,8.159921350155662
05-10,6251,67,3033.0,3151.0,49,218.11784295375733,146510.0,512.0,1.07182850743881,84000049,USA,5112.213273261076,8.19068948968165
05-11,6362,68,3181.0,3113.0,49,221.99099614010623,150585.0,517.0,1.0688462747563658,84000049,USA,5254.403356453616,8.12637535366237
05-12,6432,73,3267.0,3092.0,49,224.4335251765425,153485.0,535.0,1.1349502487562189,84000049,USA,5355.593845105975,8.317786069651742
05-13,6620,75,3406.0,3139.0,49,230.9934603029713,156786.0,553.0,1.1329305135951662,84000049,USA,5470.776535809919,8.353474320241691
05-14,6749,75,3566.0,3108.0,49,210.5142986901263,160119.0,558.0,1.1112757445547488,84000049,USA,4994.4197647005985,8.267891539487332
05-15,6913,77,3719.0,3117.0,49,215.6297743139492,163218.0,566.0,1.1138434832923478,84000049,USA,5091.083538836129,8.187472877187908
05-16,7068,78,3896.0,3094.0,49,220.46452261695256,166774.0,578.0,1.1035653650254669,84000049,USA,5202.002022484386,8.177702320316921
05-17,7238,80,4075.0,3083.0,49,225.7671497879885,170752.0,586.0,1.1052777010223818,84000049,USA,5326.083498286627,8.096159159988947
05-18,7384,80,4183.0,3121.0,49,230.32117077017227,174022.0,595.0,1.0834236186348862,84000049,USA,5428.081091517731,8.057963163596966
05-19,7518,88,4183.0,3247.0,49,234.50088865793,174022.0,595.0,1.1705240755520083,84000049,USA,5428.081091517731,7.914338919925512
05-20,7710,90,4423.0,3197.0,49,240.4897381687471,179664.0,631.0,1.1673151750972763,84000049,USA,5604.065929747052,8.184176394293125
05-21,7874,92,4596.0,3186.0,49,245.60521379257,182874.0,647.0,1.1684023368046736,84000049,USA,5704.192007506024,8.216916433832868
05-22,8057,93,4748.0,3216.0,49,251.31333598256745,186834.0,1036.0,1.1542757850316494,84000049,USA,5827.712028666626,12.858384013900954
05-23,8260,97,4898.0,3265.0,49,257.64529666327513,190779.0,1053.0,1.1743341404358354,84000049,USA,5950.764170959195,12.748184019370461
