Date,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
04-12,727,27,15.0,700,50.0,119.06497150000001,9841.0,34.0,3.71389271,84000050,USA,1611.7171720000001,4.6767537830000006
04-13,748,28,15.0,720.0,50.0,122.50426226393772,10366.0,33.0,3.7433155080213902,84000050,USA,1697.699442016014,4.411764705882354
04-14,752,29,15.0,723.0,50.0,123.15936529999999,10585.0,64.0,3.8563829789999997,84000050,USA,1733.566332,8.510638298
04-15,759,29,15.0,730.0,50.0,124.30579553252504,11081.0,63.0,3.820816864295125,84000050,USA,1814.7991044741896,8.300395256916996
04-16,774,33,15.0,741.0,50.0,126.7624318078714,11507.0,58.0,4.263565891472869,84000050,USA,1884.5675746940258,7.493540051679586
04-17,779,35,15.0,744.0,50.0,127.58131056632016,12116.0,32.0,4.492939666238769,84000050,USA,1984.307007473088,4.10783055198973
04-18,803,38,15.0,765.0,50.0,131.5119286068743,12566.0,56.0,4.732254047322541,84000050,USA,2058.006095733478,6.973848069738481
04-19,813,38,15.0,775.0,50.0,133.14968612377191,12726.0,53.0,4.6740467404674035,84000050,USA,2084.210216003839,6.519065190651907
04-20,816,38,15.0,778.0,50.0,133.64101337884117,12981.0,49.0,4.65686274509804,84000050,USA,2125.9730326847266,6.004901960784314
04-21,818,40,1710.0,778.0,50.0,133.96856488222068,13111.0,41.0,4.88997555012225,84000050,USA,2147.263880404395,5.012224938875304
04-22,823,40,1710.0,783.0,50.0,134.78744364066944,13462.0,37.0,4.860267314702309,84000050,USA,2204.7491692475,4.4957472660996345
04-23,825,43,1710.0,782.0,50.0,135.11499514404898,13852.0,44.0,5.212121212121212,84000050,USA,2268.621712406505,5.333333333333333
04-24,827,44,1710.0,783.0,50.0,135.4425466474285,14310.0,32.0,5.32043530834341,84000050,USA,2343.631006680413,3.8694074969770256
04-25,843,46,1710.0,797.0,50.0,138.06295867446457,14682.0,37.0,5.456702253855278,84000050,USA,2404.555586309002,4.389086595492288
04-26,851,46,,805.0,50.0,139.37316468798264,14797.0,34.0,5.405405405405406,84000050,USA,2423.3897977533247,3.9952996474735607
04-27,855,47,,808.0,50.0,140.02826769474166,15073.0,33.0,5.497076023391813,84000050,USA,2468.591905219697,3.8596491228070176
04-28,862,47,,815.0,50.0,141.17469795657,15215.0,,5.452436194895592,84000050,USA,2491.8480619596426,
04-29,862,47,,815.0,50.0,141.17469795657,15429.0,,5.452436194895592,84000050,USA,2526.89607282125,
04-30,866,49,0,817.0,50,141.82980096332898,15652.0,,5.658198614318707,84000050,USA,2563.418065448066,
05-01,879,50,0,829.0,50,143.9588857352958,16233.0,,5.688282138794084,84000050,USA,2658.5717771798145,
05-02,886,51,0,835.0,50,145.1053159971241,16591.0,,5.7562076749435676,84000050,USA,2717.203496284747,
05-03,897,53,0,844.0,50,146.90684926571143,16954.0,,5.908584169453736,84000050,USA,2776.6540941481285,
05-04,902,52,0,850.0,50,147.7257280241602,17332.0,,5.764966740576496,84000050,USA,2838.561328286857,
05-05,907,52,,855.0,50,148.54460678260898,17518.0,,5.733186328555679,84000050,USA,2869.023618101151,
05-06,908,52,706.0,150.0,50,148.70838253429875,17876.0,,5.7268722466960345,84000050,USA,2927.655337206084,
05-07,916,53,718.0,145.0,50,150.01858854781682,18451.0,,5.786026200873362,84000050,USA,3021.8263944276937,
05-08,919,53,737.0,129.0,50,150.5099158028861,19008.0,,5.767138193688793,84000050,USA,3113.049488118888,
05-09,921,53,744.0,124.0,50,150.8374673062656,19527.0,,5.754614549402822,84000050,USA,3198.049103245872,
05-10,927,53,777.0,97.0,50,151.82012181640408,20048.0,,5.717367853290184,84000050,USA,3283.376269876235,
05-11,926,53,785.0,88.0,50,151.65634606471434,20871.0,,5.72354211663067,84000050,USA,3418.1637135169044,
05-12,927,53,787.0,87.0,50,151.82012181640408,21262.0,,5.717367853290184,84000050,USA,3482.2000324275987,
05-13,929,53,789.0,87.0,50,152.14767331978362,21676.0,,5.705059203444563,84000050,USA,3550.003193627158,
05-14,932,53,792.0,87.0,50,149.36160733602674,22505.0,,5.686695278969957,84000050,USA,3606.6340913060967,
05-15,933,53,796.0,84.0,50,149.52186657136585,23205.0,,5.680600214362272,84000050,USA,3718.8155560434557,
05-16,934,53,804.0,77.0,50,149.6821258067049,22276.0,,5.674518201284799,84000050,USA,3569.9347264134467,
05-17,940,54,810.0,76.0,50,150.64368121873943,22282.0,,5.74468085106383,84000050,USA,3570.896281825481,
05-18,940,54,815.0,71.0,50,150.64368121873943,23825.0,,5.74468085106383,84000050,USA,3818.1762819536875,
05-19,944,54,820.0,70.0,50,151.28471816009574,24591.0,,5.720338983050849,84000050,USA,3940.9348562234272,
05-20,944,54,824.0,66.0,50,151.28471816009574,25058.0,,5.720338983050849,84000050,USA,4015.7759191267796,
05-21,950,54,827.0,69.0,50,152.24627357213032,25701.0,,5.684210526315789,84000050,USA,4118.822607449811,
05-22,952,54,834.0,64.0,50,152.5667920428085,25733.0,,5.6722689075630255,84000050,USA,4123.950902980661,
05-23,954,54,837.0,63.0,50,152.88731051348663,27424.0,,5.660377358490566,84000050,USA,4394.949269939053,
05-24,956,54,839.0,63.0,50,153.20782898416482,28590.0,,5.648535564853558,84000050,USA,4581.8115383444265,
05-25,962,54,843.0,65.0,50,154.16938439619932,29669.0,,5.613305613305613,84000050,USA,4754.731253275298,
05-26,967,54,848.0,65.0,50,154.97068057289468,30423.0,,5.584281282316444,84000050,USA,4875.566716720968,
05-27,971,54,849.0,68.0,50,155.611717514251,30999.0,,5.561277033985583,84000050,USA,4967.876036276281,
05-28,974,55,855.0,64.0,50,156.09249522026832,31152.0,,5.646817248459959,84000050,USA,4992.395699283161,
05-29,975,55,859.0,61.0,50,156.2527544556074,31885.0,,5.641025641025642,84000050,USA,5109.865718786709,
05-30,977,55,865.0,57.0,50,156.57327292628554,32667.0,,5.629477993858751,84000050,USA,5235.188440821874,
05-31,981,55,873.0,53.0,50,157.2143098676419,33970.0,,5.606523955147809,84000050,USA,5444.0062244687015,
06-01,983,55,880.0,48.0,50,157.5348283383201,35326.0,,5.5951169888097665,84000050,USA,5661.3177475884995,
06-02,988,55,879.0,54.0,50,158.33612451501546,36619.0,,5.566801619433198,84000050,USA,5868.532938881936,
06-03,990,55,879.0,56.0,50,158.65664298569362,37195.0,,5.5555555555555545,84000050,USA,5960.842258437248,
06-04,1026,55,881.0,90.0,50,164.4259754579007,37834.0,,5.360623781676413,84000050,USA,6063.247909818923,
06-05,1027,55,882.0,90.0,50,164.58623469323982,39117.0,,5.355404089581305,84000050,USA,6268.8605087589685,
06-06,1046,55,888.0,103.0,50,167.6311601646824,40083.0,,5.258126195028682,84000050,USA,6423.670930096523,
06-07,1063,55,890.0,118.0,50,170.35556716544681,41218.0,,5.174035747883348,84000050,USA,6605.565162206385,
06-08,1075,55,895.0,125.0,50,172.27867798951584,42798.0,,5.116279069767441,84000050,USA,6858.774754042139,
06-09,1084,55,901.0,128.0,50,173.7210111075676,44228.0,,5.07380073800738,84000050,USA,7087.94546057703,
06-10,1095,55,903.0,137.0,50,175.48386269629754,45742.0,,5.0228310502283104,84000050,USA,7330.577942880403,
06-11,1110,55,905.0,150,50,177.88775122638378,47209.0,,4.954954954954955,84000050,USA,7565.6782411228405,
06-12,1119,55,907.0,157.0,50,179.3300843444356,48634.0,,4.915102770330654,84000050,USA,7794.047651481036,
06-13,1125,55,908.0,162.0,50,180.29163975647012,49933.0,,4.888888888888889,84000050,USA,8002.224398186508,
06-14,1127,55,909.0,163.0,50,180.61215822714826,50982.0,,4.880212954747116,84000050,USA,8170.336336057206,
06-15,1128,55,912.0,161.0,50,180.77241746248728,52557.0,,4.875886524822695,84000050,USA,8422.744631716265,
06-16,1131,55,914.0,162.0,50,181.25319516850456,52890.0,,4.8629531388152065,84000050,USA,8476.11095708418,
06-17,1130,55,915.0,160.0,50,181.09293593316548,53663.0,,4.867256637168142,84000050,USA,8599.991346001292,
06-18,1135,56,917.0,162.0,50,181.89423210986087,54745.0,,4.933920704845815,84000050,USA,8773.391838638181,
06-19,1144,56,918.0,170.0,50,183.33656522791267,55887.0,,4.895104895104895,84000050,USA,8956.407885395416,
06-20,1147,56,920.0,171.0,50,183.8173429339299,57028.0,,4.882301656495205,84000050,USA,9139.263672917312,
06-21,1159,56,922.0,181.0,50,185.74045375799892,57845.0,,4.831751509922347,84000050,USA,9270.195468189344,
06-22,1163,56,926.0,181.0,50,186.38149069935528,58607.0,,4.815133276010318,84000050,USA,9392.313005517726,
06-23,1164,56,927.0,181.0,50,186.5417499346944,59328.0,,4.810996563573883,84000050,USA,9507.859914197206,
06-24,1184,56,930.0,198.0,50,189.7469346414761,59860.0,,4.729729729729731,84000050,USA,9593.117827397598,
06-25,1191,56,938.0,197.0,50,190.86874928884964,60709.0,,4.701931150293871,84000050,USA,9729.17791820048,
06-26,1198,56,941.0,201.0,50,191.99056393622325,61589.0,,4.674457429048414,84000050,USA,9870.206045298875,
06-27,1200,56,946.0,198.0,50,192.3110824069014,62723.0,,4.666666666666667,84000050,USA,10051.940018173398,
06-28,1202,56,946.0,200.0,50,192.63160087757961,63865.0,,4.658901830282862,84000050,USA,10234.956064930633,
06-29,1208,56,949.0,203.0,50,193.59315628961411,64993.0,,4.635761589403971,84000050.0,USA,10415.72848239312,
06-30,1208,56,953.0,199.0,50,193.59315628961411,65764.0,,4.635761589403972,84000050,USA,10539.288352839554,
07-01,1210,56,961.0,193.0,50,193.91367476029225,66292.0,,4.628099173553719,84000050,USA,10623.90522909859,
07-02,1227,56,960.0,211.0,50,196.63808176105667,67341.0,,4.563977180114099,84000050,USA,10792.01716696929,
07-03,1236,56,967.0,213.0,50,198.08041487910842,68395.0,,4.53074433656958,84000050,USA,10960.930401016685,
07-04,1238,56,999.0,183.0,50,198.4009333497866,69397.0,,4.523424878836834,84000050,USA,11121.510154826448,
07-05,1249,56,1007.0,186.0,50,200.16378493851659,70024.0,,4.483586869495597,84000050,USA,11221.992695384053,
07-06,1251,56,1022.0,173.0,50,200.48430340919472,70353.0,,4.476418864908074,84000050,USA,11274.717983810613,
07-07,1254,56,1039.0,159.0,50,200.96508111521197,71113.0,,4.465709728867624,84000050,USA,11396.515002668315,
07-08,1256,56,1049.0,151.0,50,201.2855995858901,71756.0,,4.4585987261146505,84000050,USA,11499.561690991348,
07-09,1272,56,1054.0,162.0,50,203.8497473513155,72749.0,,4.402515723270441,84000050,USA,11658.69911168306,
07-10,1277,56,1066.0,155.0,50,204.65104352801086,74098.0,,4.385277995301488,84000050,USA,11874.888820155484,
07-11,1283,56,1066.0,161.0,50,205.61259894004544,75032.0,,4.36477007014809,84000050,USA,12024.570945962187,
07-12,1296,56,1089.0,151.0,50,207.69596899945356,75851.0,,4.320987654320987,84000050,USA,12155.8232597049,
07-13,1301,56,1096.0,149.0,50,208.49726517614891,76581.0,,4.304381245196002,84000050,USA,12272.812501502429,
07-14,1305,56,1099.0,150.0,50,209.13830211750528,77624.0,,4.291187739463601,84000050,USA,12439.962883961096,
07-15,1318,56,1104.0,158.0,50,211.22167217691342,78358.0,,4.248861911987859,84000050,USA,12557.593162699983,
07-16,1325,56,1111.0,158.0,50,212.34348682428697,79040.0,,4.226415094339623,84000050,USA,12666.889961201241,
07-17,1334,56,1121.0,157.0,50,213.78581994233872,79366.0,,4.197901049475262,84000050,USA,12719.13447192178,
07-18,1338,56,1125.0,157.0,50,214.42685688369502,80446.0,,4.185351270553063,84000050,USA,12892.214446087994,
07-19,1350,56,1137.0,157.0,50,216.34996770776408,82500.0,,4.148148148148148,84000050,USA,13221.386915474473,
07-20,1360,56,1139.0,165.0,50,217.9525600611549,83868.0,,4.117647058823529,84000050,USA,13440.62154941834,
07-21,1366,56,1148.0,162.0,50,218.91411547318944,84947.0,,4.099560761346998,84000050,USA,13613.541264349209,
07-22,1366,56,1152.0,158.0,50,218.91411547318944,85742.0,,4.099560761346998,84000050,USA,13740.947356443785,
07-23,1377,56,1156.0,165.0,50,220.67696706191936,86582.0,,4.0668119099491635,84000050,USA,13875.565114128613,
07-24,1385,56,1177.0,152.0,50,221.95904094463202,87692.0,,4.043321299638989,84000050,USA,14053.452865355,
07-25,1396,56,1182.0,158.0,50,223.721892533362,88816.0,,4.011461318051576,84000050,USA,14233.584245876127,
07-26,1400,56,1186.0,158.0,50,224.36292947471833,89809.0,,4.0,84000050,USA,14392.721666567842,
07-27,1402,56,1190.0,156.0,50,224.68344794539647,90617.0,,3.9942938659058487,84000050,USA,14522.21112872182,
07-28,1405,56,1194.0,155.0,50,225.1642256514137,91861.0,,3.98576512455516,84000050,USA,14721.573617483642,
07-29,1406,56,1199.0,151.0,50,225.32448488675283,92461.0,,3.982930298719773,84000050,USA,14817.729158687092,
07-30,1407,57,1207.0,143.0,50,225.48474412209185,93284.0,,4.051172707889126,84000050,USA,14949.622509371156,
07-31,1414,57,1211.0,146.0,50,226.6065587694655,94368.0,,4.031117397454032,84000050,USA,15123.343520478726,
08-01,1421,57,1231.0,133.0,50,227.7283734168391,95392.0,,4.011259676284307,84000050,USA,15287.448977465947,
08-02,1426,57,1238.0,131.0,50,228.52966959353452,96681.0,,3.9971949509116413,84000050,USA,15494.023131818027,
08-03,1427,57,1240.0,130.0,50,228.6899288288736,97238.0,,3.9943938332165376,84000050,USA,15583.287525901897,
08-04,1431,57,1249.0,125.0,50,229.33096577022994,98801.0,,3.9832285115303994,84000050,USA,15833.772710736886,
08-05,1436,57,1254.0,125.0,50,230.13226194692533,98990.0,,3.969359331476323,84000050,USA,15864.061706215974,
08-06,1445,58,1258.0,129.0,50,231.5745950649771,100052.0,,4.013840830449826,84000050,USA,16034.257014146082,
08-07,1448,58,1260.0,130.0,50,232.05537277099438,100962.0,,4.0055248618784525,84000050,USA,16180.09291830465,
08-08,1454,58,1272.0,124.0,50,233.01692818302888,101803.0,,3.9889958734525446,84000050,USA,16314.870935224819,
08-09,1459,58,1279.0,122.0,50,233.81822435972433,102691.0,,3.975325565455792,84000050,USA,16457.181136205927,
08-10,1462,58,1282.0,122.0,50,234.29900206574158,103353.0,,3.967168262653898,84000050,USA,16563.2727500004,
08-11,1472,58,1295.0,119.0,50.0,235.90159441913244,103957.0,,3.940217391304348,84000050,USA,16660.069328145208,
08-12,1478,58,1302.0,118.0,50.0,236.8631498311669,105073.0,,3.924221921515562,84000050,USA,16838.918634783626,
08-13,1484,58,1310.0,116.0,50.0,237.8247052432014,105907.0,,3.908355795148248,84000050,USA,16972.574837056418,
08-14,1501,58,1321.0,122.0,50.0,240.54911224396582,107417.0,,3.864090606262492,84000050,USA,17214.56628241844,
08-15,1509,58,1332.0,119.0,50.0,241.83118612667846,110297.0,,3.8436050364479786,84000050,USA,17676.112880195004,
08-16,1515,58,1337.0,120.0,50.0,242.79274153871305,111335.0,,3.8283828382838285,84000050,USA,17842.461966476974,
08-17,1527,58,1343.0,126.0,50.0,244.715852362782,113223.0,,3.7982973149967254,84000050,USA,18145.031402797158,
08-18,1530,58,1347.0,125,50,245.1966301,114097.0,,3.7908496730000003,84000050,USA,18285.09797,
08-19,1533,58,1354.0,121.0,50.0,245.6774077748165,113897.0,,3.7834311806914553,84000050,USA,18253.046127415702,
08-20,1537,58,1356.0,123.0,50.0,246.31844471617288,115459.0,,3.7735849056603774,84000050,USA,18503.37105301536,
08-21,1541,58,1358.0,125.0,50.0,246.95948165752918,116998.0,,3.7637897469175865,84000050,USA,18750.01001620221,
08-22,1553,58,1366.0,129.0,50.0,248.88259248159824,118604.0,,3.734707018673535,84000050,USA,19007.386348156786,
08-23,1557,58,1371.0,128.0,50.0,249.52362942295457,120043.0,,3.725112395632627,84000050,USA,19237.99938780972,
08-24,1566,58,1380.0,128.0,50.0,250.96596254100632,121390.0,,3.7037037037037037,84000050,USA,19453.868577811467,
08-25,1572,58,1386.0,128.0,50.0,251.92751795304085,122078.0,,3.6895674300254444,84000050,USA,19564.126931724757,
08-26,1577,58,1388.0,131.0,50.0,252.72881412973626,122841.0,,3.677869372225745,84000050,USA,19686.40472828848,
08-27,1586,58,1396.0,132.0,50.0,254.171147247788,124831.0,,3.656998738965952,84000050,USA,20005.32060661326,
08-28,1589,58,1400.0,131.0,50.0,254.65192495380526,126755.0,,3.6500943989930765,84000050,USA,20313.659375405656,
08-29,1605,58,1413.0,134.0,50.0,257.21607271923057,130180.0,,3.613707165109034,84000050,USA,20862.54725644202,
08-30,1616,58,1421.0,137.0,50.0,258.97892430796054,133275.0,,3.5891089108910887,84000050,USA,21358.549589816488,
08-31,1624,58,1425.0,141.0,50.0,260.2609981906732,135721.0,,3.571428571428572,84000050,USA,21750.54367945589,
09-01,1635,58,1432.0,145.0,50.0,262.0238497794032,138446.0,,3.547400611620795,84000050,USA,22187.25009575489,
09-02,1637,58,1433.0,146.0,50.0,262.34436825008135,139096.0,,3.5430665852168595,84000050,USA,22291.418598725297,
09-03,1637,58,1436.0,143.0,50.0,262.34436825008135,140881.0,,3.5430665852168595,84000050,USA,22577.481333805565,
09-04,1642,58,1441.0,143.0,50.0,263.1456644267768,142198.0,,3.5322777101096223,84000050,USA,22788.542746747135,
09-05,1647,58,1451.0,138.0,50.0,263.9469606034722,143088.0,,3.5215543412264725,84000050,USA,22931.173466198925,
