Date,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
04-12,593,6,83.0,587,54.0,44.82244115,16257.0,81.0,1.0118043840000002,84000054,USA,1228.8000439999998,13.65935919
04-13,611,8,85.0,603.0,54.0,46.18298742704071,16655.0,164.0,1.3093289689034369,84000054,USA,1258.8832333835726,26.84124386252045
04-14,640,9,147.0,631.0,54.0,48.37497865,17038.0,164.0,1.40625,84000054,USA,1287.832635,25.625
04-15,702,10,211.0,692.0,54.0,53.06130470340847,17656.0,164.0,1.4245014245014245,84000054,USA,1334.5447234236185,23.361823361823358
04-16,728,12,223.0,716.0,54.0,55.026538210942114,18306.0,85.0,1.6483516483516485,84000054,USA,1383.6755611119593,11.675824175824175
04-17,775,16,223.0,759.0,54.0,58.579075705329856,18681.0,85.0,2.064516129032258,84000054,USA,1412.0202751629254,10.967741935483868
04-18,785,16,255.0,769.0,54.0,59.33493474668896,19440.0,83.0,2.0382165605095537,84000054,USA,1469.3899764020807,10.573248407643312
04-19,890,18,265.0,872.0,54.0,67.27145468095945,20031.0,72.0,2.02247191011236,84000054,USA,1514.0612457464033,8.089887640449438
04-20,902,24,290.0,878.0,54.0,68.17848553059036,22155.0,77.0,2.6607538802660757,84000054,USA,1674.605706131075,8.536585365853659
04-21,908,26,330.0,882.0,54.0,68.63200095540583,22763.0,85.0,2.8634361233480177,84000054,USA,1720.561935845708,9.361233480176212
04-22,939,27,330.0,912.0,54.0,70.97516398361903,25836.0,103.0,2.8753993610223643,84000054,USA,1952.8374192553574,10.969116080937168
04-23,981,31,380.0,950.0,54.0,74.14977195732722,27905.0,108.0,3.1600407747196737,84000054,USA,2109.224654912555,11.009174311926603
04-24,1010,32,439.0,978.0,54.0,76.34176317726859,29811.0,97.0,3.1683168316831685,84000054,USA,2253.2913881955983,9.603960396039604
04-25,1010,32,439.0,978.0,54.0,76.34176317726859,32966.0,97.0,3.1683168316831685,84000054,USA,2491.7649157443925,9.603960396039604
04-26,1055,34,455.0,1021.0,54.0,79.74312886338453,39063.0,100.0,3.2227488151658767,84000054,USA,2952.6121732610327,9.47867298578199
04-27,1063,34,455.0,1029.0,54.0,80.3478160964718,43039.0,100.0,3.1984948259642523,84000054,USA,3253.141728105409,9.407337723424273
04-28,1095,38,481.0,1057.0,54.0,82.7665650288209,43055.0,,3.470319634703196,84000054,USA,3254.351102571584,
04-29,1110,38,504.0,1072.0,54.0,83.90035359085955,43071.0,,3.4234234234234235,84000054,USA,3255.560477037758,
