Date,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
04-12,3341,144,,3197,55.0,64.56573888,39257.0,974.0,4.3100868,84000055,USA,758.6522632,29.15294822
04-13,3428,154,,3274.0,55.0,66.24703767713304,40197.0,993.0,4.492415402567095,84000055,USA,776.8180202764635,28.96732788798133
04-14,3555,170,,3385.0,55.0,68.70134742,41552.0,1049.0,4.781997187,84000055,USA,803.0037659,29.50773558
04-15,3721,183,,3538.0,55.0,71.90934282281566,43047.0,1091.0,4.918032786885246,84000055,USA,831.8950498505094,29.32007524858909
04-16,3875,197,,3678.0,55.0,74.8854349471676,44849.0,1121.0,5.0838709677419365,84000055,USA,866.7191927601341,28.929032258064517
04-17,4053,206,,3847.0,55.0,78.32533363635362,46410.0,1153.0,5.0826548235874665,84000055,USA,896.8859447478833,28.44806316308907
04-18,4199,212,,3987.0,55.0,81.14682357242755,48161.0,1176.0,5.048821147892356,84000055,USA,930.724498707236,28.006668254346277
04-19,4346,220,,4126.0,55.0,83.98763878203624,49669.0,1190.0,5.062126092959042,84000055,USA,959.8670111976433,27.38150023009664
04-20,4499,230,,4269.0,55.0,86.94440563285343,51102.0,1211.0,5.112247166036897,84000055,USA,987.5601281729441,26.917092687263835
04-21,4625,244,,4381.0,55.0,89.37939009823229,52461.0,1252.0,5.275675675675676,84000055,USA,1013.8231749066734,27.07027027027027
04-22,4845,248,,4597.0,55.0,93.63095027587794,54347.0,1302.0,5.1186790505675965,84000055,USA,1050.2706407932174,26.87306501547988
04-23,5052,258,,4794.0,55.0,97.6312818975718,56508.0,1318.0,5.10688836104513,84000055,USA,1092.0325569018185,26.08867775138559
04-24,5356,263,,5093.0,55.0,103.50616505213671,59929.0,1353.0,4.910380881254667,84000055,USA,1158.1443176642085,25.26138909634055
04-25,5687,266,,5421.0,55.0,109.9028305921399,62825.0,1376.0,4.677334271144716,84000055,USA,1214.1103098208528,24.19553367328996
04-26,5912,272,,5640.0,55.0,114.25101713745931,65146.0,1397.0,4.600811907983761,84000055,USA,1258.9642696950145,23.629905277401896
04-27,6081,281,,5800.0,55.0,117.51698836483256,67392.0,1415.0,4.620950501562243,84000055,USA,1302.368834054069,23.269199144877486
04-28,6289,300,,5989.0,55.0,121.53664526006119,69824.0,1456.0,4.770233741453331,84000055,USA,1349.3678992905886,23.151534425186835
04-29,6520,308,,6212.0,55.0,126.00078344658908,73150.0,1489.0,4.7239263803680975,84000055,USA,1413.643759067177,22.837423312883434
04-30,6854,316,3352,3186.0,55,132.45542480719658,76248.0,1512.0,4.610446454625038,84000055,USA,1473.5134564778416,22.06011088415524
05-01,7314,327,3352,3635.0,55,141.3450506331829,79880.0,1544.0,4.470877768662838,84000055,USA,1543.7028499560643,21.110199617172547
05-02,7660,334,3698,3628.0,55,148.03159527620744,83230.0,1591.0,4.360313315926893,84000055,USA,1608.4425162974862,20.770234986945173
