Date,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
04-12,270,0,137.0,270,56.0,54.29973453,5459.0,40.0,0.0,84000056,USA,1097.860188,14.81481481
04-13,275,1,138.0,274.0,56.0,55.30528517416137,5964.0,41.0,0.3636363636363637,84000056,USA,1199.4208028316307,14.909090909090908
04-14,282,1,140.0,281.0,56.0,56.71305607,5964.0,43.0,0.354609929,84000056,USA,1199.420803,15.24822695
04-15,287,1,129.0,286.0,56.0,57.718606709033864,6329.0,43.0,0.3484320557491289,84000056,USA,1272.8259995173355,14.982578397212546
04-16,296,2,148.0,294.0,56.0,59.52859786018825,6427.0,43.0,0.6756756756756757,84000056,USA,1292.5347920521276,14.527027027027025
04-17,305,2,148.0,303.0,56.0,61.33858901134261,6427.0,43.0,0.6557377049180327,84000056,USA,1292.5347920521276,14.098360655737705
04-18,309,2,206.0,307.0,56.0,62.143029522966785,6522.0,50.0,0.6472491909385113,84000056,USA,1311.6402542032015,16.181229773462785
04-19,313,2,227.0,311.0,56.0,62.94747003459094,7281.0,50.0,0.6389776357827476,84000056,USA,1464.2828412838874,15.974440894568689
04-20,317,2,233.0,315.0,56.0,63.75191054621511,7386.0,51.0,0.6309148264984227,84000056,USA,1485.3994047140213,16.08832807570978
04-21,443,2,237.0,441.0,56.0,89.09178666237631,7621.0,52.0,0.4514672686230248,84000056,USA,1532.6602847719412,11.738148984198643
04-22,447,6,254.0,441.0,56.0,89.89622717400049,7623.0,52.0,1.342281879194631,84000056,USA,1533.0625050277529,11.6331096196868
04-23,453,7,275.0,446.0,56.0,91.1028879414367,7567.0,52.0,1.5452538631346575,84000056,USA,1521.8003378650146,11.479028697571746
04-24,473,7,321.0,466.0,56.0,95.12509049955757,8045.0,54.0,1.4799154334038056,84000056,USA,1617.9309790041027,11.416490486257928
04-25,491,7,321.0,484.0,56.0,98.7450728018663,8146.0,54.0,1.4256619144602851,84000056,USA,1638.2431019226126,10.9979633401222
04-26,502,7,334.0,495.0,56.0,100.95728420883276,8159.0,54.0,1.3944223107569722,84000056,USA,1640.8575335853916,10.756972111553784
04-27,520,7,342.0,513.0,56.0,104.57726651114149,8167.0,54.0,1.3461538461538465,84000056,USA,1642.4664146086398,10.384615384615383
04-28,536,7,343.0,529.0,56.0,107.79502855763815,8615.0,56.0,1.3059701492537314,84000056,USA,1732.5637519105462,10.447761194029852
04-29,545,7,362.0,538.0,56.0,109.60501970879255,9217.0,56.0,1.2844036697247707,84000056,USA,1853.6320489099828,10.275229357798166
